카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년06월_계_총인구수,"542,842","55,700","17,954","6,694","7,811","3,809","3,229","6,294","10,050","9,578","10,203","74,431","80,679","9,578","41,179","34,168","7,894","56,167","36,818","70,606"
2020년06월_계_연령구간인구수,"542,842","55,700","17,954","6,694","7,811","3,809","3,229","6,294","10,050","9,578","10,203","74,431","80,679","9,578","41,179","34,168","7,894","56,167","36,818","70,606"
2020년06월_계_0~9세,"50,948","6,693","2,740",238,207,78,86,180,583,659,641,"5,007","7,630",555,"2,733","1,715",580,"5,627","3,886","11,110"
2020년06월_계_10~19세,"61,997","5,936","1,278",357,366,125,160,225,729,596,685,"8,085","10,740",727,"3,955","3,296",800,"8,099","5,257","10,581"
2020년06월_계_20~29세,"69,089","5,445","2,246",642,672,321,290,490,"1,331","1,168","1,469","12,443","10,829","1,275","6,273","5,829","1,027","6,764","4,322","6,253"
2020년06월_계_30~39세,"71,595","9,150","4,115",554,607,258,254,452,"1,303","1,252","1,269","8,439","9,838",997,"4,587","3,152",842,"7,075","4,963","12,488"
2020년06월_계_40~49세,"99,301","10,677","2,788",856,772,357,353,604,"1,437","1,280","1,478","12,336","15,676","1,370","6,674","5,283","1,298","12,075","7,867","16,120"
2020년06월_계_50~59세,"95,719","8,205","2,681","1,529","1,690",859,743,"1,186","2,046","1,822","2,136","16,140","14,453","2,029","8,764","7,652","1,546","8,845","5,825","7,568"
2020년06월_계_60~69세,"55,719","5,661","1,346","1,319","1,806",900,778,"1,704","1,547","1,555","1,520","7,246","7,073","1,543","5,022","4,402","1,088","4,366","2,806","4,037"
2020년06월_계_70~79세,"25,911","2,624",458,757,"1,026",598,385,949,734,867,700,"3,131","2,981",728,"2,224","1,904",498,"2,250","1,329","1,768"
2020년06월_계_80~89세,"11,133","1,148",269,380,591,279,144,435,298,336,269,"1,429","1,300",323,845,845,188,957,500,597
2020년06월_계_90~99세,"1,352",152,33,61,73,33,33,67,37,38,30,166,153,30,91,86,22,102,63,82
2020년06월_계_100세 이상,78,9,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,7,0,2
2020년06월_남_총인구수,"274,583","28,652","9,162","3,636","4,249","2,006","1,777","3,262","5,143","4,856","5,245","37,058","40,440","5,035","20,936","17,509","3,991","28,044","18,492","35,090"
2020년06월_남_연령구간인구수,"274,583","28,652","9,162","3,636","4,249","2,006","1,777","3,262","5,143","4,856","5,245","37,058","40,440","5,035","20,936","17,509","3,991","28,044","18,492","35,090"
2020년06월_남_0~9세,"25,996","3,424","1,375",140,113,53,51,80,299,349,354,"2,620","3,899",279,"1,389",894,304,"2,822","1,948","5,603"
2020년06월_남_10~19세,"32,344","3,100",651,198,217,65,83,129,369,327,366,"4,216","5,674",385,"2,096","1,732",396,"4,167","2,724","5,449"
2020년06월_남_20~29세,"37,426","3,006","1,122",384,428,193,171,304,748,657,791,"6,688","5,846",695,"3,366","3,275",550,"3,640","2,309","3,253"
2020년06월_남_30~39세,"36,828","4,734","2,150",310,391,154,155,270,749,647,699,"4,385","4,903",570,"2,490","1,762",447,"3,523","2,533","5,956"
2020년06월_남_40~49세,"49,366","5,744","1,453",533,498,217,216,342,739,684,756,"5,732","7,454",744,"3,342","2,585",641,"5,874","3,818","7,994"
2020년06월_남_50~59세,"49,341","4,237","1,354",878,962,475,427,635,"1,033",908,"1,093","8,003","7,413","1,093","4,435","3,872",792,"4,652","3,097","3,982"
2020년06월_남_60~69세,"28,378","2,829",757,716,983,477,423,902,791,782,757,"3,777","3,585",835,"2,580","2,321",562,"2,078","1,355","1,868"
2020년06월_남_70~79세,"11,170","1,193",216,329,476,281,195,446,322,372,321,"1,208","1,238",321,959,790,225,943,546,789
2020년06월_남_80~89세,"3,448",358,74,139,168,83,48,137,85,121,102,392,396,111,255,262,65,320,148,184
2020년06월_남_90~99세,263,25,10,9,13,8,7,16,5,8,5,34,32,2,19,15,7,22,14,12
2020년06월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년06월_여_총인구수,"268,259","27,048","8,792","3,058","3,562","1,803","1,452","3,032","4,907","4,722","4,958","37,373","40,239","4,543","20,243","16,659","3,903","28,123","18,326","35,516"
2020년06월_여_연령구간인구수,"268,259","27,048","8,792","3,058","3,562","1,803","1,452","3,032","4,907","4,722","4,958","37,373","40,239","4,543","20,243","16,659","3,903","28,123","18,326","35,516"
2020년06월_여_0~9세,"24,952","3,269","1,365",98,94,25,35,100,284,310,287,"2,387","3,731",276,"1,344",821,276,"2,805","1,938","5,507"
2020년06월_여_10~19세,"29,653","2,836",627,159,149,60,77,96,360,269,319,"3,869","5,066",342,"1,859","1,564",404,"3,932","2,533","5,132"
2020년06월_여_20~29세,"31,663","2,439","1,124",258,244,128,119,186,583,511,678,"5,755","4,983",580,"2,907","2,554",477,"3,124","2,013","3,000"
2020년06월_여_30~39세,"34,767","4,416","1,965",244,216,104,99,182,554,605,570,"4,054","4,935",427,"2,097","1,390",395,"3,552","2,430","6,532"
2020년06월_여_40~49세,"49,935","4,933","1,335",323,274,140,137,262,698,596,722,"6,604","8,222",626,"3,332","2,698",657,"6,201","4,049","8,126"
2020년06월_여_50~59세,"46,378","3,968","1,327",651,728,384,316,551,"1,013",914,"1,043","8,137","7,040",936,"4,329","3,780",754,"4,193","2,728","3,586"
2020년06월_여_60~69세,"27,341","2,832",589,603,823,423,355,802,756,773,763,"3,469","3,488",708,"2,442","2,081",526,"2,288","1,451","2,169"
2020년06월_여_70~79세,"14,741","1,431",242,428,550,317,190,503,412,495,379,"1,923","1,743",407,"1,265","1,114",273,"1,307",783,979
2020년06월_여_80~89세,"7,685",790,195,241,423,196,96,298,213,215,167,"1,037",904,212,590,583,123,637,352,413
2020년06월_여_90~99세,"1,089",127,23,52,60,25,26,51,32,30,25,132,121,28,72,71,15,80,49,70
2020년06월_여_100세 이상,55,7,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,4,0,2
