카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년09월_계_총인구수,"28,441","10,364","5,282","2,467","2,070","3,199","1,871","1,515","1,673"
2021년09월_계_연령구간인구수,"28,441","10,364","5,282","2,467","2,070","3,199","1,871","1,515","1,673"
2021년09월_계_0~9세,"1,113",600,241,60,52,67,41,21,31
2021년09월_계_10~19세,"1,892",910,400,100,133,171,61,30,87
2021년09월_계_20~29세,"2,060","1,052",429,125,100,121,83,61,89
2021년09월_계_30~39세,"1,857",971,380,87,76,127,63,77,76
2021년09월_계_40~49세,"3,116","1,426",662,191,172,297,134,112,122
2021년09월_계_50~59세,"5,375","1,909",959,482,391,650,377,284,323
2021년09월_계_60~69세,"6,716","1,905","1,065",704,590,886,595,477,494
2021년09월_계_70~79세,"3,808",984,722,411,339,532,305,257,258
2021년09월_계_80~89세,"2,203",529,379,262,193,304,191,174,171
2021년09월_계_90~99세,287,74,44,42,22,43,21,21,20
2021년09월_계_100세 이상,14,4,1,3,2,1,0,1,2
2021년09월_남_총인구수,"14,416","5,182","2,746","1,232","1,108","1,526","1,028",777,817
2021년09월_남_연령구간인구수,"14,416","5,182","2,746","1,232","1,108","1,526","1,028",777,817
2021년09월_남_0~9세,584,309,134,27,32,32,24,9,17
2021년09월_남_10~19세,"1,014",465,224,55,84,96,41,12,37
2021년09월_남_20~29세,"1,196",584,263,64,59,81,60,30,55
2021년09월_남_30~39세,"1,004",518,217,46,41,63,33,50,36
2021년09월_남_40~49세,"1,717",746,381,104,104,152,84,74,72
2021년09월_남_50~59세,"2,870","1,013",527,273,208,324,203,155,167
2021년09월_남_60~69세,"3,471",931,536,370,313,429,349,271,272
2021년09월_남_70~79세,"1,702",420,314,187,181,230,148,116,106
2021년09월_남_80~89세,783,181,138,95,79,110,78,54,48
2021년09월_남_90~99세,72,15,11,10,7,9,8,6,6
2021년09월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년09월_여_총인구수,"14,025","5,182","2,536","1,235",962,"1,673",843,738,856
2021년09월_여_연령구간인구수,"14,025","5,182","2,536","1,235",962,"1,673",843,738,856
2021년09월_여_0~9세,529,291,107,33,20,35,17,12,14
2021년09월_여_10~19세,878,445,176,45,49,75,20,18,50
2021년09월_여_20~29세,864,468,166,61,41,40,23,31,34
2021년09월_여_30~39세,853,453,163,41,35,64,30,27,40
2021년09월_여_40~49세,"1,399",680,281,87,68,145,50,38,50
2021년09월_여_50~59세,"2,505",896,432,209,183,326,174,129,156
2021년09월_여_60~69세,"3,245",974,529,334,277,457,246,206,222
2021년09월_여_70~79세,"2,106",564,408,224,158,302,157,141,152
2021년09월_여_80~89세,"1,420",348,241,167,114,194,113,120,123
2021년09월_여_90~99세,215,59,33,32,15,34,13,15,14
2021년09월_여_100세 이상,11,4,0,2,2,1,0,1,1
