,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년06월_계_총인구수,"305,908","7,624","6,654","44,857","15,943","19,250","25,800","30,031","2,775","23,697","23,173","3,938","3,642","50,686","47,838"
2021년06월_계_연령구간인구수,"305,908","7,624","6,654","44,857","15,943","19,250","25,800","30,031","2,775","23,697","23,173","3,938","3,642","50,686","47,838"
2021년06월_계_0~9세,"30,881",337,305,"3,687",993,"1,098","2,080","4,404",86,"3,280","3,013",120,162,"4,814","6,502"
2021년06월_계_10~19세,"26,667",401,398,"3,748","1,058","1,126","2,526","2,983",143,"2,194","2,386",198,177,"3,995","5,334"
2021년06월_계_20~29세,"37,856",934,977,"5,080","2,118","2,480","3,170","3,279",342,"2,805","2,621",475,472,"9,095","4,008"
2021년06월_계_30~39세,"51,316","1,025","1,028","6,508","2,254","2,958","3,340","5,322",373,"4,618","3,793",428,480,"11,774","7,415"
2021년06월_계_40~49세,"54,268","1,002",930,"7,091","2,196","2,539","4,439","6,039",379,"4,122","4,604",514,455,"9,391","10,567"
2021년06월_계_50~59세,"43,789","1,445","1,190","6,966","2,808","3,383","4,216","3,879",564,"3,115","3,468",779,725,"5,366","5,885"
2021년06월_계_60~69세,"37,240","1,548","1,069","6,953","2,758","3,460","3,542","2,612",518,"2,227","2,306",783,719,"3,849","4,896"
2021년06월_계_70~79세,"16,752",613,524,"3,437","1,246","1,530","1,723","1,012",241,918,708,401,299,"1,744","2,356"
2021년06월_계_80~89세,"6,033",250,201,"1,204",450,582,650,385,110,345,231,205,144,544,732
2021년06월_계_90~99세,"1,046",61,30,174,58,90,110,108,18,66,42,32,8,111,138
2021년06월_계_100세 이상,60,8,2,9,4,4,4,8,1,7,1,3,1,3,5
2021년06월_남_총인구수,"153,427","4,222","3,432","22,210","8,085","9,698","12,820","14,908","1,544","11,899","11,350","2,214","2,080","25,392","23,573"
2021년06월_남_연령구간인구수,"153,427","4,222","3,432","22,210","8,085","9,698","12,820","14,908","1,544","11,899","11,350","2,214","2,080","25,392","23,573"
2021년06월_남_0~9세,"15,830",170,153,"1,899",507,559,"1,111","2,212",49,"1,720","1,506",61,80,"2,499","3,304"
2021년06월_남_10~19세,"13,513",212,209,"1,931",570,580,"1,272","1,501",75,"1,114","1,182",108,91,"1,954","2,714"
2021년06월_남_20~29세,"19,137",543,525,"2,624","1,186","1,350","1,681","1,653",206,"1,411","1,292",265,270,"4,093","2,038"
2021년06월_남_30~39세,"25,970",609,598,"3,347","1,209","1,618","1,705","2,501",228,"2,255","1,710",254,304,"6,251","3,381"
2021년06월_남_40~49세,"28,346",616,520,"3,611","1,147","1,331","2,219","3,144",225,"2,127","2,335",312,284,"4,973","5,502"
2021년06월_남_50~59세,"21,897",833,610,"3,326","1,340","1,666","2,072","1,921",310,"1,567","1,665",497,423,"2,734","2,933"
2021년06월_남_60~69세,"17,982",825,511,"3,273","1,311","1,663","1,660","1,280",285,"1,106","1,184",431,410,"1,779","2,264"
2021년06월_남_70~79세,"8,354",301,233,"1,692",617,732,820,540,118,477,388,193,160,902,"1,181"
2021년06월_남_80~89세,"2,154",97,68,461,184,185,256,130,40,106,75,88,55,183,226
2021년06월_남_90~99세,230,13,5,43,12,12,24,24,8,15,13,4,3,24,30
2021년06월_남_100세 이상,14,3,0,3,2,2,0,2,0,1,0,1,0,0,0
2021년06월_여_총인구수,"152,481","3,402","3,222","22,647","7,858","9,552","12,980","15,123","1,231","11,798","11,823","1,724","1,562","25,294","24,265"
2021년06월_여_연령구간인구수,"152,481","3,402","3,222","22,647","7,858","9,552","12,980","15,123","1,231","11,798","11,823","1,724","1,562","25,294","24,265"
2021년06월_여_0~9세,"15,051",167,152,"1,788",486,539,969,"2,192",37,"1,560","1,507",59,82,"2,315","3,198"
2021년06월_여_10~19세,"13,154",189,189,"1,817",488,546,"1,254","1,482",68,"1,080","1,204",90,86,"2,041","2,620"
2021년06월_여_20~29세,"18,719",391,452,"2,456",932,"1,130","1,489","1,626",136,"1,394","1,329",210,202,"5,002","1,970"
2021년06월_여_30~39세,"25,346",416,430,"3,161","1,045","1,340","1,635","2,821",145,"2,363","2,083",174,176,"5,523","4,034"
2021년06월_여_40~49세,"25,922",386,410,"3,480","1,049","1,208","2,220","2,895",154,"1,995","2,269",202,171,"4,418","5,065"
2021년06월_여_50~59세,"21,892",612,580,"3,640","1,468","1,717","2,144","1,958",254,"1,548","1,803",282,302,"2,632","2,952"
2021년06월_여_60~69세,"19,258",723,558,"3,680","1,447","1,797","1,882","1,332",233,"1,121","1,122",352,309,"2,070","2,632"
2021년06월_여_70~79세,"8,398",312,291,"1,745",629,798,903,472,123,441,320,208,139,842,"1,175"
2021년06월_여_80~89세,"3,879",153,133,743,266,397,394,255,70,239,156,117,89,361,506
2021년06월_여_90~99세,816,48,25,131,46,78,86,84,10,51,29,28,5,87,108
2021년06월_여_100세 이상,46,5,2,6,2,2,4,6,1,6,1,2,1,3,5
