카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년06월_계_총인구수,"351,596","119,162","35,398","3,382","13,093","8,523","11,572","33,950","22,346","9,124","28,826","20,061","31,037","15,122"
2020년06월_계_연령구간인구수,"351,596","119,162","35,398","3,382","13,093","8,523","11,572","33,950","22,346","9,124","28,826","20,061","31,037","15,122"
2020년06월_계_0~9세,"35,678","16,433","5,044",85,566,202,468,"2,761","1,457",774,"2,540","1,512","2,610","1,226"
2020년06월_계_10~19세,"34,236","12,150","2,751",109,896,604,661,"4,366","1,858","1,034","3,332","1,757","3,335","1,383"
2020년06월_계_20~29세,"40,924","14,377","3,423",171,"1,360",884,"1,463","4,636","3,261","1,025","3,242","2,185","3,186","1,711"
2020년06월_계_30~39세,"50,838","21,774","6,825",205,"1,133",616,"1,272","3,568","3,117","1,146","3,536","2,397","3,350","1,899"
2020년06월_계_40~49세,"60,368","21,347","6,201",292,"1,722",968,"1,472","6,344","3,561","1,665","5,487","3,384","5,547","2,378"
2020년06월_계_50~59세,"58,406","16,651","4,836",636,"2,841","1,978","2,496","6,156","4,609","1,567","4,897","3,779","5,134","2,826"
2020년06월_계_60~69세,"40,972","10,209","3,836",920,"2,510","1,849","2,286","3,289","2,833","1,109","3,403","2,753","3,951","2,024"
2020년06월_계_70~79세,"20,612","4,339","1,792",615,"1,377",877,990,"1,970","1,130",547,"1,665","1,516","2,670","1,124"
2020년06월_계_80~89세,"8,463","1,645",601,301,597,459,404,785,448,234,636,712,"1,145",496
2020년06월_계_90~99세,"1,040",228,87,46,82,79,52,73,69,23,78,64,104,55
2020년06월_계_100세 이상,59,9,2,2,9,7,8,2,3,0,10,2,5,0
2020년06월_남_총인구수,"176,445","58,966","17,925","1,737","6,661","4,500","6,168","16,449","11,692","4,590","15,005","9,988","15,168","7,596"
2020년06월_남_연령구간인구수,"176,445","58,966","17,925","1,737","6,661","4,500","6,168","16,449","11,692","4,590","15,005","9,988","15,168","7,596"
2020년06월_남_0~9세,"18,236","8,387","2,588",47,282,99,245,"1,415",743,388,"1,311",756,"1,336",639
2020년06월_남_10~19세,"17,632","6,271","1,376",48,449,334,385,"2,276",984,484,"1,711",899,"1,705",710
2020년06월_남_20~29세,"21,918","7,132","1,864",102,795,537,880,"2,444","1,884",548,"1,859","1,197","1,726",950
2020년06월_남_30~39세,"26,067","10,773","3,433",135,645,363,751,"1,732","1,780",627,"1,887","1,254","1,690",997
2020년06월_남_40~49세,"30,681","10,702","3,360",172,915,517,829,"2,897","1,884",841,"2,894","1,709","2,778","1,183"
2020년06월_남_50~59세,"29,441","8,152","2,380",344,"1,463","1,052","1,295","3,041","2,294",831,"2,653","1,925","2,587","1,424"
2020년06월_남_60~69세,"20,142","5,012","1,825",476,"1,298","1,006","1,169","1,501","1,497",554,"1,692","1,354","1,755","1,003"
2020년06월_남_70~79세,"9,197","1,984",880,301,596,423,463,823,485,245,758,637,"1,110",492
2020년06월_남_80~89세,"2,899",515,200,102,198,148,134,305,121,71,227,239,452,187
2020년06월_남_90~99세,222,37,19,10,17,21,16,14,18,1,13,18,27,11
2020년06월_남_100세 이상,10,1,0,0,3,0,1,1,2,0,0,0,2,0
2020년06월_여_총인구수,"175,151","60,196","17,473","1,645","6,432","4,023","5,404","17,501","10,654","4,534","13,821","10,073","15,869","7,526"
2020년06월_여_연령구간인구수,"175,151","60,196","17,473","1,645","6,432","4,023","5,404","17,501","10,654","4,534","13,821","10,073","15,869","7,526"
2020년06월_여_0~9세,"17,442","8,046","2,456",38,284,103,223,"1,346",714,386,"1,229",756,"1,274",587
2020년06월_여_10~19세,"16,604","5,879","1,375",61,447,270,276,"2,090",874,550,"1,621",858,"1,630",673
2020년06월_여_20~29세,"19,006","7,245","1,559",69,565,347,583,"2,192","1,377",477,"1,383",988,"1,460",761
2020년06월_여_30~39세,"24,771","11,001","3,392",70,488,253,521,"1,836","1,337",519,"1,649","1,143","1,660",902
2020년06월_여_40~49세,"29,687","10,645","2,841",120,807,451,643,"3,447","1,677",824,"2,593","1,675","2,769","1,195"
2020년06월_여_50~59세,"28,965","8,499","2,456",292,"1,378",926,"1,201","3,115","2,315",736,"2,244","1,854","2,547","1,402"
2020년06월_여_60~69세,"20,830","5,197","2,011",444,"1,212",843,"1,117","1,788","1,336",555,"1,711","1,399","2,196","1,021"
2020년06월_여_70~79세,"11,415","2,355",912,314,781,454,527,"1,147",645,302,907,879,"1,560",632
2020년06월_여_80~89세,"5,564","1,130",401,199,399,311,270,480,327,163,409,473,693,309
2020년06월_여_90~99세,818,191,68,36,65,58,36,59,51,22,65,46,77,44
2020년06월_여_100세 이상,49,8,2,2,6,7,7,1,1,0,10,2,3,0
