카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년08월_계_총인구수,"709,881","62,954","93,099","100,901","14,476","24,614","53,558","29,881","19,758","9,373","4,220","50,831","35,952","19,043","4,663","76,797","36,135","73,626"
2020년08월_계_연령구간인구수,"709,881","62,954","93,099","100,901","14,476","24,614","53,558","29,881","19,758","9,373","4,220","50,831","35,952","19,043","4,663","76,797","36,135","73,626"
2020년08월_계_0~9세,"66,081","4,365","8,627","8,766","1,610","1,121","4,192","1,822","1,270",361,204,"5,573","3,266",776,167,"10,336","4,899","8,726"
2020년08월_계_10~19세,"77,676","7,500","11,494","11,377","1,344","2,009","6,730","2,681","2,006",824,253,"6,723","5,069","1,224",203,"7,859","3,682","6,698"
2020년08월_계_20~29세,"84,304","7,860","10,462","11,808","1,557","3,366","6,573","4,155","2,477",883,413,"5,510","4,322","2,534",532,"8,920","3,845","9,087"
2020년08월_계_30~39세,"90,335","6,186","10,632","12,211","2,195","2,399","5,526","3,398","1,849",764,422,"6,339","4,137","2,165",499,"13,348","6,129","12,136"
2020년08월_계_40~49세,"129,872","11,324","17,532","19,326","2,443","3,474","10,411","4,336","3,314","1,066",532,"10,864","7,468","2,306",515,"14,615","7,163","13,183"
2020년08월_계_50~59세,"115,751","11,158","15,135","16,764","2,277","5,283","9,327","5,817","3,601","1,829",791,"7,310","5,657","3,991",928,"9,999","5,103","10,781"
2020년08월_계_60~69세,"80,814","7,538","10,592","11,173","1,831","3,912","5,601","4,434","2,676","1,920",867,"4,443","3,243","3,428","1,072","6,829","3,281","7,974"
2020년08월_계_70~79세,"44,216","4,797","5,875","6,623",811,"1,968","3,532","2,207","1,712","1,106",475,"2,841","1,853","1,632",489,"3,391","1,401","3,503"
2020년08월_계_80~89세,"18,054","1,907","2,432","2,486",351,939,"1,469",921,726,484,223,"1,060",818,848,227,"1,306",538,"1,319"
2020년08월_계_90~99세,"2,566",291,303,335,56,130,191,102,107,127,37,160,114,123,23,183,78,206
2020년08월_계_100세 이상,212,28,15,32,1,13,6,8,20,9,3,8,5,16,8,11,16,13
2020년08월_남_총인구수,"353,465","31,007","47,045","50,573","7,295","12,788","26,894","14,893","9,879","4,940","2,192","24,752","17,690","9,693","2,629","37,720","17,623","35,852"
2020년08월_남_연령구간인구수,"353,465","31,007","47,045","50,573","7,295","12,788","26,894","14,893","9,879","4,940","2,192","24,752","17,690","9,693","2,629","37,720","17,623","35,852"
2020년08월_남_0~9세,"33,973","2,283","4,488","4,536",827,615,"2,181",903,641,207,103,"2,851","1,665",392,81,"5,275","2,497","4,428"
2020년08월_남_10~19세,"39,931","3,852","5,944","5,959",662,"1,026","3,432","1,398","1,091",472,128,"3,452","2,595",655,104,"3,950","1,885","3,326"
2020년08월_남_20~29세,"43,856","4,104","5,551","6,170",805,"1,863","3,507","2,196","1,235",513,229,"2,861","2,186","1,400",314,"4,451","1,956","4,515"
2020년08월_남_30~39세,"44,403","3,024","5,252","6,123","1,111","1,289","2,748","1,768",953,417,213,"2,932","1,994","1,227",306,"6,349","2,813","5,884"
2020년08월_남_40~49세,"65,238","5,392","8,867","9,807","1,255","1,868","5,249","2,188","1,654",596,289,"5,257","3,625","1,220",323,"7,475","3,609","6,564"
2020년08월_남_50~59세,"59,154","5,675","8,017","8,694","1,180","2,809","4,933","2,797","1,896","1,002",438,"3,735","2,934","1,996",521,"4,868","2,504","5,155"
2020년08월_남_60~69세,"39,373","3,595","5,256","5,351",915,"2,063","2,707","2,264","1,305",988,449,"1,998","1,552","1,725",642,"3,226","1,510","3,827"
2020년08월_남_70~79세,"20,192","2,244","2,664","2,944",389,878,"1,543","1,011",760,534,243,"1,217",816,755,243,"1,636",639,"1,676"
2020년08월_남_80~89세,"6,692",749,920,906,140,346,549,340,307,179,91,408,293,290,90,460,187,437
2020년08월_남_90~99세,591,81,82,73,10,30,44,25,32,26,6,37,30,28,5,29,17,36
2020년08월_남_100세 이상,62,8,4,10,1,1,1,3,5,6,3,4,0,5,0,1,6,4
2020년08월_여_총인구수,"356,416","31,947","46,054","50,328","7,181","11,826","26,664","14,988","9,879","4,433","2,028","26,079","18,262","9,350","2,034","39,077","18,512","37,774"
2020년08월_여_연령구간인구수,"356,416","31,947","46,054","50,328","7,181","11,826","26,664","14,988","9,879","4,433","2,028","26,079","18,262","9,350","2,034","39,077","18,512","37,774"
2020년08월_여_0~9세,"32,108","2,082","4,139","4,230",783,506,"2,011",919,629,154,101,"2,722","1,601",384,86,"5,061","2,402","4,298"
2020년08월_여_10~19세,"37,745","3,648","5,550","5,418",682,983,"3,298","1,283",915,352,125,"3,271","2,474",569,99,"3,909","1,797","3,372"
