카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년03월_계_총인구수,"53,625","21,928","4,825","7,046","1,797","1,789","1,378","2,412","2,406","4,103","5,342",411,188
2020년03월_계_연령구간인구수,"53,625","21,928","4,825","7,046","1,797","1,789","1,378","2,412","2,406","4,103","5,342",411,188
2020년03월_계_0~9세,"3,759","2,090",191,662,80,87,52,95,79,142,257,12,12
2020년03월_계_10~19세,"4,346","2,414",275,558,122,76,59,201,68,171,384,15,3
2020년03월_계_20~29세,"5,132","2,450",371,869,148,138,96,177,138,244,467,26,8
2020년03월_계_30~39세,"4,979","2,380",284,932,136,124,118,134,135,277,426,21,12
2020년03월_계_40~49세,"6,781","3,420",494,899,180,148,105,269,184,383,603,71,25
2020년03월_계_50~59세,"8,806","3,437",826,"1,186",291,297,262,395,362,696,933,84,37
2020년03월_계_60~69세,"8,239","2,781",848,857,309,324,278,400,447,901,936,109,49
2020년03월_계_70~79세,"7,139","1,905",932,700,303,316,244,430,551,847,837,41,33
2020년03월_계_80~89세,"3,885",900,535,338,190,244,146,274,397,396,432,25,8
2020년03월_계_90~99세,522,138,62,40,36,34,18,34,43,46,63,7,1
2020년03월_계_100세 이상,37,13,7,5,2,1,0,3,2,0,4,0,0
2020년03월_남_총인구수,"26,716","10,733","2,430","3,693",949,864,680,"1,231","1,149","2,014","2,609",252,112
2020년03월_남_연령구간인구수,"26,716","10,733","2,430","3,693",949,864,680,"1,231","1,149","2,014","2,609",252,112
2020년03월_남_0~9세,"1,907","1,056",93,354,44,46,19,44,42,65,131,6,7
2020년03월_남_10~19세,"2,261","1,236",150,273,91,40,29,112,40,84,196,7,3
2020년03월_남_20~29세,"2,851","1,303",228,504,87,63,50,105,73,148,268,19,3
2020년03월_남_30~39세,"2,597","1,139",168,516,77,64,59,82,76,166,229,14,7
2020년03월_남_40~49세,"3,878","1,757",319,516,118,98,72,178,119,263,364,54,20
2020년03월_남_50~59세,"4,793","1,738",492,682,167,166,146,256,213,377,476,56,24
2020년03월_남_60~69세,"4,090","1,321",412,442,174,168,149,193,217,435,486,66,27
2020년03월_남_70~79세,"3,038",866,377,296,125,136,106,174,223,360,333,23,19
2020년03월_남_80~89세,"1,201",290,174,102,57,76,46,81,140,108,118,7,2
2020년03월_남_90~99세,96,27,14,7,9,7,4,6,6,8,8,0,0
2020년03월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"26,909","11,195","2,395","3,353",848,925,698,"1,181","1,257","2,089","2,733",159,76
2020년03월_여_연령구간인구수,"26,909","11,195","2,395","3,353",848,925,698,"1,181","1,257","2,089","2,733",159,76
2020년03월_여_0~9세,"1,852","1,034",98,308,36,41,33,51,37,77,126,6,5
2020년03월_여_10~19세,"2,085","1,178",125,285,31,36,30,89,28,87,188,8,0
2020년03월_여_20~29세,"2,281","1,147",143,365,61,75,46,72,65,96,199,7,5
2020년03월_여_30~39세,"2,382","1,241",116,416,59,60,59,52,59,111,197,7,5
2020년03월_여_40~49세,"2,903","1,663",175,383,62,50,33,91,65,120,239,17,5
2020년03월_여_50~59세,"4,013","1,699",334,504,124,131,116,139,149,319,457,28,13
2020년03월_여_60~69세,"4,149","1,460",436,415,135,156,129,207,230,466,450,43,22
2020년03월_여_70~79세,"4,101","1,039",555,404,178,180,138,256,328,487,504,18,14
2020년03월_여_80~89세,"2,684",610,361,236,133,168,100,193,257,288,314,18,6
2020년03월_여_90~99세,426,111,48,33,27,27,14,28,37,38,55,7,1
2020년03월_여_100세 이상,33,13,4,4,2,1,0,3,2,0,4,0,0
