카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년02월_계_총인구수,"31,432","8,997",510,"4,115","8,437","5,062","2,771","1,540"
2020년02월_계_연령구간인구수,"31,432","8,997",510,"4,115","8,437","5,062","2,771","1,540"
2020년02월_계_0~9세,"2,524",761,19,377,661,400,254,52
2020년02월_계_10~19세,"2,317",783,26,276,649,335,156,92
2020년02월_계_20~29세,"4,152","1,150",40,554,"1,116",588,581,123
2020년02월_계_30~39세,"3,882","1,136",34,596,936,670,417,93
2020년02월_계_40~49세,"3,955","1,261",59,434,"1,140",635,269,157
2020년02월_계_50~59세,"5,428","1,511",119,637,"1,534",922,361,344
2020년02월_계_60~69세,"4,773","1,251",108,659,"1,260",784,361,350
2020년02월_계_70~79세,"2,748",722,74,329,724,445,240,214
2020년02월_계_80~89세,"1,411",360,28,220,350,241,119,93
2020년02월_계_90~99세,229,55,3,33,64,40,13,21
2020년02월_계_100세 이상,13,7,0,0,3,2,0,1
2020년02월_남_총인구수,"17,011","4,767",274,"2,223","4,573","2,720","1,628",826
2020년02월_남_연령구간인구수,"17,011","4,767",274,"2,223","4,573","2,720","1,628",826
2020년02월_남_0~9세,"1,314",405,8,192,330,211,140,28
2020년02월_남_10~19세,"1,188",411,13,130,344,162,77,51
2020년02월_남_20~29세,"2,764",717,26,376,745,364,454,82
2020년02월_남_30~39세,"2,221",618,24,351,520,397,252,59
2020년02월_남_40~49세,"2,213",684,35,247,646,351,161,89
2020년02월_남_50~59세,"2,873",797,63,333,822,471,205,182
2020년02월_남_60~69세,"2,592",650,56,361,692,452,187,194
2020년02월_남_70~79세,"1,294",343,39,153,330,219,108,102
2020년02월_남_80~89세,481,126,9,69,123,82,41,31
2020년02월_남_90~99세,67,14,1,11,20,10,3,8
2020년02월_남_100세 이상,4,2,0,0,1,1,0,0
2020년02월_여_총인구수,"14,421","4,230",236,"1,892","3,864","2,342","1,143",714
2020년02월_여_연령구간인구수,"14,421","4,230",236,"1,892","3,864","2,342","1,143",714
2020년02월_여_0~9세,"1,210",356,11,185,331,189,114,24
2020년02월_여_10~19세,"1,129",372,13,146,305,173,79,41
2020년02월_여_20~29세,"1,388",433,14,178,371,224,127,41
2020년02월_여_30~39세,"1,661",518,10,245,416,273,165,34
2020년02월_여_40~49세,"1,742",577,24,187,494,284,108,68
2020년02월_여_50~59세,"2,555",714,56,304,712,451,156,162
2020년02월_여_60~69세,"2,181",601,52,298,568,332,174,156
2020년02월_여_70~79세,"1,454",379,35,176,394,226,132,112
2020년02월_여_80~89세,930,234,19,151,227,159,78,62
2020년02월_여_90~99세,162,41,2,22,44,30,10,13
2020년02월_여_100세 이상,9,5,0,0,2,1,0,1
