,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년03월_계_총인구수,"31,232","9,908","3,117","2,089","2,012","4,390","2,196","1,509","2,250","1,730","2,031"
2021년03월_계_연령구간인구수,"31,232","9,908","3,117","2,089","2,012","4,390","2,196","1,509","2,250","1,730","2,031"
2021년03월_계_0~9세,"1,342",599,94,54,68,173,52,32,63,28,179
2021년03월_계_10~19세,"1,845",901,133,87,83,219,84,70,103,39,126
2021년03월_계_20~29세,"1,910",848,127,120,99,239,93,63,108,91,122
2021년03월_계_30~39세,"1,881",758,155,111,98,237,98,56,93,56,219
2021년03월_계_40~49세,"3,174","1,283",237,176,136,388,183,123,200,128,320
2021년03월_계_50~59세,"5,669","1,730",576,351,356,856,436,329,426,274,335
2021년03월_계_60~69세,"6,921","1,709",820,534,480,"1,009",584,397,567,443,378
2021년03월_계_70~79세,"4,681","1,148",543,349,344,694,372,241,394,380,216
2021년03월_계_80~89세,"3,262",789,371,268,301,479,255,174,255,252,118
2021년03월_계_90~99세,517,138,57,37,44,90,34,23,39,38,17
2021년03월_계_100세 이상,30,5,4,2,3,6,5,1,2,1,1
2021년03월_남_총인구수,"15,740","4,882","1,567","1,011","1,020","2,181","1,107",767,"1,183",891,"1,131"
2021년03월_남_연령구간인구수,"15,740","4,882","1,567","1,011","1,020","2,181","1,107",767,"1,183",891,"1,131"
2021년03월_남_0~9세,687,307,46,29,36,95,28,14,34,10,88
2021년03월_남_10~19세,981,449,84,42,44,116,47,45,61,26,67
2021년03월_남_20~29세,"1,148",489,79,72,65,137,58,38,73,60,77
2021년03월_남_30~39세,"1,028",382,87,63,54,127,50,31,56,37,141
2021년03월_남_40~49세,"1,844",673,138,110,86,228,114,68,125,85,217
2021년03월_남_50~59세,"3,071",915,300,185,201,450,236,176,244,156,208
2021년03월_남_60~69세,"3,586",856,432,267,265,512,314,215,302,223,200
2021년03월_남_70~79세,"2,108",501,248,152,144,312,169,113,187,188,94
2021년03월_남_80~89세,"1,157",287,136,84,112,176,80,59,96,95,32
2021년03월_남_90~99세,126,22,17,6,13,26,11,8,5,11,7
2021년03월_남_100세 이상,4,1,0,1,0,2,0,0,0,0,0
2021년03월_여_총인구수,"15,492","5,026","1,550","1,078",992,"2,209","1,089",742,"1,067",839,900
2021년03월_여_연령구간인구수,"15,492","5,026","1,550","1,078",992,"2,209","1,089",742,"1,067",839,900
2021년03월_여_0~9세,655,292,48,25,32,78,24,18,29,18,91
2021년03월_여_10~19세,864,452,49,45,39,103,37,25,42,13,59
2021년03월_여_20~29세,762,359,48,48,34,102,35,25,35,31,45
2021년03월_여_30~39세,853,376,68,48,44,110,48,25,37,19,78
2021년03월_여_40~49세,"1,330",610,99,66,50,160,69,55,75,43,103
2021년03월_여_50~59세,"2,598",815,276,166,155,406,200,153,182,118,127
2021년03월_여_60~69세,"3,335",853,388,267,215,497,270,182,265,220,178
2021년03월_여_70~79세,"2,573",647,295,197,200,382,203,128,207,192,122
2021년03월_여_80~89세,"2,105",502,235,184,189,303,175,115,159,157,86
2021년03월_여_90~99세,391,116,40,31,31,64,23,15,34,27,10
2021년03월_여_100세 이상,26,4,4,1,3,4,5,1,2,1,1
