,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년01월_계_총인구수,"541,823","45,828","41,317","31,425","48,908","30,488","28,295","6,615","9,822","22,744","13,341","14,147","32,174","12,240","20,424","16,519","10,868","33,044","22,816","24,582","28,330","24,717","23,179"
2021년01월_계_연령구간인구수,"541,823","45,828","41,317","31,425","48,908","30,488","28,295","6,615","9,822","22,744","13,341","14,147","32,174","12,240","20,424","16,519","10,868","33,044","22,816","24,582","28,330","24,717","23,179"
2021년01월_계_0~9세,"49,508","4,569","2,392","3,840","6,776","4,707","3,280",342,461,"1,229",680,598,"2,749",627,"1,394",660,787,"2,673","1,902","2,519","2,932","2,276","2,115"
2021년01월_계_10~19세,"56,574","4,462","3,528","4,458","6,348","3,869","2,111",408,763,"1,566",930,"1,229","2,995",880,"1,934","1,257",798,"3,440","2,821","3,516","3,322","2,675","3,264"
2021년01월_계_20~29세,"72,446","6,489","6,568","3,900","5,718","3,279","3,477","1,017","1,568","3,279","1,723","2,172","4,320","1,732","2,945","2,372","1,370","4,725","2,874","2,756","3,851","3,142","3,169"
2021년01월_계_30~39세,"79,070","8,296","4,931","5,711","8,197","5,636","4,896",913,"1,203","2,952","1,559","1,534","4,480","1,578","2,544","1,809","1,644","4,662","2,543","3,317","4,547","3,261","2,857"
2021년01월_계_40~49세,"95,245","8,526","6,244","6,538","10,074","6,160","4,550",827,"1,318","3,220","1,882","2,062","4,951","1,841","3,049","2,267","1,616","5,851","4,485","5,578","5,462","4,332","4,412"
2021년01월_계_50~59세,"93,480","6,934","8,694","4,064","6,665","3,958","4,671","1,617","2,255","4,734","2,771","2,969","6,045","2,522","3,991","3,359","1,987","5,789","3,953","3,648","4,556","4,412","3,886"
2021년01월_계_60~69세,"58,932","4,085","5,349","1,913","3,485","2,030","3,336","1,021","1,476","3,570","2,295","2,159","4,374","1,811","2,906","2,853","1,673","3,544","2,233","1,806","2,241","2,774","1,998"
2021년01월_계_70~79세,"24,475","1,742","2,272",664,"1,125",576,"1,329",297,504,"1,516","1,035",959,"1,593",859,"1,073","1,277",649,"1,595","1,319",977,923,"1,215",976
2021년01월_계_80~89세,"10,305",618,"1,133",294,435,223,536,133,243,575,393,411,567,344,489,560,281,661,621,398,431,530,429
2021년01월_계_90~99세,"1,677",103,190,41,81,49,102,33,28,93,69,52,94,43,96,98,57,92,59,63,63,98,73
2021년01월_계_100세 이상,111,4,16,2,4,1,7,7,3,10,4,2,6,3,3,7,6,12,6,4,2,2,0
2021년01월_남_총인구수,"273,693","23,313","21,045","15,645","24,325","15,098","14,173","3,486","4,921","11,713","6,936","7,132","16,095","6,548","9,948","8,409","5,611","17,107","11,577","12,453","14,133","12,604","11,421"
2021년01월_남_연령구간인구수,"273,693","23,313","21,045","15,645","24,325","15,098","14,173","3,486","4,921","11,713","6,936","7,132","16,095","6,548","9,948","8,409","5,611","17,107","11,577","12,453","14,133","12,604","11,421"
2021년01월_남_0~9세,"25,614","2,389","1,200","2,019","3,535","2,408","1,731",168,233,636,345,340,"1,389",337,721,337,387,"1,418",978,"1,330","1,473","1,144","1,096"
2021년01월_남_10~19세,"28,987","2,351","1,823","2,225","3,267","1,957","1,092",212,399,820,492,598,"1,475",454,965,666,434,"1,756","1,452","1,802","1,730","1,385","1,632"
2021년01월_남_20~29세,"37,585","3,312","3,549","1,893","2,866","1,652","1,755",580,805,"1,770",965,"1,153","2,240",947,"1,537","1,258",698,"2,510","1,536","1,430","1,927","1,634","1,568"
2021년01월_남_30~39세,"40,386","4,263","2,637","2,843","3,840","2,607","2,434",503,670,"1,684",863,875,"2,284",925,"1,287","1,005",871,"2,532","1,306","1,629","2,282","1,653","1,393"
2021년01월_남_40~49세,"48,592","4,436","3,196","3,218","5,010","3,106","2,417",459,669,"1,770","1,025","1,071","2,525","1,041","1,447","1,173",857,"3,029","2,258","2,773","2,701","2,238","2,173"
2021년01월_남_50~59세,"47,470","3,484","4,396","2,097","3,354","1,972","2,303",833,"1,066","2,370","1,413","1,468","2,994","1,368","1,874","1,685","1,030","3,046","2,120","2,042","2,328","2,277","1,950"
2021년01월_남_60~69세,"29,996","2,029","2,795",969,"1,759","1,062","1,649",548,784,"1,772","1,191","1,070","2,220",961,"1,449","1,450",904,"1,839","1,083",844,"1,111","1,502","1,005"
2021년01월_남_70~79세,"11,307",812,998,281,529,267,616,145,218,710,499,432,773,387,500,619,323,743,581,437,399,588,450
2021년01월_남_80~89세,"3,393",215,399,97,152,59,157,31,72,158,129,120,181,113,145,192,90,215,244,152,162,170,140
2021년01월_남_90~99세,327,20,45,3,13,7,17,4,4,19,14,5,13,13,22,23,15,15,17,13,19,12,14
2021년01월_남_100세 이상,36,2,7,0,0,1,2,3,1,4,0,0,1,2,1,1,2,4,2,1,1,1,0
2021년01월_여_총인구수,"268,130","22,515","20,272","15,780","24,583","15,390","14,122","3,129","4,901","11,031","6,405","7,015","16,079","5,692","10,476","8,110","5,257","15,937","11,239","12,129","14,197","12,113","11,758"
2021년01월_여_연령구간인구수,"268,130","22,515","20,272","15,780","24,583","15,390","14,122","3,129","4,901","11,031","6,405","7,015","16,079","5,692","10,476","8,110","5,257","15,937","11,239","12,129","14,197","12,113","11,758"
2021년01월_여_0~9세,"23,894","2,180","1,192","1,821","3,241","2,299","1,549",174,228,593,335,258,"1,360",290,673,323,400,"1,255",924,"1,189","1,459","1,132","1,019"
2021년01월_여_10~19세,"27,587","2,111","1,705","2,233","3,081","1,912","1,019",196,364,746,438,631,"1,520",426,969,591,364,"1,684","1,369","1,714","1,592","1,290","1,632"
2021년01월_여_20~29세,"34,861","3,177","3,019","2,007","2,852","1,627","1,722",437,763,"1,509",758,"1,019","2,080",785,"1,408","1,114",672,"2,215","1,338","1,326","1,924","1,508","1,601"
2021년01월_여_30~39세,"38,684","4,033","2,294","2,868","4,357","3,029","2,462",410,533,"1,268",696,659,"2,196",653,"1,257",804,773,"2,130","1,237","1,688","2,265","1,608","1,464"
2021년01월_여_40~49세,"46,653","4,090","3,048","3,320","5,064","3,054","2,133",368,649,"1,450",857,991,"2,426",800,"1,602","1,094",759,"2,822","2,227","2,805","2,761","2,094","2,239"
2021년01월_여_50~59세,"46,010","3,450","4,298","1,967","3,311","1,986","2,368",784,"1,189","2,364","1,358","1,501","3,051","1,154","2,117","1,674",957,"2,743","1,833","1,606","2,228","2,135","1,936"
2021년01월_여_60~69세,"28,936","2,056","2,554",944,"1,726",968,"1,687",473,692,"1,798","1,104","1,089","2,154",850,"1,457","1,403",769,"1,705","1,150",962,"1,130","1,272",993
2021년01월_여_70~79세,"13,168",930,"1,274",383,596,309,713,152,286,806,536,527,820,472,573,658,326,852,738,540,524,627,526
2021년01월_여_80~89세,"6,912",403,734,197,283,164,379,102,171,417,264,291,386,231,344,368,191,446,377,246,269,360,289
2021년01월_여_90~99세,"1,350",83,145,38,68,42,85,29,24,74,55,47,81,30,74,75,42,77,42,50,44,86,59
2021년01월_여_100세 이상,75,2,9,2,4,0,5,4,2,6,4,2,5,1,2,6,4,8,4,3,1,1,0
