,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년07월_계_총인구수,"105,099","5,430","1,283","7,229","5,311","3,113","2,867","3,969","4,361","8,583","3,449","5,125","1,767","2,832","15,066","20,564","8,094","6,056"
2020년07월_계_연령구간인구수,"105,099","5,430","1,283","7,229","5,311","3,113","2,867","3,969","4,361","8,583","3,449","5,125","1,767","2,832","15,066","20,564","8,094","6,056"
2020년07월_계_0~9세,"5,762",148,20,292,143,67,69,97,81,485,79,122,36,73,"1,257","2,020",395,378
2020년07월_계_10~19세,"7,980",251,48,441,258,97,133,216,155,550,139,280,56,156,"1,330","2,603",676,591
2020년07월_계_20~29세,"9,201",341,109,506,376,168,192,222,253,683,183,319,73,257,"1,844","2,201",812,662
2020년07월_계_30~39세,"9,051",328,71,516,358,162,170,192,252,703,162,254,71,208,"1,956","2,271",720,657
2020년07월_계_40~49세,"13,154",533,105,800,492,216,272,376,332,"1,036",315,417,122,314,"2,287","3,520","1,096",921
2020년07월_계_50~59세,"19,038","1,029",230,"1,338","1,054",567,574,762,912,"1,525",601,918,287,561,"2,679","3,376","1,475","1,150"
2020년07월_계_60~69세,"20,567","1,359",324,"1,581","1,293",902,690,"1,028","1,245","1,741",930,"1,267",503,608,"2,158","2,517","1,450",971
2020년07월_계_70~79세,"12,551",917,215,"1,062",787,553,480,677,691,"1,145",625,861,348,434,"1,007","1,338",914,497
2020년07월_계_80~89세,"6,868",456,141,618,483,333,252,353,386,634,369,595,240,196,468,636,498,210
2020년07월_계_90~99세,881,66,20,68,66,48,32,45,51,74,42,89,31,19,78,79,57,16
2020년07월_계_100세 이상,46,2,0,7,1,0,3,1,3,7,4,3,0,6,2,3,1,3
2020년07월_남_총인구수,"51,484","2,667",636,"3,609","2,724","1,488","1,461","2,022","2,151","4,251","1,710","2,507",856,"1,380","7,444","9,889","3,767","2,922"
2020년07월_남_연령구간인구수,"51,484","2,667",636,"3,609","2,724","1,488","1,461","2,022","2,151","4,251","1,710","2,507",856,"1,380","7,444","9,889","3,767","2,922"
2020년07월_남_0~9세,"2,939",75,10,156,78,30,38,48,44,239,41,69,17,33,629,"1,047",210,175
2020년07월_남_10~19세,"4,198",126,26,234,141,52,76,115,86,291,72,158,29,86,694,"1,375",332,305
2020년07월_남_20~29세,"5,308",195,59,300,247,108,122,143,155,409,110,186,50,164,"1,040","1,243",422,355
2020년07월_남_30~39세,"4,784",193,44,294,217,95,98,116,142,377,102,146,39,109,"1,028","1,063",382,339
2020년07월_남_40~49세,"6,959",313,69,483,283,129,161,239,195,589,201,233,79,170,"1,163","1,669",526,457
2020년07월_남_50~59세,"9,627",535,130,707,584,276,306,400,462,767,314,511,131,288,"1,305","1,620",738,553
2020년07월_남_60~69세,"9,990",676,154,763,668,442,350,526,623,889,454,631,270,273,"1,023","1,124",661,463
2020년07월_남_70~79세,"5,417",398,97,467,332,256,230,326,325,484,291,377,158,188,402,539,336,211
2020년07월_남_80~89세,"2,092",144,42,192,163,93,77,103,111,189,117,180,78,63,141,190,147,62
2020년07월_남_90~99세,163,12,5,12,11,7,2,6,7,17,7,16,5,4,19,18,13,2
2020년07월_남_100세 이상,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020년07월_여_총인구수,"53,615","2,763",647,"3,620","2,587","1,625","1,406","1,947","2,210","4,332","1,739","2,618",911,"1,452","7,622","10,675","4,327","3,134"
2020년07월_여_연령구간인구수,"53,615","2,763",647,"3,620","2,587","1,625","1,406","1,947","2,210","4,332","1,739","2,618",911,"1,452","7,622","10,675","4,327","3,134"
2020년07월_여_0~9세,"2,823",73,10,136,65,37,31,49,37,246,38,53,19,40,628,973,185,203
2020년07월_여_10~19세,"3,782",125,22,207,117,45,57,101,69,259,67,122,27,70,636,"1,228",344,286
2020년07월_여_20~29세,"3,893",146,50,206,129,60,70,79,98,274,73,133,23,93,804,958,390,307
2020년07월_여_30~39세,"4,267",135,27,222,141,67,72,76,110,326,60,108,32,99,928,"1,208",338,318
2020년07월_여_40~49세,"6,195",220,36,317,209,87,111,137,137,447,114,184,43,144,"1,124","1,851",570,464
2020년07월_여_50~59세,"9,411",494,100,631,470,291,268,362,450,758,287,407,156,273,"1,374","1,756",737,597
2020년07월_여_60~69세,"10,577",683,170,818,625,460,340,502,622,852,476,636,233,335,"1,135","1,393",789,508
2020년07월_여_70~79세,"7,134",519,118,595,455,297,250,351,366,661,334,484,190,246,605,799,578,286
2020년07월_여_80~89세,"4,776",312,99,426,320,240,175,250,275,445,252,415,162,133,327,446,351,148
2020년07월_여_90~99세,718,54,15,56,55,41,30,39,44,57,35,73,26,15,59,61,44,14
2020년07월_여_100세 이상,39,2,0,6,1,0,2,1,2,7,3,3,0,4,2,2,1,3
