,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년12월_계_총인구수,"306,003","19,535","14,022","12,474","12,258","26,557","21,531","25,356","16,925","15,747","10,720","27,335","38,840","27,296","12,900","18,576","5,931"
2021년12월_계_연령구간인구수,"306,003","19,535","14,022","12,474","12,258","26,557","21,531","25,356","16,925","15,747","10,720","27,335","38,840","27,296","12,900","18,576","5,931"
2021년12월_계_0~9세,"18,330",992,809,497,709,"1,508","1,134","1,344","1,040","1,005",851,"1,752","2,754","1,591","1,387",836,121
2021년12월_계_10~19세,"24,510","1,542","1,093",730,945,"2,247","1,624","1,958","1,105","1,296",936,"2,371","3,847","2,303",940,"1,351",222
2021년12월_계_20~29세,"38,220","2,197","1,538","1,390","1,408","3,302","3,502","5,125","1,782","2,047","1,045","3,365","4,372","3,146","1,441","2,050",510
2021년12월_계_30~39세,"34,919","2,126","1,413","1,437","1,301","2,833","2,813","3,184","1,998","2,074","1,349","3,431","4,051","2,506","2,315","1,701",387
2021년12월_계_40~49세,"44,747","2,635","2,121","1,583","1,775","3,795","2,935","3,478","2,467","2,355","1,943","4,344","6,247","3,897","2,021","2,473",678
2021년12월_계_50~59세,"53,211","3,340","2,244","2,085","2,008","4,650","3,589","4,032","3,075","2,868","1,744","4,800","7,026","5,162","2,007","3,462","1,119"
2021년12월_계_60~69세,"53,340","3,554","2,629","2,613","2,325","4,838","3,530","3,688","3,145","2,617","1,614","4,535","6,152","5,131","1,779","3,893","1,297"
2021년12월_계_70~79세,"26,964","2,106","1,546","1,480","1,244","2,381","1,661","1,797","1,629","1,060",909,"2,032","2,990","2,359",754,"1,988","1,028"
2021년12월_계_80~89세,"10,369",907,560,589,482,878,661,667,616,365,306,628,"1,222","1,051",211,725,501
2021년12월_계_90~99세,"1,367",132,69,70,59,124,80,79,66,60,23,76,179,146,43,96,65
2021년12월_계_100세 이상,26,4,0,0,2,1,2,4,2,0,0,1,0,4,2,1,3
2021년12월_남_총인구수,"152,197","9,381","6,868","5,965","5,950","12,977","10,739","12,632","8,750","7,879","5,551","13,882","19,440","13,411","6,586","9,142","3,044"
2021년12월_남_연령구간인구수,"152,197","9,381","6,868","5,965","5,950","12,977","10,739","12,632","8,750","7,879","5,551","13,882","19,440","13,411","6,586","9,142","3,044"
2021년12월_남_0~9세,"9,456",520,417,261,383,772,574,714,551,531,435,924,"1,381",803,736,403,51
2021년12월_남_10~19세,"12,649",804,538,378,461,"1,173",809,954,588,672,492,"1,240","2,039","1,186",510,694,111
2021년12월_남_20~29세,"20,497","1,148",810,717,770,"1,718","1,835","2,791",982,"1,067",574,"1,793","2,433","1,765",734,"1,060",300
2021년12월_남_30~39세,"18,564","1,121",750,766,663,"1,486","1,581","1,741","1,141","1,106",704,"1,871","2,014","1,271","1,207",908,234
2021년12월_남_40~49세,"22,955","1,298","1,099",847,879,"1,875","1,498","1,790","1,334","1,203","1,077","2,246","3,097","1,887","1,074","1,333",418
2021년12월_남_50~59세,"26,129","1,534","1,109",994,951,"2,123","1,711","1,908","1,641","1,372",966,"2,398","3,534","2,530","1,011","1,680",667
