,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년06월_계_총인구수,"1,808,802","655,472","338,697","316,775","268,356","284,217","109,503","81,051","83,327","91,841","25,509","24,042","22,240","27,783","28,018","54,858","52,585"
2020년06월_계_연령구간인구수,"1,808,802","655,472","338,697","316,775","268,356","284,217","109,503","81,051","83,327","91,841","25,509","24,042","22,240","27,783","28,018","54,858","52,585"
2020년06월_계_0~9세,"132,723","55,174","25,166","30,008","21,708","20,021","6,664","5,170","4,522","7,246","1,352","1,258","1,207","1,402","1,579","2,770","2,650"
2020년06월_계_10~19세,"177,739","72,734","36,873","35,861","27,176","28,561","9,873","7,464","6,331","8,355","1,672","1,805","1,663","1,764","2,255","4,249","3,837"
2020년06월_계_20~29세,"211,553","92,261","49,099","43,162","29,653","36,512","10,747","7,593","7,329","8,960","1,982","1,802","1,693","2,195","2,125","4,348","4,353"
2020년06월_계_30~39세,"193,014","82,399","40,134","42,265","31,558","29,343","9,173","6,627","6,861","9,742","1,739","1,757","1,628","2,064","2,092","4,013","4,018"
2020년06월_계_40~49세,"271,605","107,657","54,043","53,614","43,931","42,642","15,164","10,961","10,255","13,617","2,820","2,909","2,638","2,972","3,397","6,370","6,272"
2020년06월_계_50~59세,"301,169","105,676","56,933","48,743","43,957","49,461","18,683","13,813","14,074","15,372","4,596","4,225","3,718","4,789","4,561","9,223","9,021"
2020년06월_계_60~69세,"248,891","74,463","41,035","33,428","36,505","39,325","16,471","12,666","14,296","13,464","4,712","4,263","4,166","4,892","4,693","9,480","9,495"
2020년06월_계_70~79세,"167,779","43,085","23,315","19,770","22,366","24,007","13,341","9,744","11,270","9,057","3,823","3,403","3,135","4,313","4,203","8,381","7,651"
2020년06월_계_80~89세,"90,368","19,192","10,492","8,700","9,908","12,372","8,140","6,051","7,169","5,223","2,424","2,275","2,087","2,945","2,723","5,209","4,650"
2020년06월_계_90~99세,"13,121","2,671","1,526","1,145","1,476","1,868","1,140",921,"1,150",760,362,327,283,425,360,780,598
2020년06월_계_100세 이상,840,160,81,79,118,105,107,41,70,45,27,18,22,22,30,35,40
