,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년11월_계_총인구수,"85,104","30,152","29,572",0,"3,109","3,452","2,090","6,184","10,545"
2021년11월_계_연령구간인구수,"85,104","30,152","29,572",0,"3,109","3,452","2,090","6,184","10,545"
2021년11월_계_0~9세,"7,437","2,025","4,321",0,71,111,47,187,675
2021년11월_계_10~19세,"8,372","3,297","3,177",0,162,139,77,385,"1,135"
2021년11월_계_20~29세,"9,241","3,928","3,065",0,192,233,93,522,"1,208"
2021년11월_계_30~39세,"11,423","3,062","6,126",0,171,245,115,498,"1,206"
2021년11월_계_40~49세,"13,778","4,916","5,627",0,276,323,161,704,"1,771"
2021년11월_계_50~59세,"13,865","5,373","3,535",0,575,711,374,"1,197","2,100"
2021년11월_계_60~69세,"11,348","4,082","2,236",0,780,839,583,"1,424","1,404"
2021년11월_계_70~79세,"5,510","2,074",858,0,449,467,330,700,632
2021년11월_계_80~89세,"3,632","1,232",554,0,379,340,269,497,361
2021년11월_계_90~99세,484,160,71,0,51,43,37,69,53
2021년11월_계_100세 이상,14,3,2,0,3,1,4,1,0
2021년11월_남_총인구수,"44,663","15,507","15,617",0,"1,612","1,806","1,069","3,285","5,767"
2021년11월_남_연령구간인구수,"44,663","15,507","15,617",0,"1,612","1,806","1,069","3,285","5,767"
2021년11월_남_0~9세,"3,832","1,062","2,222",0,35,48,27,97,341
2021년11월_남_10~19세,"4,342","1,708","1,618",0,83,68,39,207,619
2021년11월_남_20~29세,"5,372","2,249","1,711",0,121,147,61,319,764
2021년11월_남_30~39세,"6,296","1,646","3,307",0,110,150,62,316,705
2021년11월_남_40~49세,"7,474","2,556","3,086",0,169,198,99,398,968
2021년11월_남_50~59세,"7,611","2,902","1,929",0,339,384,216,667,"1,174"
2021년11월_남_60~69세,"5,838","1,986","1,144",0,415,466,301,771,755
2021년11월_남_70~79세,"2,553",935,388,0,216,223,161,335,295
2021년11월_남_80~89세,"1,243",425,194,0,114,115,95,165,135
2021년11월_남_90~99세,97,36,18,0,10,6,7,9,11
2021년11월_남_100세 이상,5,2,0,0,0,1,1,1,0
2021년11월_여_총인구수,"40,441","14,645","13,955",0,"1,497","1,646","1,021","2,899","4,778"
2021년11월_여_연령구간인구수,"40,441","14,645","13,955",0,"1,497","1,646","1,021","2,899","4,778"
2021년11월_여_0~9세,"3,605",963,"2,099",0,36,63,20,90,334
2021년11월_여_10~19세,"4,030","1,589","1,559",0,79,71,38,178,516
2021년11월_여_20~29세,"3,869","1,679","1,354",0,71,86,32,203,444
2021년11월_여_30~39세,"5,127","1,416","2,819",0,61,95,53,182,501
2021년11월_여_40~49세,"6,304","2,360","2,541",0,107,125,62,306,803
2021년11월_여_50~59세,"6,254","2,471","1,606",0,236,327,158,530,926
2021년11월_여_60~69세,"5,510","2,096","1,092",0,365,373,282,653,649
2021년11월_여_70~79세,"2,957","1,139",470,0,233,244,169,365,337
2021년11월_여_80~89세,"2,389",807,360,0,265,225,174,332,226
2021년11월_여_90~99세,387,124,53,0,41,37,30,60,42
2021년11월_여_100세 이상,9,1,2,0,3,0,3,0,0
