,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년06월_계_총인구수,"521,340","31,736","35,698","29,931","14,783","21,987","22,079","27,770","28,961","17,321","24,461","17,758","21,293","15,398","24,572","20,103","39,656","21,072","32,209","32,999","41,553"
2021년06월_계_연령구간인구수,"521,340","31,736","35,698","29,931","14,783","21,987","22,079","27,770","28,961","17,321","24,461","17,758","21,293","15,398","24,572","20,103","39,656","21,072","32,209","32,999","41,553"
2021년06월_계_0~9세,"39,766","3,055","3,495","1,641",609,"1,102","1,537","1,526","1,746",819,"1,654","1,272","1,416",597,"1,363","1,552","5,767","1,232","2,751","2,380","4,252"
2021년06월_계_10~19세,"49,245","3,069","4,362","1,810","1,000","1,566","2,075","2,066","2,344","1,083","2,464","1,618","1,886",980,"2,280","2,188","3,835","1,867","3,546","3,310","5,896"
2021년06월_계_20~29세,"69,911","4,153","4,317","6,466","2,149","3,106","2,899","3,978","4,118","2,281","3,252","2,489","2,787","2,141","3,385","2,336","3,706","2,805","4,143","4,626","4,774"
2021년06월_계_30~39세,"70,528","4,582","4,398","5,741","1,608","3,091","2,687","3,597","4,054","2,166","2,877","2,195","2,814","1,804","2,790","2,330","7,244","2,252","4,445","4,589","5,264"
2021년06월_계_40~49세,"87,639","5,609","6,609","4,768","2,221","3,318","3,797","4,199","4,520","2,384","4,095","2,849","3,237","2,026","3,660","3,370","7,658","3,261","5,798","5,608","8,652"
2021년06월_계_50~59세,"89,077","5,055","5,745","4,452","2,899","3,870","3,829","5,170","5,125","3,276","4,316","3,161","3,759","2,971","4,790","3,409","4,970","4,251","5,528","5,657","6,844"
2021년06월_계_60~69세,"68,966","3,856","4,250","3,075","2,406","3,268","3,023","4,259","4,253","2,911","3,548","2,552","3,236","2,791","3,713","3,070","4,209","3,236","3,710","3,882","3,718"
2021년06월_계_70~79세,"31,065","1,605","1,760","1,381","1,270","1,800","1,542","1,997","1,872","1,491","1,586","1,152","1,406","1,452","1,617","1,258","1,637","1,437","1,515","1,873","1,414"
2021년06월_계_80~89세,"13,050",626,648,529,538,748,585,857,794,806,573,402,654,546,820,510,544,618,657,938,657
2021년06월_계_90~99세,"2,009",122,105,67,78,113,103,113,126,103,93,65,90,88,150,79,82,110,116,127,79
2021년06월_계_100세 이상,84,4,9,1,5,5,2,8,9,1,3,3,8,2,4,1,4,3,0,9,3
2021년06월_남_총인구수,"258,876","15,462","17,571","14,852","7,464","10,819","11,021","13,866","14,456","8,468","12,002","8,958","10,387","7,684","11,988","9,991","19,715","10,798","16,248","16,643","20,483"
2021년06월_남_연령구간인구수,"258,876","15,462","17,571","14,852","7,464","10,819","11,021","13,866","14,456","8,468","12,002","8,958","10,387","7,684","11,988","9,991","19,715","10,798","16,248","16,643","20,483"
2021년06월_남_0~9세,"20,465","1,570","1,860",861,323,576,789,757,883,421,848,660,710,314,717,772,"2,979",637,"1,384","1,244","2,160"
2021년06월_남_10~19세,"25,203","1,482","2,248",938,543,810,"1,087","1,045","1,171",554,"1,225",824,994,491,"1,143","1,138","2,030",998,"1,847","1,708","2,927"
2021년06월_남_20~29세,"36,071","2,057","2,243","2,859","1,104","1,607","1,508","2,040","2,129","1,187","1,703","1,314","1,489","1,135","1,809","1,276","1,849","1,551","2,232","2,504","2,475"
2021년06월_남_30~39세,"36,362","2,226","2,061","3,085",922,"1,661","1,354","1,900","2,131","1,183","1,480","1,169","1,445","1,019","1,472","1,182","3,497","1,199","2,348","2,547","2,481"
2021년06월_남_40~49세,"44,617","2,912","3,181","2,564","1,219","1,737","1,943","2,232","2,329","1,227","2,054","1,487","1,584","1,091","1,739","1,707","3,993","1,712","2,923","2,842","4,141"
2021년06월_남_50~59세,"43,904","2,417","2,854","2,231","1,452","1,855","1,935","2,587","2,524","1,643","2,057","1,548","1,782","1,458","2,289","1,635","2,353","2,142","2,790","2,807","3,545"
2021년06월_남_60~69세,"33,267","1,824","2,020","1,481","1,152","1,528","1,462","2,056","2,106","1,386","1,657","1,264","1,508","1,310","1,829","1,489","2,038","1,651","1,800","1,826","1,880"
2021년06월_남_70~79세,"14,134",746,840,620,553,782,707,903,886,612,751,541,661,641,713,578,789,667,672,827,645
2021년06월_남_80~89세,"4,458",210,243,193,186,249,205,315,271,236,208,139,194,212,251,197,177,221,228,309,214
2021년06월_남_90~99세,382,18,19,20,10,14,31,28,25,19,18,12,18,13,26,17,9,20,24,26,15
2021년06월_남_100세 이상,13,0,2,0,0,0,0,3,1,0,1,0,2,0,0,0,1,0,0,3,0
2021년06월_여_총인구수,"262,464","16,274","18,127","15,079","7,319","11,168","11,058","13,904","14,505","8,853","12,459","8,800","10,906","7,714","12,584","10,112","19,941","10,274","15,961","16,356","21,070"
2021년06월_여_연령구간인구수,"262,464","16,274","18,127","15,079","7,319","11,168","11,058","13,904","14,505","8,853","12,459","8,800","10,906","7,714","12,584","10,112","19,941","10,274","15,961","16,356","21,070"
2021년06월_여_0~9세,"19,301","1,485","1,635",780,286,526,748,769,863,398,806,612,706,283,646,780,"2,788",595,"1,367","1,136","2,092"
2021년06월_여_10~19세,"24,042","1,587","2,114",872,457,756,988,"1,021","1,173",529,"1,239",794,892,489,"1,137","1,050","1,805",869,"1,699","1,602","2,969"
2021년06월_여_20~29세,"33,840","2,096","2,074","3,607","1,045","1,499","1,391","1,938","1,989","1,094","1,549","1,175","1,298","1,006","1,576","1,060","1,857","1,254","1,911","2,122","2,299"
2021년06월_여_30~39세,"34,166","2,356","2,337","2,656",686,"1,430","1,333","1,697","1,923",983,"1,397","1,026","1,369",785,"1,318","1,148","3,747","1,053","2,097","2,042","2,783"
2021년06월_여_40~49세,"43,022","2,697","3,428","2,204","1,002","1,581","1,854","1,967","2,191","1,157","2,041","1,362","1,653",935,"1,921","1,663","3,665","1,549","2,875","2,766","4,511"
2021년06월_여_50~59세,"45,173","2,638","2,891","2,221","1,447","2,015","1,894","2,583","2,601","1,633","2,259","1,613","1,977","1,513","2,501","1,774","2,617","2,109","2,738","2,850","3,299"
2021년06월_여_60~69세,"35,699","2,032","2,230","1,594","1,254","1,740","1,561","2,203","2,147","1,525","1,891","1,288","1,728","1,481","1,884","1,581","2,171","1,585","1,910","2,056","1,838"
2021년06월_여_70~79세,"16,931",859,920,761,717,"1,018",835,"1,094",986,879,835,611,745,811,904,680,848,770,843,"1,046",769
2021년06월_여_80~89세,"8,592",416,405,336,352,499,380,542,523,570,365,263,460,334,569,313,367,397,429,629,443
2021년06월_여_90~99세,"1,627",104,86,47,68,99,72,85,101,84,75,53,72,75,124,62,73,90,92,101,64
2021년06월_여_100세 이상,71,4,7,1,5,5,2,5,8,1,2,3,6,2,4,1,3,3,0,6,3
