카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년03월_계_총인구수,"20,335","1,164",985,"5,094","1,225",227,"1,872","6,434",929,379,"2,026"
2021년03월_계_연령구간인구수,"20,335","1,164",985,"5,094","1,225",227,"1,872","6,434",929,379,"2,026"
2021년03월_계_0~9세,924,38,25,340,54,2,42,290,24,11,98
2021년03월_계_10~19세,"1,070",45,27,282,60,9,83,398,29,17,120
2021년03월_계_20~29세,"2,631",83,52,996,187,35,131,579,80,26,462
2021년03월_계_30~39세,"1,869",75,56,601,127,18,87,624,41,20,220
2021년03월_계_40~49세,"2,337",120,114,636,119,16,153,804,86,37,252
2021년03월_계_50~59세,"3,576",195,205,705,206,26,360,"1,298",195,72,314
2021년03월_계_60~69세,"4,142",339,270,786,234,50,471,"1,362",231,86,313
2021년03월_계_70~79세,"2,379",165,157,427,159,51,334,730,146,68,142
2021년03월_계_80~89세,"1,148",85,58,257,68,16,170,296,83,32,83
2021년03월_계_90~99세,246,16,19,61,11,4,40,50,13,10,22
2021년03월_계_100세 이상,13,3,2,3,0,0,1,3,1,0,0
2021년03월_남_총인구수,"11,541",609,518,"2,988",709,142,"1,013","3,585",504,195,"1,278"
2021년03월_남_연령구간인구수,"11,541",609,518,"2,988",709,142,"1,013","3,585",504,195,"1,278"
2021년03월_남_0~9세,469,16,13,176,27,0,18,153,14,7,45
2021년03월_남_10~19세,575,20,15,131,32,8,43,232,15,8,71
2021년03월_남_20~29세,"1,907",49,29,782,136,29,80,378,47,11,366
2021년03월_남_30~39세,"1,145",41,34,357,81,15,52,379,25,14,147
2021년03월_남_40~49세,"1,476",64,70,413,82,15,93,483,59,20,177
2021년03월_남_50~59세,"2,072",113,119,407,110,16,230,717,120,44,196
2021년03월_남_60~69세,"2,240",184,139,413,139,30,265,741,121,44,164
2021년03월_남_70~79세,"1,183",88,80,205,66,22,160,380,70,38,74
2021년03월_남_80~89세,419,30,18,87,31,7,64,112,31,8,31
2021년03월_남_90~99세,51,3,0,16,5,0,8,9,2,1,7
2021년03월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2021년03월_여_총인구수,"8,794",555,467,"2,106",516,85,859,"2,849",425,184,748
2021년03월_여_연령구간인구수,"8,794",555,467,"2,106",516,85,859,"2,849",425,184,748
2021년03월_여_0~9세,455,22,12,164,27,2,24,137,10,4,53
2021년03월_여_10~19세,495,25,12,151,28,1,40,166,14,9,49
2021년03월_여_20~29세,724,34,23,214,51,6,51,201,33,15,96
2021년03월_여_30~39세,724,34,22,244,46,3,35,245,16,6,73
2021년03월_여_40~49세,861,56,44,223,37,1,60,321,27,17,75
2021년03월_여_50~59세,"1,504",82,86,298,96,10,130,581,75,28,118
2021년03월_여_60~69세,"1,902",155,131,373,95,20,206,621,110,42,149
2021년03월_여_70~79세,"1,196",77,77,222,93,29,174,350,76,30,68
2021년03월_여_80~89세,729,55,40,170,37,9,106,184,52,24,52
2021년03월_여_90~99세,195,13,19,45,6,4,32,41,11,9,15
2021년03월_여_100세 이상,9,2,1,2,0,0,1,2,1,0,0
