,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년04월_계_총인구수,"27,932","12,672","2,843","2,292","2,573","2,998","4,554"
2021년04월_계_연령구간인구수,"27,932","12,672","2,843","2,292","2,573","2,998","4,554"
2021년04월_계_0~9세,"1,324",851,61,61,80,94,177
2021년04월_계_10~19세,"1,816","1,133",164,88,93,118,220
2021년04월_계_20~29세,"2,349","1,247",211,189,144,150,408
2021년04월_계_30~39세,"2,328","1,277",156,145,201,213,336
2021년04월_계_40~49세,"3,499","1,922",305,234,234,312,492
2021년04월_계_50~59세,"5,004","2,177",522,440,470,500,895
2021년04월_계_60~69세,"5,724","2,088",668,500,662,736,"1,070"
2021년04월_계_70~79세,"3,628","1,232",474,373,422,504,623
2021년04월_계_80~89세,"1,919",625,241,232,231,311,279
2021년04월_계_90~99세,327,115,41,28,34,57,52
2021년04월_계_100세 이상,14,5,0,2,2,3,2
2021년04월_남_총인구수,"14,238","6,425","1,470","1,160","1,327","1,549","2,307"
2021년04월_남_연령구간인구수,"14,238","6,425","1,470","1,160","1,327","1,549","2,307"
2021년04월_남_0~9세,672,426,36,30,40,50,90
2021년04월_남_10~19세,975,618,91,37,54,61,114
2021년04월_남_20~29세,"1,390",742,127,111,91,92,227
2021년04월_남_30~39세,"1,272",663,95,77,123,120,194
2021년04월_남_40~49세,"1,902",960,172,146,145,202,277
2021년04월_남_50~59세,"2,687","1,148",298,243,229,287,482
2021년04월_남_60~69세,"2,882","1,032",330,255,349,388,528
2021년04월_남_70~79세,"1,688",582,212,166,195,239,294
2021년04월_남_80~89세,702,228,103,88,92,105,86
2021년04월_남_90~99세,67,25,6,7,9,5,15
2021년04월_남_100세 이상,1,1,0,0,0,0,0
2021년04월_여_총인구수,"13,694","6,247","1,373","1,132","1,246","1,449","2,247"
2021년04월_여_연령구간인구수,"13,694","6,247","1,373","1,132","1,246","1,449","2,247"
2021년04월_여_0~9세,652,425,25,31,40,44,87
2021년04월_여_10~19세,841,515,73,51,39,57,106
2021년04월_여_20~29세,959,505,84,78,53,58,181
2021년04월_여_30~39세,"1,056",614,61,68,78,93,142
2021년04월_여_40~49세,"1,597",962,133,88,89,110,215
2021년04월_여_50~59세,"2,317","1,029",224,197,241,213,413
2021년04월_여_60~69세,"2,842","1,056",338,245,313,348,542
2021년04월_여_70~79세,"1,940",650,262,207,227,265,329
2021년04월_여_80~89세,"1,217",397,138,144,139,206,193
2021년04월_여_90~99세,260,90,35,21,25,52,37
2021년04월_여_100세 이상,13,4,0,2,2,3,2
