카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년02월_계_총인구수,"2,941,705","139,776","62,381","405,125","389,527","524,004","493,610","296,534","541,164","69,236","20,348"
2021년02월_계_연령구간인구수,"2,941,705","139,776","62,381","405,125","389,527","524,004","493,610","296,534","541,164","69,236","20,348"
2021년02월_계_0~9세,"226,037","11,771","3,649","27,075","38,579","40,968","32,295","18,301","49,151","3,310",938
2021년02월_계_10~19세,"273,059","12,669","4,996","31,621","42,857","49,543","42,805","26,450","56,424","4,619","1,075"
2021년02월_계_20~29세,"398,734","18,874","6,580","57,065","52,061","70,641","69,662","43,850","72,084","5,252","2,665"
2021년02월_계_30~39세,"403,643","21,191","6,772","55,683","58,007","71,600","66,855","37,729","78,606","5,319","1,881"
2021년02월_계_40~49세,"483,581","24,634","9,938","63,578","69,039","88,460","76,914","45,654","95,247","7,764","2,353"
2021년02월_계_50~59세,"511,793","20,577","10,141","67,121","64,707","89,964","89,867","60,478","93,479","11,881","3,578"
2021년02월_계_60~69세,"374,458","16,155","10,152","56,385","39,752","66,911","67,194","39,911","59,457","14,466","4,075"
2021년02월_계_70~79세,"178,233","9,367","6,711","31,384","15,760","30,985","31,520","15,590","24,518","10,020","2,378"
2021년02월_계_80~89세,"78,618","3,821","2,921","13,026","7,346","12,739","14,148","7,356","10,378","5,734","1,149"
2021년02월_계_90~99세,"12,558",634,446,"2,011","1,352","2,049","2,145","1,144","1,703",831,243
2021년02월_계_100세 이상,991,83,75,176,67,144,205,71,117,40,13
2021년02월_남_총인구수,"1,473,245","72,561","31,515","204,002","193,548","260,227","243,934","147,871","273,369","34,655","11,563"
2021년02월_남_연령구간인구수,"1,473,245","72,561","31,515","204,002","193,548","260,227","243,934","147,871","273,369","34,655","11,563"
2021년02월_남_0~9세,"116,109","6,079","1,914","13,862","19,670","21,081","16,530","9,306","25,443","1,749",475
2021년02월_남_10~19세,"140,481","6,591","2,599","16,292","21,996","25,366","22,182","13,565","28,936","2,374",580
2021년02월_남_20~29세,"207,750","9,577","3,573","30,024","26,980","36,442","35,812","22,991","37,410","2,991","1,950"
2021년02월_남_30~39세,"208,746","11,514","3,626","29,983","28,527","36,877","34,516","19,647","40,125","2,780","1,151"
2021년02월_남_40~49세,"247,319","13,444","5,373","33,649","34,052","44,991","38,716","22,772","48,618","4,223","1,481"
2021년02월_남_50~59세,"255,768","11,351","5,412","33,722","31,917","44,329","43,998","29,432","47,435","6,108","2,064"
2021년02월_남_60~69세,"185,546","8,082","4,895","27,002","20,419","32,279","32,657","20,497","30,289","7,219","2,207"
2021년02월_남_70~79세,"81,372","4,350","2,961","14,217","7,277","14,081","14,244","7,009","11,337","4,715","1,181"
2021년02월_남_80~89세,"27,185","1,388","1,029","4,731","2,392","4,342","4,804","2,384","3,411","2,283",421
2021년02월_남_90~99세,"2,702",158,110,472,301,404,429,250,328,201,49
2021년02월_남_100세 이상,267,27,23,48,17,35,46,18,37,12,4
2021년02월_여_총인구수,"1,468,460","67,215","30,866","201,123","195,979","263,777","249,676","148,663","267,795","34,581","8,785"
2021년02월_여_연령구간인구수,"1,468,460","67,215","30,866","201,123","195,979","263,777","249,676","148,663","267,795","34,581","8,785"
2021년02월_여_0~9세,"109,928","5,692","1,735","13,213","18,909","19,887","15,765","8,995","23,708","1,561",463
2021년02월_여_10~19세,"132,578","6,078","2,397","15,329","20,861","24,177","20,623","12,885","27,488","2,245",495
2021년02월_여_20~29세,"190,984","9,297","3,007","27,041","25,081","34,199","33,850","20,859","34,674","2,261",715
2021년02월_여_30~39세,"194,897","9,677","3,146","25,700","29,480","34,723","32,339","18,082","38,481","2,539",730
2021년02월_여_40~49세,"236,262","11,190","4,565","29,929","34,987","43,469","38,198","22,882","46,629","3,541",872
2021년02월_여_50~59세,"256,025","9,226","4,729","33,399","32,790","45,635","45,869","31,046","46,044","5,773","1,514"
2021년02월_여_60~69세,"188,912","8,073","5,257","29,383","19,333","34,632","34,537","19,414","29,168","7,247","1,868"
2021년02월_여_70~79세,"96,861","5,017","3,750","17,167","8,483","16,904","17,276","8,581","13,181","5,305","1,197"
2021년02월_여_80~89세,"51,433","2,433","1,892","8,295","4,954","8,397","9,344","4,972","6,967","3,451",728
2021년02월_여_90~99세,"9,856",476,336,"1,539","1,051","1,645","1,716",894,"1,375",630,194
2021년02월_여_100세 이상,724,56,52,128,50,109,159,53,80,28,9
