,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년04월_계_총인구수,"434,383","16,700","23,115","15,510","14,950","24,245","14,963","15,501","18,409","23,249","15,139","25,210","35,736","16,599","39,128","26,691","19,671","24,294","13,732","16,275","35,266"
2021년04월_계_연령구간인구수,"434,383","16,700","23,115","15,510","14,950","24,245","14,963","15,501","18,409","23,249","15,139","25,210","35,736","16,599","39,128","26,691","19,671","24,294","13,732","16,275","35,266"
2021년04월_계_0~9세,"28,613",758,"1,091",572,806,"1,962",439,971,"1,382","1,465",589,"1,604","3,847","1,397","2,611","2,031","1,045","1,750",585,"1,755","1,953"
2021년04월_계_10~19세,"36,901","1,169","1,854",967,"1,289","2,805",848,924,"1,761","1,840",964,"2,137","4,882","1,437","3,645","2,573","1,489","1,923",868,"1,349","2,177"
2021년04월_계_20~29세,"66,420","2,783","4,212","4,453","1,993","2,947","5,126","2,630","2,289","3,244","3,030","3,259","3,410","2,064","5,722","3,111","3,485","3,408","1,974","2,084","5,196"
2021년04월_계_30~39세,"59,426","2,466","3,238","2,490","1,987","2,953","2,009","2,574","2,611","3,126","1,858","3,175","4,521","2,386","5,119","3,573","2,701","3,363","1,739","2,635","4,902"
2021년04월_계_40~49세,"69,092","2,530","3,554","1,992","2,104","4,426","1,622","2,374","3,168","3,536","1,866","4,150","7,823","2,889","6,328","4,521","2,837","3,696","1,926","2,645","5,105"
2021년04월_계_50~59세,"69,103","2,729","3,681","1,947","2,686","4,079","1,999","2,503","2,837","3,758","2,351","4,143","5,013","2,742","6,313","4,222","3,003","4,248","2,395","2,549","5,905"
2021년04월_계_60~69세,"55,505","2,096","2,762","1,501","2,182","2,742","1,454","1,930","2,275","3,372","2,231","3,608","3,257","2,098","4,827","3,588","2,713","3,354","2,192","1,923","5,400"
2021년04월_계_70~79세,"32,900","1,317","1,789","1,042","1,271","1,470",966,"1,071","1,388","1,977","1,450","2,129","2,049","1,098","2,867","2,129","1,594","1,725","1,404",950,"3,214"
2021년04월_계_80~89세,"14,371",705,819,468,561,729,441,462,616,816,696,873,815,432,"1,462",841,707,736,572,344,"1,276"
2021년04월_계_90~99세,"1,950",129,101,67,67,129,53,58,79,112,102,126,115,54,226,102,94,89,75,36,136
2021년04월_계_100세 이상,102,18,14,11,4,3,6,4,3,3,2,6,4,2,8,0,3,2,2,5,2
2021년04월_남_총인구수,"209,667","7,793","11,028","6,527","6,996","11,503","7,529","7,469","8,866","11,291","7,511","12,180","17,007","8,019","19,375","12,895","9,482","11,894","6,799","8,044","17,459"
2021년04월_남_연령구간인구수,"209,667","7,793","11,028","6,527","6,996","11,503","7,529","7,469","8,866","11,291","7,511","12,180","17,007","8,019","19,375","12,895","9,482","11,894","6,799","8,044","17,459"
2021년04월_남_0~9세,"14,604",366,566,280,396,983,219,484,732,757,301,851,"1,969",727,"1,344","1,021",557,869,294,900,988
2021년04월_남_10~19세,"18,731",620,972,422,626,"1,413",440,444,875,954,492,"1,109","2,386",760,"1,978","1,225",742,"1,006",432,676,"1,159"
2021년04월_남_20~29세,"31,930","1,260","1,880","1,438",925,"1,430","2,660","1,278","1,134","1,630","1,681","1,691","1,650",978,"3,044","1,481","1,494","1,735",974,"1,012","2,555"
2021년04월_남_30~39세,"29,655","1,179","1,605","1,147",978,"1,386","1,130","1,315","1,284","1,598","1,067","1,529","2,024","1,159","2,567","1,769","1,407","1,760",925,"1,286","2,540"
2021년04월_남_40~49세,"34,064","1,212","1,726",953,982,"2,087",830,"1,184","1,533","1,748",916,"2,043","3,753","1,380","3,140","2,257","1,432","1,835","1,046","1,349","2,658"
2021년04월_남_50~59세,"34,105","1,294","1,834",969,"1,286","1,959",986,"1,210","1,399","1,815","1,154","1,987","2,565","1,361","3,134","2,120","1,525","2,065","1,219","1,302","2,921"
2021년04월_남_60~69세,"26,117",972,"1,350",679,"1,019","1,292",686,910,"1,054","1,565",999,"1,639","1,467",995,"2,310","1,714","1,307","1,577","1,040",916,"2,626"
2021년04월_남_70~79세,"14,367",553,752,444,559,639,403,461,590,877,618,949,866,482,"1,227",943,716,753,627,464,"1,444"
2021년04월_남_80~89세,"5,588",294,313,172,206,280,162,178,246,320,259,347,305,163,559,340,279,275,222,133,535
2021년04월_남_90~99세,480,36,27,22,19,34,11,4,19,25,24,33,22,13,68,25,23,18,20,5,32
2021년04월_남_100세 이상,26,7,3,1,0,0,2,1,0,2,0,2,0,1,4,0,0,1,0,1,1
