,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년12월_계_총인구수,"537,673","55,638","18,709","6,383","7,291","3,825","3,138","5,614","9,650","8,977","9,829","73,113","79,915","9,519","39,955","32,548","7,521","56,720","36,269","73,059"
2021년12월_계_연령구간인구수,"537,673","55,638","18,709","6,383","7,291","3,825","3,138","5,614","9,650","8,977","9,829","73,113","79,915","9,519","39,955","32,548","7,521","56,720","36,269","73,059"
2021년12월_계_0~9세,"45,854","6,112","2,881",197,162,84,81,130,519,570,542,"4,437","6,860",514,"2,351","1,379",453,"4,986","3,323","10,273"
2021년12월_계_10~19세,"60,101","6,234","1,309",297,279,114,131,207,632,534,605,"7,221","10,276",707,"3,727","2,837",739,"7,873","5,099","11,280"
2021년12월_계_20~29세,"66,584","5,186","2,024",548,539,293,253,337,"1,297","1,004","1,360","11,878","10,561","1,198","5,817","5,507",968,"6,883","4,339","6,592"
2021년12월_계_30~39세,"66,222","8,150","3,999",498,546,245,228,347,"1,194","1,138","1,189","8,439","9,076",946,"4,199","2,908",747,"6,718","4,277","11,378"
2021년12월_계_40~49세,"96,078","10,985","3,128",774,684,345,319,500,"1,307","1,156","1,323","11,192","14,885","1,300","6,084","4,594","1,138","11,715","7,640","17,009"
2021년12월_계_50~59세,"98,718","8,477","2,855","1,364","1,495",796,706,984,"1,925","1,664","2,076","16,192","15,266","1,960","8,669","7,374","1,572","9,893","6,376","9,074"
2021년12월_계_60~69세,"63,217","6,366","1,675","1,459","1,884","1,015",826,"1,661","1,680","1,618","1,678","8,707","8,162","1,742","5,745","4,949","1,178","5,053","3,138","4,681"
2021년12월_계_70~79세,"27,140","2,708",519,759,"1,014",592,390,921,743,885,737,"3,248","3,222",772,"2,315","1,962",500,"2,423","1,431","1,999"
2021년12월_계_80~89세,"12,216","1,252",283,411,606,307,169,449,315,357,292,"1,632","1,431",345,944,932,201,"1,050",556,684
2021년12월_계_90~99세,"1,513",163,36,76,81,34,32,76,36,49,26,163,174,34,103,105,25,123,89,88
2021년12월_계_100세 이상,30,5,0,0,1,0,3,2,2,2,1,4,2,1,1,1,0,3,1,1
