,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년05월_계_총인구수,"345,373","43,120","2,605","3,185","6,170","8,715","6,316","7,491","5,768","3,681","2,496","19,490","54,562","32,329","23,822","30,031","34,420","30,976","19,560","10,636"
2020년05월_계_연령구간인구수,"345,373","43,120","2,605","3,185","6,170","8,715","6,316","7,491","5,768","3,681","2,496","19,490","54,562","32,329","23,822","30,031","34,420","30,976","19,560","10,636"
2020년05월_계_0~9세,"47,239","3,413",83,105,362,295,199,374,212,90,112,"2,777","9,089","4,352","3,848","4,998","6,321","5,617","3,337","1,655"
2020년05월_계_10~19세,"40,970","4,225",114,131,369,422,301,444,411,134,189,"3,400","6,783","4,510","4,248","4,143","4,602","3,120","2,419","1,005"
2020년05월_계_20~29세,"36,245","6,390",304,309,724,855,895,790,572,312,282,"1,718","5,958","3,755","1,766","2,666","2,634","3,078","1,962","1,275"
2020년05월_계_30~39세,"61,103","5,376",306,284,680,849,756,729,528,276,189,"2,703","12,085","5,916","3,693","5,868","6,998","7,557","3,964","2,346"
2020년05월_계_40~49세,"66,258","6,989",319,339,866,984,887,950,743,372,358,"4,607","10,916","6,899","5,990","6,331","7,339","5,722","3,862","1,785"
2020년05월_계_50~59세,"43,404","6,778",548,556,"1,129","1,645","1,234","1,320","1,092",724,461,"2,476","5,647","3,739","2,495","3,078","3,315","3,449","2,229","1,489"
2020년05월_계_60~69세,"28,280","5,173",471,683,971,"1,761","1,033","1,345",956,865,409,"1,099","2,861","1,865","1,134","1,805","2,198","1,693","1,198",760
2020년05월_계_70~79세,"13,762","3,061",265,410,638,"1,140",575,909,692,520,274,474,845,830,443,788,763,514,413,208
2020년05월_계_80~89세,"6,924","1,470",170,304,384,658,382,552,477,334,199,201,315,388,161,310,206,177,145,91
2020년05월_계_90~99세,"1,132",231,23,60,45,100,52,74,79,47,22,33,62,75,43,44,43,48,30,21
2020년05월_계_100세 이상,56,14,2,4,2,6,2,4,6,7,1,2,1,0,1,0,1,1,1,1
2020년05월_남_총인구수,"172,269","22,266","1,456","1,647","3,389","4,597","3,553","4,039","3,045","2,003","1,320","9,604","26,416","15,628","11,789","14,585","16,806","15,251","9,597","5,278"
2020년05월_남_연령구간인구수,"172,269","22,266","1,456","1,647","3,389","4,597","3,553","4,039","3,045","2,003","1,320","9,604","26,416","15,628","11,789","14,585","16,806","15,251","9,597","5,278"
2020년05월_남_0~9세,"24,226","1,788",40,50,183,142,100,174,109,41,56,"1,435","4,659","2,246","1,989","2,557","3,227","2,871","1,701",858
2020년05월_남_10~19세,"20,581","2,157",61,69,201,224,155,245,231,70,97,"1,720","3,289","2,255","2,191","2,052","2,331","1,514","1,218",501
2020년05월_남_20~29세,"18,322","3,593",176,191,471,497,543,479,326,185,169,875,"2,676","1,675",907,"1,248","1,266","1,456",951,638
2020년05월_남_30~39세,"29,740","2,916",207,157,429,519,504,445,321,178,112,"1,220","5,712","2,775","1,614","2,717","3,250","3,672","1,835","1,157"
2020년05월_남_40~49세,"33,977","3,727",206,207,526,605,591,589,446,229,215,"2,243","5,454","3,369","2,941","3,189","3,708","2,889","1,959",884
2020년05월_남_50~59세,"22,525","3,568",320,313,665,913,697,754,612,426,263,"1,286","2,779","1,929","1,326","1,525","1,559","1,722","1,123",745
2020년05월_남_60~69세,"14,032","2,560",266,365,481,927,538,711,515,488,216,539,"1,368",890,553,827,"1,019",843,562,364
2020년05월_남_70~79세,"6,284","1,337",122,185,272,528,269,409,299,256,122,219,397,367,209,372,364,244,207,106
2020년05월_남_80~89세,"2,313",552,56,95,145,219,140,217,173,119,66,55,73,106,48,86,72,33,37,21
2020년05월_남_90~99세,259,65,2,14,15,23,16,16,12,9,3,12,9,16,11,12,10,7,4,3
