,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년07월_계_총인구수,"246,660","7,830","3,157","1,610","7,324","2,994","12,245","1,117","8,371","3,668","1,099","3,208","1,393","6,427","9,631","27,511","7,265","26,597","20,677","36,124","34,741","23,671"
2020년07월_계_연령구간인구수,"246,660","7,830","3,157","1,610","7,324","2,994","12,245","1,117","8,371","3,668","1,099","3,208","1,393","6,427","9,631","27,511","7,265","26,597","20,677","36,124","34,741","23,671"
2020년07월_계_0~9세,"27,709",551,81,33,428,66,"1,544",37,540,209,28,80,57,446,575,"4,715",615,"2,659","1,638","3,723","6,076","3,608"
2020년07월_계_10~19세,"27,923",639,131,64,594,161,"1,102",52,687,271,28,122,71,671,"1,001","3,315",630,"3,100","2,297","4,366","4,896","3,725"
2020년07월_계_20~29세,"24,558",688,245,86,578,229,939,74,801,307,60,233,78,687,"1,040","2,463",853,"2,927","2,849","4,165","3,039","2,217"
2020년07월_계_30~39세,"38,220",835,220,90,662,159,"1,926",79,960,341,67,185,98,733,986,"6,264","1,104","3,818","3,445","5,402","7,039","3,807"
2020년07월_계_40~49세,"47,552","1,234",378,162,994,319,"2,187",113,"1,419",483,109,395,183,"1,243","1,689","5,888","1,330","5,004","4,477","7,094","7,425","5,426"
2020년07월_계_50~59세,"38,843","1,609",643,337,"1,299",603,"1,920",241,"1,705",672,209,618,245,"1,260","1,977","2,893","1,348","4,811","3,693","6,002","3,848","2,910"
2020년07월_계_60~69세,"25,443","1,282",692,390,"1,355",704,"1,416",281,"1,256",695,261,672,306,838,"1,534","1,376",974,"3,092","1,661","3,740","1,615","1,303"
2020년07월_계_70~79세,"10,703",617,482,279,811,459,806,164,610,414,205,524,219,364,588,398,293,838,444,"1,175",569,444
2020년07월_계_80~89세,"4,894",331,256,149,496,252,353,64,342,232,110,333,117,160,207,168,103,300,142,393,192,194
2020년07월_계_90~99세,771,41,28,20,98,40,48,12,50,43,22,45,18,17,30,31,15,46,30,61,41,35
2020년07월_계_100세 이상,44,3,1,0,9,2,4,0,1,1,0,1,1,8,4,0,0,2,1,3,1,2
2020년07월_남_총인구수,"129,586","3,981","1,629",813,"3,608","1,542","6,388",574,"4,593","1,910",554,"1,618",700,"3,557","5,211","14,806","3,935","13,882","11,854","18,633","17,669","12,129"
2020년07월_남_연령구간인구수,"129,586","3,981","1,629",813,"3,608","1,542","6,388",574,"4,593","1,910",554,"1,618",700,"3,557","5,211","14,806","3,935","13,882","11,854","18,633","17,669","12,129"
2020년07월_남_0~9세,"14,293",272,47,16,229,34,789,22,288,110,16,46,29,235,304,"2,432",322,"1,362",848,"1,946","3,059","1,887"
2020년07월_남_10~19세,"14,712",335,70,35,300,94,555,29,366,151,16,75,38,349,554,"1,720",346,"1,683","1,205","2,288","2,533","1,970"
2020년07월_남_20~29세,"13,802",393,140,51,315,148,531,43,470,161,31,129,43,405,583,"1,397",526,"1,594","1,723","2,285","1,583","1,251"
2020년07월_남_30~39세,"20,336",427,131,55,352,95,978,52,557,194,40,105,53,453,555,"3,350",621,"2,045","2,207","2,851","3,443","1,772"
2020년07월_남_40~49세,"25,946",666,225,98,539,186,"1,241",64,847,302,70,254,112,753,957,"3,343",753,"2,644","2,686","3,645","3,866","2,695"
2020년07월_남_50~59세,"20,636",842,351,195,662,310,"1,056",126,968,356,119,335,130,715,"1,064","1,599",679,"2,390","2,057","3,058","2,036","1,588"
