카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년04월_계_총인구수,"75,366","8,353","6,682","5,010","4,465","5,030","8,044","5,052","4,298","6,995","11,759","7,531","2,147"
2021년04월_계_연령구간인구수,"75,366","8,353","6,682","5,010","4,465","5,030","8,044","5,052","4,298","6,995","11,759","7,531","2,147"
2021년04월_계_0~9세,"4,927",302,418,161,126,587,858,259,258,553,843,498,64
2021년04월_계_10~19세,"4,985",480,371,224,183,214,550,296,268,543,"1,076",643,137
2021년04월_계_20~29세,"11,638","1,425","1,861","1,474",778,567,813,883,627,710,"1,284",985,231
2021년04월_계_30~39세,"10,606","1,144","1,257",753,536,"1,013","1,326",628,650,904,"1,335",867,193
2021년04월_계_40~49세,"10,544","1,082",877,544,480,696,"1,184",660,596,"1,127","1,851","1,128",319
2021년04월_계_50~59세,"11,167","1,280",701,604,735,695,"1,210",791,656,"1,079","1,824","1,235",357
2021년04월_계_60~69세,"10,262","1,237",626,593,775,666,"1,097",719,533,987,"1,711",957,361
2021년04월_계_70~79세,"7,248",900,353,421,555,408,661,544,440,723,"1,173",735,335
2021년04월_계_80~89세,"3,432",427,188,192,239,162,292,252,219,331,577,421,132
2021년04월_계_90~99세,485,69,28,42,44,21,40,19,36,34,76,58,18
2021년04월_계_100세 이상,72,7,2,2,14,1,13,1,15,4,9,4,0
2021년04월_남_총인구수,"36,199","4,131","3,176","2,401","2,279","2,519","3,921","2,409","2,043","3,207","5,522","3,532","1,059"
2021년04월_남_연령구간인구수,"36,199","4,131","3,176","2,401","2,279","2,519","3,921","2,409","2,043","3,207","5,522","3,532","1,059"
2021년04월_남_0~9세,"2,540",139,212,82,63,284,431,139,125,311,461,260,33
2021년04월_남_10~19세,"2,552",243,181,112,92,112,309,143,134,267,571,307,81
2021년04월_남_20~29세,"5,572",689,824,626,379,293,424,417,299,334,663,494,130
2021년04월_남_30~39세,"5,491",623,667,426,342,510,644,319,321,447,661,423,108
2021년04월_남_40~49세,"5,337",592,465,278,254,376,618,340,291,540,892,537,154
2021년04월_남_50~59세,"5,532",687,335,327,402,349,573,401,341,508,838,587,184
2021년04월_남_60~69세,"4,740",606,262,303,391,341,527,330,245,406,726,436,167
2021년04월_남_70~79세,"3,043",376,148,165,250,194,270,234,194,277,496,291,148
2021년04월_남_80~89세,"1,266",159,73,71,93,57,115,81,85,109,197,176,50
2021년04월_남_90~99세,111,16,8,10,10,3,8,4,5,8,15,20,4
2021년04월_남_100세 이상,15,1,1,1,3,0,2,1,3,0,2,1,0
2021년04월_여_총인구수,"39,167","4,222","3,506","2,609","2,186","2,511","4,123","2,643","2,255","3,788","6,237","3,999","1,088"
2021년04월_여_연령구간인구수,"39,167","4,222","3,506","2,609","2,186","2,511","4,123","2,643","2,255","3,788","6,237","3,999","1,088"
2021년04월_여_0~9세,"2,387",163,206,79,63,303,427,120,133,242,382,238,31
2021년04월_여_10~19세,"2,433",237,190,112,91,102,241,153,134,276,505,336,56
2021년04월_여_20~29세,"6,066",736,"1,037",848,399,274,389,466,328,376,621,491,101
2021년04월_여_30~39세,"5,115",521,590,327,194,503,682,309,329,457,674,444,85
2021년04월_여_40~49세,"5,207",490,412,266,226,320,566,320,305,587,959,591,165
2021년04월_여_50~59세,"5,635",593,366,277,333,346,637,390,315,571,986,648,173
2021년04월_여_60~69세,"5,522",631,364,290,384,325,570,389,288,581,985,521,194
2021년04월_여_70~79세,"4,205",524,205,256,305,214,391,310,246,446,677,444,187
2021년04월_여_80~89세,"2,166",268,115,121,146,105,177,171,134,222,380,245,82
2021년04월_여_90~99세,374,53,20,32,34,18,32,15,31,26,61,38,14
2021년04월_여_100세 이상,57,6,1,1,11,1,11,0,12,4,7,3,0
