,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년12월_계_총인구수,"50,632","12,971","1,924","1,614","1,745","1,551","1,450","1,456","4,201","3,842","2,573","1,756","1,698","1,783","4,543","3,765",822,"2,126",812
2021년12월_계_연령구간인구수,"50,632","12,971","1,924","1,614","1,745","1,551","1,450","1,456","4,201","3,842","2,573","1,756","1,698","1,783","4,543","3,765",822,"2,126",812
2021년12월_계_0~9세,"1,801",742,28,41,29,20,41,35,122,147,87,44,31,41,230,86,18,45,14
2021년12월_계_10~19세,"2,186","1,009",57,30,54,38,48,40,136,112,43,43,56,48,246,120,14,74,18
2021년12월_계_20~29세,"2,833","1,046",76,69,74,52,45,49,202,240,111,68,84,100,351,159,21,61,25
2021년12월_계_30~39세,"2,951","1,066",78,71,61,41,67,68,219,248,126,93,84,84,327,179,25,79,35
2021년12월_계_40~49세,"4,458","1,712",141,98,116,103,68,86,340,327,182,107,117,113,477,253,43,129,46
2021년12월_계_50~59세,"8,174","2,083",296,240,329,269,237,230,619,666,410,283,277,298,749,605,149,315,119
2021년12월_계_60~69세,"12,182","2,553",570,440,503,426,460,429,"1,069",948,675,470,400,428,875,925,193,606,212
2021년12월_계_70~79세,"8,851","1,697",346,327,339,308,269,279,839,652,515,334,333,348,724,774,181,419,167
2021년12월_계_80~89세,"6,304",935,297,257,213,247,187,214,559,424,374,280,286,288,493,592,157,347,154
2021년12월_계_90~99세,876,127,34,41,26,47,28,26,93,76,49,34,29,35,71,69,21,50,20
2021년12월_계_100세 이상,16,1,1,0,1,0,0,0,3,2,1,0,1,0,0,3,0,1,2
2021년12월_남_총인구수,"24,796","6,342",955,793,868,752,741,728,"2,053","1,872","1,259",879,849,857,"2,165","1,831",394,"1,068",390
2021년12월_남_연령구간인구수,"24,796","6,342",955,793,868,752,741,728,"2,053","1,872","1,259",879,849,857,"2,165","1,831",394,"1,068",390
2021년12월_남_0~9세,951,403,17,23,19,13,16,22,69,66,42,17,18,23,113,46,8,26,10
2021년12월_남_10~19세,"1,152",539,35,17,25,25,29,16,75,58,22,26,29,24,112,62,9,40,9
2021년12월_남_20~29세,"1,636",591,49,43,37,27,35,29,113,129,69,39,58,57,204,93,8,37,18
2021년12월_남_30~39세,"1,636",532,51,47,43,24,37,33,129,135,75,59,50,46,181,119,13,41,21
2021년12월_남_40~49세,"2,594",888,94,66,74,72,39,54,194,205,120,74,78,73,253,160,24,96,30
2021년12월_남_50~59세,"4,463","1,104",175,133,180,143,117,122,334,372,227,157,154,183,393,328,90,182,69
2021년12월_남_60~69세,"6,175","1,205",290,225,265,218,261,242,558,460,336,254,200,226,434,465,105,314,117
2021년12월_남_70~79세,"3,904",743,140,147,148,143,130,125,379,288,244,151,148,137,309,341,69,195,67
2021년12월_남_80~89세,"2,094",310,99,85,70,76,71,80,176,139,115,96,110,81,157,196,61,124,48
2021년12월_남_90~99세,190,27,5,7,7,11,6,5,26,20,9,6,4,7,9,20,7,13,1
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021년12월_여_총인구수,"25,836","6,629",969,821,877,799,709,728,"2,148","1,970","1,314",877,849,926,"2,378","1,934",428,"1,058",422
2021년12월_여_연령구간인구수,"25,836","6,629",969,821,877,799,709,728,"2,148","1,970","1,314",877,849,926,"2,378","1,934",428,"1,058",422
2021년12월_여_0~9세,850,339,11,18,10,7,25,13,53,81,45,27,13,18,117,40,10,19,4
2021년12월_여_10~19세,"1,034",470,22,13,29,13,19,24,61,54,21,17,27,24,134,58,5,34,9
2021년12월_여_20~29세,"1,197",455,27,26,37,25,10,20,89,111,42,29,26,43,147,66,13,24,7
2021년12월_여_30~39세,"1,315",534,27,24,18,17,30,35,90,113,51,34,34,38,146,60,12,38,14
2021년12월_여_40~49세,"1,864",824,47,32,42,31,29,32,146,122,62,33,39,40,224,93,19,33,16
2021년12월_여_50~59세,"3,711",979,121,107,149,126,120,108,285,294,183,126,123,115,356,277,59,133,50
2021년12월_여_60~69세,"6,007","1,348",280,215,238,208,199,187,511,488,339,216,200,202,441,460,88,292,95
2021년12월_여_70~79세,"4,947",954,206,180,191,165,139,154,460,364,271,183,185,211,415,433,112,224,100
2021년12월_여_80~89세,"4,210",625,198,172,143,171,116,134,383,285,259,184,176,207,336,396,96,223,106
2021년12월_여_90~99세,686,100,29,34,19,36,22,21,67,56,40,28,25,28,62,49,14,37,19
2021년12월_여_100세 이상,15,1,1,0,1,0,0,0,3,2,1,0,1,0,0,2,0,1,2
