카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년01월_계_총인구수,"40,156","4,372",256,"5,952",253,223,"1,574",331,"3,235","2,274","3,619","2,646",223,"2,404",457,228,534,340,"1,810","1,600","1,616","2,795",297,"1,033","2,084"
2020년01월_계_연령구간인구수,"40,156","4,372",256,"5,952",253,223,"1,574",331,"3,235","2,274","3,619","2,646",223,"2,404",457,228,534,340,"1,810","1,600","1,616","2,795",297,"1,033","2,084"
2020년01월_계_0~9세,"1,715",163,5,258,8,8,59,5,187,95,143,130,9,78,11,10,33,15,84,77,76,126,10,23,102
2020년01월_계_10~19세,"2,173",245,8,313,4,6,63,15,229,104,229,231,6,124,20,15,33,20,110,105,65,104,8,37,79
2020년01월_계_20~29세,"3,118",326,15,545,11,9,135,19,250,148,225,208,8,229,74,15,52,31,129,141,102,217,20,68,141
2020년01월_계_30~39세,"3,028",292,16,486,24,18,113,25,240,139,259,192,12,208,50,14,69,29,126,144,124,202,35,70,141
2020년01월_계_40~49세,"4,558",502,22,676,23,19,197,38,417,216,422,281,32,324,79,32,94,46,210,212,166,236,32,91,191
2020년01월_계_50~59세,"7,333",805,57,"1,143",48,36,293,68,610,434,658,413,62,467,92,46,106,59,321,304,251,484,52,148,376
2020년01월_계_60~69세,"7,466",821,53,"1,180",63,43,243,70,557,442,679,432,46,397,65,47,74,72,339,269,316,552,63,224,419
2020년01월_계_70~79세,"6,560",757,41,814,52,60,304,67,502,438,639,447,30,336,44,24,46,43,292,212,316,478,48,222,348
2020년01월_계_80~89세,"3,757",414,36,463,19,23,153,23,227,237,318,286,15,200,22,22,27,20,187,124,179,343,25,135,259
2020년01월_계_90~99세,431,46,3,70,1,1,13,1,16,21,47,26,2,37,0,3,0,5,12,9,19,52,4,15,28
2020년01월_계_100세 이상,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020년01월_남_총인구수,"21,343","2,279",135,"3,205",137,127,850,192,"1,714","1,199","1,886","1,345",124,"1,338",299,129,300,198,969,866,847,"1,452",163,518,"1,071"
2020년01월_남_연령구간인구수,"21,343","2,279",135,"3,205",137,127,850,192,"1,714","1,199","1,886","1,345",124,"1,338",299,129,300,198,969,866,847,"1,452",163,518,"1,071"
2020년01월_남_0~9세,899,89,2,142,4,7,31,2,96,55,75,64,6,37,5,5,16,8,41,33,41,62,6,11,61
2020년01월_남_10~19세,"1,128",116,4,152,3,4,33,11,121,54,110,116,3,74,11,9,21,11,62,56,31,57,6,18,45
2020년01월_남_20~29세,"1,848",202,9,312,7,6,83,7,153,83,117,118,5,142,54,9,30,18,76,75,61,128,12,54,87
2020년01월_남_30~39세,"1,893",176,9,298,17,12,77,20,147,94,166,120,5,135,41,9,46,18,67,85,77,125,23,41,85
2020년01월_남_40~49세,"3,043",329,17,444,18,16,138,30,271,140,258,167,26,227,60,26,64,35,147,150,119,156,20,62,123
2020년01월_남_50~59세,"4,389",471,36,640,32,21,190,44,367,248,408,244,35,300,63,30,59,44,203,184,154,294,26,78,218
2020년01월_남_60~69세,"4,078",459,34,657,31,24,126,35,294,237,360,236,27,218,39,26,40,38,183,157,165,309,37,122,224
2020년01월_남_70~79세,"2,887",315,13,381,21,28,120,35,212,196,295,204,14,142,19,10,17,23,137,94,135,211,26,93,146
2020년01월_남_80~89세,"1,086",116,11,162,3,8,50,8,50,87,90,72,3,59,7,4,7,3,50,28,59,96,5,36,72
2020년01월_남_90~99세,87,6,0,16,1,1,2,0,3,5,7,4,0,3,0,1,0,0,3,3,4,13,2,3,10
2020년01월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년01월_여_총인구수,"18,813","2,093",121,"2,747",116,96,724,139,"1,521","1,075","1,733","1,301",99,"1,066",158,99,234,142,841,734,769,"1,343",134,515,"1,013"
2020년01월_여_연령구간인구수,"18,813","2,093",121,"2,747",116,96,724,139,"1,521","1,075","1,733","1,301",99,"1,066",158,99,234,142,841,734,769,"1,343",134,515,"1,013"
2020년01월_여_0~9세,816,74,3,116,4,1,28,3,91,40,68,66,3,41,6,5,17,7,43,44,35,64,4,12,41
2020년01월_여_10~19세,"1,045",129,4,161,1,2,30,4,108,50,119,115,3,50,9,6,12,9,48,49,34,47,2,19,34
2020년01월_여_20~29세,"1,270",124,6,233,4,3,52,12,97,65,108,90,3,87,20,6,22,13,53,66,41,89,8,14,54
2020년01월_여_30~39세,"1,135",116,7,188,7,6,36,5,93,45,93,72,7,73,9,5,23,11,59,59,47,77,12,29,56
2020년01월_여_40~49세,"1,515",173,5,232,5,3,59,8,146,76,164,114,6,97,19,6,30,11,63,62,47,80,12,29,68
2020년01월_여_50~59세,"2,944",334,21,503,16,15,103,24,243,186,250,169,27,167,29,16,47,15,118,120,97,190,26,70,158
2020년01월_여_60~69세,"3,388",362,19,523,32,19,117,35,263,205,319,196,19,179,26,21,34,34,156,112,151,243,26,102,195
2020년01월_여_70~79세,"3,673",442,28,433,31,32,184,32,290,242,344,243,16,194,25,14,29,20,155,118,181,267,22,129,202
2020년01월_여_80~89세,"2,671",298,25,301,16,15,103,15,177,150,228,214,12,141,15,18,20,17,137,96,120,247,20,99,187
2020년01월_여_90~99세,344,40,3,54,0,0,11,1,13,16,40,22,2,34,0,2,0,5,9,6,15,39,2,12,18
2020년01월_여_100세 이상,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
