,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년06월_계_총인구수,"441,812","16,986","24,000","15,673","15,561","24,742","15,489","16,156","18,932","23,526","15,654","25,946","36,603","17,156","40,013","27,107","20,130","20,352","14,036","17,951","35,799"
2020년06월_계_연령구간인구수,"441,812","16,986","24,000","15,673","15,561","24,742","15,489","16,156","18,932","23,526","15,654","25,946","36,603","17,156","40,013","27,107","20,130","20,352","14,036","17,951","35,799"
2020년06월_계_0~9세,"30,057",829,"1,221",584,871,"2,153",484,"1,019","1,506","1,563",696,"1,819","4,156","1,510","2,822","2,191","1,167",998,607,"1,801","2,060"
2020년06월_계_10~19세,"38,439","1,254","2,017","1,033","1,419","2,874",956,"1,023","1,846","1,945","1,058","2,252","4,878","1,427","3,805","2,660","1,542","1,639",962,"1,498","2,351"
2020년06월_계_20~29세,"67,142","2,757","4,314","4,436","2,124","3,008","5,032","2,806","2,335","3,215","3,089","3,273","3,484","2,170","5,834","3,073","3,600","3,023","1,927","2,336","5,306"
2020년06월_계_30~39세,"61,234","2,539","3,415","2,556","2,023","3,127","2,107","2,731","2,750","3,160","1,932","3,454","4,964","2,573","5,333","3,629","2,815","2,452","1,702","2,917","5,055"
2020년06월_계_40~49세,"71,370","2,627","3,825","2,081","2,284","4,621","1,763","2,502","3,335","3,679","2,035","4,302","8,003","3,004","6,603","4,703","2,925","2,955","2,028","2,817","5,278"
2020년06월_계_50~59세,"69,723","2,737","3,730","1,891","2,777","4,038","2,108","2,597","2,884","3,770","2,377","4,186","4,875","2,735","6,357","4,287","3,057","3,886","2,530","2,839","6,062"
2020년06월_계_60~69세,"53,944","2,019","2,672","1,473","2,154","2,647","1,495","1,862","2,179","3,280","2,170","3,519","3,220","2,074","4,632","3,497","2,620","2,959","2,184","2,129","5,159"
2020년06월_계_70~79세,"33,713","1,408","1,869","1,090","1,276","1,474","1,029","1,084","1,412","1,989","1,499","2,171","2,086","1,147","2,932","2,144","1,617","1,663","1,442","1,160","3,221"
2020년06월_계_80~89세,"13,832",667,801,445,548,668,448,446,595,795,673,828,795,439,"1,420",804,682,680,549,387,"1,162"
2020년06월_계_90~99세,"1,983",135,101,67,72,121,53,70,78,112,115,119,117,58,234,93,94,83,78,54,129
2020년06월_계_100세 이상,375,14,35,17,13,11,14,16,12,18,10,23,25,19,41,26,11,14,27,13,16
2020년06월_남_총인구수,"213,431","7,972","11,422","6,614","7,287","11,824","7,843","7,826","9,152","11,410","7,769","12,554","17,440","8,296","19,714","13,106","9,668","9,952","6,933","8,917","17,732"
2020년06월_남_연령구간인구수,"213,431","7,972","11,422","6,614","7,287","11,824","7,843","7,826","9,152","11,410","7,769","12,554","17,440","8,296","19,714","13,106","9,668","9,952","6,933","8,917","17,732"
2020년06월_남_0~9세,"15,349",390,639,285,414,"1,108",245,521,788,802,347,952,"2,143",806,"1,455","1,104",602,481,293,911,"1,063"
2020년06월_남_10~19세,"19,533",675,"1,037",452,678,"1,443",509,500,912,"1,018",542,"1,189","2,385",751,"2,043","1,290",777,848,487,765,"1,232"
2020년06월_남_20~29세,"32,508","1,284","1,941","1,447",996,"1,501","2,648","1,379","1,178","1,625","1,719","1,665","1,657","1,048","3,078","1,484","1,545","1,560",965,"1,167","2,621"
2020년06월_남_30~39세,"30,532","1,195","1,670","1,201",997,"1,462","1,184","1,395","1,332","1,628","1,087","1,670","2,251","1,247","2,652","1,803","1,447","1,337",902,"1,432","2,640"
