카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년11월_계_총인구수,"41,665","8,577","1,657",864,"1,661","5,313","5,726","3,097","8,783","5,987"
2020년11월_계_연령구간인구수,"41,665","8,577","1,657",864,"1,661","5,313","5,726","3,097","8,783","5,987"
2020년11월_계_0~9세,"1,885",427,33,23,52,221,284,122,423,300
2020년11월_계_10~19세,"2,927",732,78,41,70,330,438,206,666,366
2020년11월_계_20~29세,"3,405",776,110,53,96,403,417,207,754,589
2020년11월_계_30~39세,"3,103",683,67,39,89,320,476,160,628,641
2020년11월_계_40~49세,"5,361","1,096",191,74,148,644,775,392,"1,144",897
2020년11월_계_50~59세,"8,080","1,600",350,176,356,"1,002","1,148",673,"1,648","1,127"
2020년11월_계_60~69세,"8,821","1,700",427,237,467,"1,214","1,229",697,"1,772","1,078"
2020년11월_계_70~79세,"5,001",914,253,141,249,695,619,361,"1,123",646
2020년11월_계_80~89세,"2,677",559,123,70,111,421,311,249,528,305
2020년11월_계_90~99세,364,83,25,9,22,57,28,29,80,31
2020년11월_계_100세 이상,41,7,0,1,1,6,1,1,17,7
2020년11월_남_총인구수,"21,306","4,335",877,452,873,"2,686","2,996","1,549","4,417","3,121"
2020년11월_남_연령구간인구수,"21,306","4,335",877,452,873,"2,686","2,996","1,549","4,417","3,121"
2020년11월_남_0~9세,934,213,16,16,24,106,133,55,227,144
2020년11월_남_10~19세,"1,544",369,44,22,33,168,244,108,340,216
2020년11월_남_20~29세,"1,974",437,67,38,56,233,244,119,431,349
2020년11월_남_30~39세,"1,678",361,42,18,50,169,260,82,328,368
2020년11월_남_40~49세,"2,920",574,119,39,81,364,419,215,604,505
2020년11월_남_50~59세,"4,312",859,190,88,195,527,611,355,875,612
2020년11월_남_60~69세,"4,583",874,243,137,262,637,647,360,903,520
2020년11월_남_70~79세,"2,320",440,115,59,129,308,317,160,519,273
2020년11월_남_80~89세,956,194,38,34,41,159,115,86,167,122
2020년11월_남_90~99세,74,13,3,0,2,14,6,8,18,10
2020년11월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년11월_여_총인구수,"20,359","4,242",780,412,788,"2,627","2,730","1,548","4,366","2,866"
2020년11월_여_연령구간인구수,"20,359","4,242",780,412,788,"2,627","2,730","1,548","4,366","2,866"
2020년11월_여_0~9세,951,214,17,7,28,115,151,67,196,156
2020년11월_여_10~19세,"1,383",363,34,19,37,162,194,98,326,150
2020년11월_여_20~29세,"1,431",339,43,15,40,170,173,88,323,240
2020년11월_여_30~39세,"1,425",322,25,21,39,151,216,78,300,273
2020년11월_여_40~49세,"2,441",522,72,35,67,280,356,177,540,392
2020년11월_여_50~59세,"3,768",741,160,88,161,475,537,318,773,515
2020년11월_여_60~69세,"4,238",826,184,100,205,577,582,337,869,558
2020년11월_여_70~79세,"2,681",474,138,82,120,387,302,201,604,373
2020년11월_여_80~89세,"1,721",365,85,36,70,262,196,163,361,183
2020년11월_여_90~99세,290,70,22,9,20,43,22,21,62,21
2020년11월_여_100세 이상,30,6,0,0,1,5,1,0,12,5
