,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년06월_계_총인구수,"472,260","48,394","13,345","10,506","29,983","9,201","13,353","11,285","3,867","7,516",0,552,0,164,0,"22,143","33,081","27,604","43,049","49,950","63,144","85,123"
2021년06월_계_연령구간인구수,"472,260","48,394","13,345","10,506","29,983","9,201","13,353","11,285","3,867","7,516",0,552,0,164,0,"22,143","33,081","27,604","43,049","49,950","63,144","85,123"
2021년06월_계_0~9세,"43,535","4,756",612,326,"1,698",184,635,450,87,567,0,18,0,4,0,"1,089","3,200","2,226","3,844","5,227","8,809","9,803"
2021년06월_계_10~19세,"49,467","4,806",815,693,"2,725",275,991,619,184,510,0,31,0,14,0,"1,477","4,208","2,730","5,496","6,205","7,656","10,032"
2021년06월_계_20~29세,"58,004","5,676","1,547","1,286","3,698","2,029","1,487","1,236",429,969,0,52,0,3,0,"3,431","4,222","3,865","5,164","6,167","6,582","10,161"
2021년06월_계_30~39세,"67,073","7,530","1,351",871,"2,922","2,194","1,467","1,002",233,864,0,49,0,10,0,"2,811","4,353","3,563","5,402","7,355","11,452","13,644"
2021년06월_계_40~49세,"81,503","7,529","1,713","1,146","4,468","1,007","2,083","1,282",344,797,0,71,0,16,0,"3,220","5,979","4,346","8,280","9,568","12,605","17,049"
2021년06월_계_50~59세,"74,669","7,034","2,555","2,069","5,887","1,338","2,596","2,282",752,"1,172",0,107,0,31,0,"4,151","5,319","4,813","7,104","7,538","7,792","12,129"
2021년06월_계_60~69세,"52,268","5,512","2,376","2,089","4,695","1,190","2,129","2,312",825,"1,276",0,96,0,31,0,"3,253","3,013","3,322","4,231","4,521","4,481","6,916"
2021년06월_계_70~79세,"28,757","3,449","1,383","1,249","2,450",586,"1,150","1,244",581,887,0,79,0,33,0,"1,735","1,776","1,734","2,218","2,197","2,483","3,523"
2021년06월_계_80~89세,"14,802","1,855",857,677,"1,269",344,698,711,363,394,0,45,0,18,0,853,886,888,"1,129","1,018","1,120","1,677"
2021년06월_계_90~99세,"2,108",238,128,100,160,54,109,143,66,77,0,4,0,4,0,120,121,116,177,149,159,183
2021년06월_계_100세 이상,74,9,8,0,11,0,8,4,3,3,0,0,0,0,0,3,4,1,4,5,5,6
2021년06월_남_총인구수,"239,454","24,758","7,116","5,627","15,245","5,954","7,276","6,168","2,040","4,070",0,278,0,90,0,"11,751","16,150","14,168","21,822","24,487","30,813","41,641"
2021년06월_남_연령구간인구수,"239,454","24,758","7,116","5,627","15,245","5,954","7,276","6,168","2,040","4,070",0,278,0,90,0,"11,751","16,150","14,168","21,822","24,487","30,813","41,641"
2021년06월_남_0~9세,"22,225","2,407",327,178,846,89,341,236,51,287,0,8,0,1,0,553,"1,624","1,106","1,965","2,675","4,501","5,030"
2021년06월_남_10~19세,"25,405","2,477",422,377,"1,366",156,517,343,98,295,0,13,0,6,0,782,"2,167","1,446","2,876","3,080","3,864","5,120"
2021년06월_남_20~29세,"30,868","3,144",934,805,"2,005","1,284",882,773,285,620,0,24,0,3,0,"1,931","2,122","2,130","2,774","3,001","3,148","5,003"
2021년06월_남_30~39세,"35,411","4,154",769,500,"1,604","1,778",869,602,139,493,0,23,0,6,0,"1,645","2,198","1,907","2,765","3,678","5,640","6,641"
2021년06월_남_40~49세,"41,760","4,009",997,663,"2,302",720,"1,191",752,198,455,0,49,0,6,0,"1,766","2,863","2,250","4,095","4,718","6,302","8,424"
2021년06월_남_50~59세,"39,057","3,660","1,445","1,136","3,082",842,"1,476","1,285",425,643,0,55,0,20,0,"2,343","2,720","2,497","3,789","3,757","3,870","6,012"
2021년06월_남_60~69세,"26,093","2,687","1,269","1,120","2,387",671,"1,162","1,290",427,686,0,53,0,17,0,"1,652","1,381","1,658","2,156","2,193","2,029","3,255"
2021년06월_남_70~79세,"12,665","1,485",612,587,"1,121",287,549,613,270,410,0,32,0,18,0,761,726,795,966,967,"1,003","1,463"
2021년06월_남_80~89세,"5,420",650,305,228,490,114,265,242,132,159,0,18,0,11,0,288,322,350,404,386,412,644
2021년06월_남_90~99세,532,82,34,33,39,13,24,31,12,22,0,3,0,2,0,30,25,28,32,32,42,48
2021년06월_남_100세 이상,18,3,2,0,3,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0,2,1
2021년06월_여_총인구수,"232,806","23,636","6,229","4,879","14,738","3,247","6,077","5,117","1,827","3,446",0,274,0,74,0,"10,392","16,931","13,436","21,227","25,463","32,331","43,482"
2021년06월_여_연령구간인구수,"232,806","23,636","6,229","4,879","14,738","3,247","6,077","5,117","1,827","3,446",0,274,0,74,0,"10,392","16,931","13,436","21,227","25,463","32,331","43,482"
2021년06월_여_0~9세,"21,310","2,349",285,148,852,95,294,214,36,280,0,10,0,3,0,536,"1,576","1,120","1,879","2,552","4,308","4,773"
2021년06월_여_10~19세,"24,062","2,329",393,316,"1,359",119,474,276,86,215,0,18,0,8,0,695,"2,041","1,284","2,620","3,125","3,792","4,912"
2021년06월_여_20~29세,"27,136","2,532",613,481,"1,693",745,605,463,144,349,0,28,0,0,0,"1,500","2,100","1,735","2,390","3,166","3,434","5,158"
2021년06월_여_30~39세,"31,662","3,376",582,371,"1,318",416,598,400,94,371,0,26,0,4,0,"1,166","2,155","1,656","2,637","3,677","5,812","7,003"
2021년06월_여_40~49세,"39,743","3,520",716,483,"2,166",287,892,530,146,342,0,22,0,10,0,"1,454","3,116","2,096","4,185","4,850","6,303","8,625"
2021년06월_여_50~59세,"35,612","3,374","1,110",933,"2,805",496,"1,120",997,327,529,0,52,0,11,0,"1,808","2,599","2,316","3,315","3,781","3,922","6,117"
2021년06월_여_60~69세,"26,175","2,825","1,107",969,"2,308",519,967,"1,022",398,590,0,43,0,14,0,"1,601","1,632","1,664","2,075","2,328","2,452","3,661"
2021년06월_여_70~79세,"16,092","1,964",771,662,"1,329",299,601,631,311,477,0,47,0,15,0,974,"1,050",939,"1,252","1,230","1,480","2,060"
2021년06월_여_80~89세,"9,382","1,205",552,449,779,230,433,469,231,235,0,27,0,7,0,565,564,538,725,632,708,"1,033"
2021년06월_여_90~99세,"1,576",156,94,67,121,41,85,112,54,55,0,1,0,2,0,90,96,88,145,117,117,135
2021년06월_여_100세 이상,56,6,6,0,8,0,8,3,0,3,0,0,0,0,0,3,2,0,4,5,3,5
