카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년12월_계_총인구수,"31,694","9,840",515,"3,956","8,223","5,051","2,576","1,533"
2020년12월_계_연령구간인구수,"31,694","9,840",515,"3,956","8,223","5,051","2,576","1,533"
2020년12월_계_0~9세,"2,499",924,16,322,593,400,201,43
2020년12월_계_10~19세,"2,314",842,31,265,623,329,141,83
2020년12월_계_20~29세,"4,067","1,248",35,522,"1,050",563,517,132
2020년12월_계_30~39세,"3,902","1,334",28,538,896,657,370,79
2020년12월_계_40~49세,"3,998","1,418",61,408,"1,071",624,255,161
2020년12월_계_50~59세,"5,255","1,521",119,605,"1,468",881,339,322
2020년12월_계_60~69세,"5,205","1,384",112,708,"1,363",872,385,381
2020년12월_계_70~79세,"2,677",713,77,328,692,425,233,209
2020년12월_계_80~89세,"1,507",382,33,222,400,250,118,102
2020년12월_계_90~99세,256,67,3,38,63,48,17,20
2020년12월_계_100세 이상,14,7,0,0,4,2,0,1
2020년12월_남_총인구수,"17,084","5,155",273,"2,134","4,422","2,740","1,515",845
2020년12월_남_연령구간인구수,"17,084","5,155",273,"2,134","4,422","2,740","1,515",845
2020년12월_남_0~9세,"1,273",464,9,163,298,209,107,23
2020년12월_남_10~19세,"1,209",454,14,133,328,161,73,46
2020년12월_남_20~29세,"2,692",761,22,355,686,373,399,96
2020년12월_남_30~39세,"2,229",711,19,320,495,389,240,55
2020년12월_남_40~49세,"2,233",774,35,227,603,353,150,91
2020년12월_남_50~59세,"2,778",786,63,320,784,455,196,174
2020년12월_남_60~69세,"2,801",713,58,378,754,494,192,212
2020년12월_남_70~79세,"1,275",339,41,156,314,206,113,106
2020년12월_남_80~89세,522,135,11,71,142,89,40,34
2020년12월_남_90~99세,66,15,1,11,16,10,5,8
2020년12월_남_100세 이상,6,3,0,0,2,1,0,0
2020년12월_여_총인구수,"14,610","4,685",242,"1,822","3,801","2,311","1,061",688
2020년12월_여_연령구간인구수,"14,610","4,685",242,"1,822","3,801","2,311","1,061",688
2020년12월_여_0~9세,"1,226",460,7,159,295,191,94,20
2020년12월_여_10~19세,"1,105",388,17,132,295,168,68,37
2020년12월_여_20~29세,"1,375",487,13,167,364,190,118,36
2020년12월_여_30~39세,"1,673",623,9,218,401,268,130,24
2020년12월_여_40~49세,"1,765",644,26,181,468,271,105,70
2020년12월_여_50~59세,"2,477",735,56,285,684,426,143,148
2020년12월_여_60~69세,"2,404",671,54,330,609,378,193,169
2020년12월_여_70~79세,"1,402",374,36,172,378,219,120,103
2020년12월_여_80~89세,985,247,22,151,258,161,78,68
2020년12월_여_90~99세,190,52,2,27,47,38,12,12
2020년12월_여_100세 이상,8,4,0,0,2,1,0,1
