,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년11월_계_총인구수,"282,582","6,997","7,937","7,194","2,308","1,572","1,951","2,654","3,096","3,032","3,367","5,305","4,410","4,599","2,623","1,581","3,478","4,882","7,086","22,756","9,487","11,745","38,411","8,580","23,438","14,446","25,464","15,729","6,702","31,752"
2020년11월_계_연령구간인구수,"282,582","6,997","7,937","7,194","2,308","1,572","1,951","2,654","3,096","3,032","3,367","5,305","4,410","4,599","2,623","1,581","3,478","4,882","7,086","22,756","9,487","11,745","38,411","8,580","23,438","14,446","25,464","15,729","6,702","31,752"
2020년11월_계_0~9세,"19,300",369,536,263,65,27,35,74,108,91,183,327,90,189,68,23,104,316,319,"1,715",427,487,"3,681",881,"1,550","1,291","2,324",632,553,"2,572"
2020년11월_계_10~19세,"28,009",595,623,513,132,63,97,143,137,139,164,351,201,300,106,85,143,333,422,"2,249",725,856,"4,321",972,"2,728","2,097","3,481","1,156",660,"4,217"
2020년11월_계_20~29세,"36,322",629,687,673,177,95,132,179,214,142,320,673,266,399,242,101,374,506,908,"2,557","1,385","1,362","4,805",893,"3,371","2,301","3,545","4,142",752,"4,492"
2020년11월_계_30~39세,"28,557",532,795,525,125,63,93,151,200,159,278,468,224,340,163,69,304,532,782,"2,451",888,"1,001","4,405","1,187","2,401","1,626","3,109","1,473",839,"3,374"
2020년11월_계_40~49세,"42,066",814,"1,058",786,218,134,173,225,328,268,337,581,400,537,241,150,427,717,846,"3,518","1,263","1,504","6,250","1,439","3,619","2,803","4,987","1,711","1,054","5,678"
2020년11월_계_50~59세,"49,056","1,227","1,376","1,330",441,265,365,371,553,521,559,933,742,828,553,229,554,942,"1,124","4,021","1,899","1,934","6,312","1,260","4,524","2,489","4,470","2,296","1,081","5,857"
2020년11월_계_60~69세,"40,237","1,392","1,436","1,391",440,378,450,615,661,725,640,999,"1,008",932,530,364,739,839,"1,313","3,396","1,639","2,134","4,776","1,049","3,234",986,"2,131","2,019",883,"3,138"
2020년11월_계_70~79세,"24,499",864,849,981,411,286,345,525,529,564,521,619,837,580,393,315,568,470,892,"1,883",852,"1,734","2,510",617,"1,322",581,940,"1,452",523,"1,536"
