,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년11월_계_총인구수,"90,973","10,930","16,391","5,410","34,661","3,098","6,290","4,533","1,925","4,842","2,893"
2021년11월_계_연령구간인구수,"90,973","10,930","16,391","5,410","34,661","3,098","6,290","4,533","1,925","4,842","2,893"
2021년11월_계_0~9세,"8,195",731,"2,500",157,"4,261",46,183,93,48,110,66
2021년11월_계_10~19세,"9,676","1,107","1,708",289,"5,397",130,400,181,84,213,167
2021년11월_계_20~29세,"9,497","1,316","1,162",490,"4,618",234,702,303,127,334,211
2021년11월_계_30~39세,"11,155",973,"2,786",323,"5,790",148,412,244,117,220,142
2021년11월_계_40~49세,"14,446","1,546","2,748",571,"7,402",253,673,368,180,448,257
2021년11월_계_50~59세,"13,483","1,936","1,886","1,079","4,312",578,"1,115",851,333,815,578
2021년11월_계_60~69세,"11,538","1,642","1,662","1,231","1,831",635,"1,274","1,031",472,"1,092",668
2021년11월_계_70~79세,"7,901","1,092","1,171",770,734,564,896,867,355,951,501
2021년11월_계_80~89세,"4,453",532,669,431,279,446,540,528,168,587,273
2021년11월_계_90~99세,606,54,96,66,37,64,86,67,38,69,29
2021년11월_계_100세 이상,23,1,3,3,0,0,9,0,3,3,1
2021년11월_남_총인구수,"45,682","5,478","8,170","2,852","17,143","1,543","3,260","2,310",991,"2,452","1,483"
2021년11월_남_연령구간인구수,"45,682","5,478","8,170","2,852","17,143","1,543","3,260","2,310",991,"2,452","1,483"
2021년11월_남_0~9세,"4,219",383,"1,301",76,"2,181",19,98,48,27,59,27
2021년11월_남_10~19세,"4,909",580,833,140,"2,748",70,206,82,45,120,85
2021년11월_남_20~29세,"5,094",752,620,276,"2,319",142,412,177,70,214,112
2021년11월_남_30~39세,"5,644",515,"1,331",185,"2,818",94,246,152,69,134,100
2021년11월_남_40~49세,"7,557",787,"1,506",339,"3,561",163,398,253,113,282,155
2021년11월_남_50~59세,"7,389","1,027","1,023",629,"2,227",332,637,519,195,461,339
2021년11월_남_60~69세,"5,813",789,806,683,868,333,663,524,244,552,351
2021년11월_남_70~79세,"3,604",473,537,380,330,252,419,389,166,433,225
2021년11월_남_80~89세,"1,352",165,195,138,85,126,166,154,56,187,80
2021년11월_남_90~99세,100,7,18,6,6,12,15,12,6,10,8
2021년11월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1
2021년11월_여_총인구수,"45,291","5,452","8,221","2,558","17,518","1,555","3,030","2,223",934,"2,390","1,410"
2021년11월_여_연령구간인구수,"45,291","5,452","8,221","2,558","17,518","1,555","3,030","2,223",934,"2,390","1,410"
2021년11월_여_0~9세,"3,976",348,"1,199",81,"2,080",27,85,45,21,51,39
2021년11월_여_10~19세,"4,767",527,875,149,"2,649",60,194,99,39,93,82
2021년11월_여_20~29세,"4,403",564,542,214,"2,299",92,290,126,57,120,99
2021년11월_여_30~39세,"5,511",458,"1,455",138,"2,972",54,166,92,48,86,42
2021년11월_여_40~49세,"6,889",759,"1,242",232,"3,841",90,275,115,67,166,102
2021년11월_여_50~59세,"6,094",909,863,450,"2,085",246,478,332,138,354,239
2021년11월_여_60~69세,"5,725",853,856,548,963,302,611,507,228,540,317
2021년11월_여_70~79세,"4,297",619,634,390,404,312,477,478,189,518,276
2021년11월_여_80~89세,"3,101",367,474,293,194,320,374,374,112,400,193
2021년11월_여_90~99세,506,47,78,60,31,52,71,55,32,59,21
2021년11월_여_100세 이상,22,1,3,3,0,0,9,0,3,3,0
