,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년07월_계_총인구수,"451,842","26,547","31,963","28,463","9,816","5,539","8,251","53,647","39,660","23,006","62,175","41,311","41,070","30,862","49,532"
2020년07월_계_연령구간인구수,"451,842","26,547","31,963","28,463","9,816","5,539","8,251","53,647","39,660","23,006","62,175","41,311","41,070","30,862","49,532"
2020년07월_계_0~9세,"52,697","1,745","3,603","2,341",332,145,266,"4,382","5,272","1,693","7,225","6,128","6,666","5,035","7,864"
2020년07월_계_10~19세,"46,031","2,295","3,137","2,418",568,275,469,"5,930","5,586","2,157","7,070","5,029","3,509","2,507","5,081"
2020년07월_계_20~29세,"49,311","3,230","3,186","2,953",931,509,828,"7,216","3,903","3,219","7,403","3,744","4,896","2,714","4,579"
2020년07월_계_30~39세,"72,023","2,923","5,014","3,892",871,401,668,"6,410","5,937","3,010","9,351","6,936","9,976","7,169","9,465"
2020년07월_계_40~49세,"83,930","4,077","5,703","4,752","1,300",623,929,"9,119","8,560","3,898","11,777","9,037","7,748","5,749","10,658"
2020년07월_계_50~59세,"64,684","5,163","4,578","4,893","2,218","1,210","1,744","9,778","4,887","4,219","8,910","4,779","3,758","2,982","5,565"
2020년07월_계_60~69세,"46,617","3,965","3,981","4,071","1,953","1,244","1,659","5,920","3,086","2,672","5,817","3,210","2,719","2,603","3,717"
2020년07월_계_70~79세,"25,022","1,998","1,894","2,129","1,066",698,"1,058","3,240","1,712","1,444","3,248","1,761","1,303","1,590","1,881"
2020년07월_계_80~89세,"10,036","1,026",732,857,502,358,558,"1,447",642,605,"1,216",601,435,437,620
2020년07월_계_90~99세,"1,420",121,121,149,73,71,66,191,74,83,150,86,59,74,102
2020년07월_계_100세 이상,71,4,14,8,2,5,6,14,1,6,8,0,1,2,0
2020년07월_남_총인구수,"226,602","14,165","16,006","15,007","5,723","3,039","4,488","26,522","19,353","11,528","30,493","20,314","20,417","15,294","24,253"
2020년07월_남_연령구간인구수,"226,602","14,165","16,006","15,007","5,723","3,039","4,488","26,522","19,353","11,528","30,493","20,314","20,417","15,294","24,253"
2020년07월_남_0~9세,"26,946",908,"1,883","1,168",175,72,146,"2,182","2,636",904,"3,695","3,163","3,411","2,575","4,028"
2020년07월_남_10~19세,"23,457","1,230","1,610","1,254",310,139,261,"3,053","2,832","1,122","3,617","2,443","1,715","1,272","2,599"
2020년07월_남_20~29세,"25,578","1,922","1,637","1,621",591,308,495,"3,871","1,936","1,721","3,674","1,944","2,330","1,310","2,218"
2020년07월_남_30~39세,"35,355","1,643","2,461","2,167",547,227,391,"3,125","2,740","1,531","4,433","3,235","5,000","3,560","4,295"
2020년07월_남_40~49세,"43,634","2,284","2,926","2,682",840,392,568,"4,416","4,238","1,962","5,803","4,638","4,203","3,121","5,561"
2020년07월_남_50~59세,"33,106","2,788","2,280","2,670","1,389",697,"1,001","4,882","2,493","2,119","4,452","2,426","1,768","1,409","2,732"
2020년07월_남_60~69세,"22,717","2,092","1,970","2,088","1,119",678,885,"2,983","1,418","1,289","2,766","1,441","1,210","1,109","1,669"
2020년07월_남_70~79세,"11,675",893,935,"1,004",535,378,498,"1,415",797,641,"1,541",796,601,756,885
2020년07월_남_80~89세,"3,778",370,271,320,198,135,220,536,246,225,474,213,168,159,243
2020년07월_남_90~99세,338,33,30,30,19,12,21,55,16,14,37,15,11,22,23
2020년07월_남_100세 이상,18,2,3,3,0,1,2,4,1,0,1,0,0,1,0
2020년07월_여_총인구수,"225,240","12,382","15,957","13,456","4,093","2,500","3,763","27,125","20,307","11,478","31,682","20,997","20,653","15,568","25,279"
2020년07월_여_연령구간인구수,"225,240","12,382","15,957","13,456","4,093","2,500","3,763","27,125","20,307","11,478","31,682","20,997","20,653","15,568","25,279"
2020년07월_여_0~9세,"25,751",837,"1,720","1,173",157,73,120,"2,200","2,636",789,"3,530","2,965","3,255","2,460","3,836"
2020년07월_여_10~19세,"22,574","1,065","1,527","1,164",258,136,208,"2,877","2,754","1,035","3,453","2,586","1,794","1,235","2,482"
2020년07월_여_20~29세,"23,733","1,308","1,549","1,332",340,201,333,"3,345","1,967","1,498","3,729","1,800","2,566","1,404","2,361"
2020년07월_여_30~39세,"36,668","1,280","2,553","1,725",324,174,277,"3,285","3,197","1,479","4,918","3,701","4,976","3,609","5,170"
2020년07월_여_40~49세,"40,296","1,793","2,777","2,070",460,231,361,"4,703","4,322","1,936","5,974","4,399","3,545","2,628","5,097"
2020년07월_여_50~59세,"31,578","2,375","2,298","2,223",829,513,743,"4,896","2,394","2,100","4,458","2,353","1,990","1,573","2,833"
2020년07월_여_60~69세,"23,900","1,873","2,011","1,983",834,566,774,"2,937","1,668","1,383","3,051","1,769","1,509","1,494","2,048"
2020년07월_여_70~79세,"13,347","1,105",959,"1,125",531,320,560,"1,825",915,803,"1,707",965,702,834,996
2020년07월_여_80~89세,"6,258",656,461,537,304,223,338,911,396,380,742,388,267,278,377
2020년07월_여_90~99세,"1,082",88,91,119,54,59,45,136,58,69,113,71,48,52,79
2020년07월_여_100세 이상,53,2,11,5,2,4,4,10,0,6,7,0,1,1,0
