카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년09월_계_총인구수,"397,918","22,552","30,773","28,830","27,587","15,876","18,146","32,135","16,247","23,250","9,934","34,679","12,779","8,636","16,199","13,978","23,411","38,006","24,900"
2021년09월_계_연령구간인구수,"397,918","22,552","30,773","28,830","27,587","15,876","18,146","32,135","16,247","23,250","9,934","34,679","12,779","8,636","16,199","13,978","23,411","38,006","24,900"
2021년09월_계_0~9세,"27,468","1,234","2,842","2,903","2,176","1,230","1,183","2,000","1,049","1,710",482,"2,511",469,225,"1,229",345,840,"3,826","1,214"
2021년09월_계_10~19세,"37,127","1,538","3,060","3,128","2,517","1,165","1,984","2,813","1,774","2,925",487,"4,109",600,478,"1,538",712,"1,409","4,961","1,929"
2021년09월_계_20~29세,"47,441","2,958","3,388","2,750","3,387","1,654","2,753","5,058","1,915","2,871","1,127","4,079","1,380",946,"2,008","1,581","2,340","4,122","3,124"
2021년09월_계_30~39세,"45,595","2,846","3,717","3,410","3,560","2,209","2,078","4,438","1,636","2,448","1,247","3,557","1,500",767,"1,915","1,112","1,853","4,520","2,782"
2021년09월_계_40~49세,"64,512","3,358","5,190","5,042","4,719","2,707","3,154","4,918","2,477","3,939","1,333","6,017","1,688","1,085","2,587","1,697","3,053","7,749","3,799"
2021년09월_계_50~59세,"69,414","3,839","5,385","4,793","4,809","2,761","3,202","5,684","2,949","4,278","1,700","6,274","2,325","1,630","2,921","2,611","4,063","5,583","4,607"
2021년09월_계_60~69세,"59,856","3,701","4,056","3,976","3,586","2,520","1,967","4,055","2,354","2,831","2,006","4,812","2,566","1,871","2,554","2,865","5,154","4,382","4,600"
2021년09월_계_70~79세,"31,036","2,130","2,080","1,870","1,869","1,121","1,086","1,969","1,234","1,373","1,008","2,272","1,560","1,096","1,053","2,061","3,182","2,089","1,983"
2021년09월_계_80~89세,"13,585",825,908,830,848,422,655,"1,061",750,774,476,908,635,493,346,892,"1,320",677,765
2021년09월_계_90~99세,"1,810",116,141,125,99,80,82,136,108,99,66,138,53,45,46,97,193,93,93
2021년09월_계_100세 이상,74,7,6,3,17,7,2,3,1,2,2,2,3,0,2,5,4,4,4
2021년09월_남_총인구수,"191,304","10,712","14,652","13,645","13,282","7,555","8,460","14,794","7,620","11,028","4,792","17,097","6,210","4,230","7,990","6,995","11,389","18,686","12,167"
2021년09월_남_연령구간인구수,"191,304","10,712","14,652","13,645","13,282","7,555","8,460","14,794","7,620","11,028","4,792","17,097","6,210","4,230","7,990","6,995","11,389","18,686","12,167"
2021년09월_남_0~9세,"14,184",615,"1,478","1,498","1,149",592,599,"1,038",524,903,260,"1,284",221,125,650,166,441,"2,018",623
2021년09월_남_10~19세,"19,125",772,"1,577","1,563","1,308",609,"1,041","1,422",925,"1,476",269,"2,164",319,260,782,360,749,"2,543",986
2021년09월_남_20~29세,"24,721","1,453","1,736","1,444","1,730",859,"1,292","2,373","1,028","1,508",610,"2,207",776,520,"1,074",888,"1,302","2,175","1,746"
2021년09월_남_30~39세,"22,294","1,413","1,704","1,472","1,696","1,050",973,"2,111",787,"1,157",663,"1,710",824,452,972,667,"1,035","2,150","1,458"
2021년09월_남_40~49세,"30,733","1,617","2,354","2,324","2,205","1,318","1,370","2,193","1,095","1,716",711,"2,811",909,590,"1,287",956,"1,669","3,663","1,945"
2021년09월_남_50~59세,"33,021","1,797","2,572","2,200","2,310","1,278","1,549","2,519","1,357","2,014",779,"3,125","1,116",800,"1,359","1,373","1,994","2,787","2,092"
2021년09월_남_60~69세,"28,179","1,684","1,892","1,890","1,694","1,168",942,"1,911","1,102","1,381",909,"2,371","1,161",849,"1,222","1,412","2,413","2,056","2,122"
2021년09월_남_70~79세,"13,786",991,967,876,828,503,432,804,502,573,430,"1,073",666,466,528,829,"1,343","1,026",949
