,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년05월_계_총인구수,"1,855,945","228,587","281,250","280,795","114,469","152,576","46,077","28,386","25,851","64,336","41,016","62,554","38,146","34,977","69,588","54,224","81,565","32,433","53,512","45,222","50,245","30,494","39,642"
2020년05월_계_연령구간인구수,"1,855,945","228,587","281,250","280,795","114,469","152,576","46,077","28,386","25,851","64,336","41,016","62,554","38,146","34,977","69,588","54,224","81,565","32,433","53,512","45,222","50,245","30,494","39,642"
2020년05월_계_0~9세,"136,159","19,670","21,636","23,901","10,173","13,965","2,345","1,152","1,183","2,651","1,862","3,583","2,065","1,873","4,247","3,833","7,120","1,448","3,801","2,941","3,273","1,768","1,669"
2020년05월_계_10~19세,"170,539","25,359","27,139","30,861","9,328","16,223","3,044","2,048","1,928","4,015","2,669","5,866","2,903","2,582","5,415","4,592","8,806","2,111","4,275","3,343","3,703","2,259","2,070"
2020년05월_계_20~29세,"201,096","27,589","33,818","37,122","12,191","20,474","4,885","2,423","2,030","4,304","3,082","6,767","3,157","2,877","5,621","5,017","8,261","2,593","5,085","4,576","3,791","2,428","3,005"
2020년05월_계_30~39세,"190,821","27,592","31,753","33,190","14,682","19,303","3,714","1,765","1,749","3,825","2,663","4,866","2,926","2,609","5,329","5,107","9,306","2,182","4,962","3,846","4,252","2,292","2,908"
2020년05월_계_40~49세,"262,915","38,179","42,462","43,760","16,236","24,332","5,319","3,175","3,041","6,466","4,315","8,519","4,252","3,846","8,250","7,629","12,726","3,606","6,726","5,753","6,279","3,585","4,459"
2020년05월_계_50~59세,"316,227","36,856","48,846","49,183","17,328","28,935","8,190","4,983","4,705","10,509","6,837","11,284","6,451","5,815","11,873","9,429","12,446","5,650","8,754","7,595","8,272","5,086","7,200"
2020년05월_계_60~69세,"262,699","28,117","39,503","32,512","15,543","16,006","7,921","4,854","4,500","12,442","7,494","8,988","6,422","6,058","12,052","7,782","10,409","5,753","8,287","7,034","8,345","5,147","7,530"
2020년05월_계_70~79세,"191,306","17,361","23,973","18,679","11,479","7,975","6,286","4,301","3,884","11,418","6,667","7,456","5,496","5,253","10,025","6,334","7,766","5,220","7,130","5,953","7,459","4,762","6,429"
2020년05월_계_80~89세,"107,814","6,852","10,462","9,980","6,479","4,611","3,753","3,177","2,463","7,447","4,700","4,553","3,850","3,547","5,932","3,958","4,120","3,365","3,919","3,661","4,305","2,793","3,887"
2020년05월_계_90~99세,"15,534",936,"1,554","1,545",971,731,588,497,348,"1,211",687,636,599,487,801,510,569,478,539,478,543,357,469
2020년05월_계_100세 이상,835,76,104,62,59,21,32,11,20,48,40,36,25,30,43,33,36,27,34,42,23,17,16
2020년05월_남_총인구수,"932,496","113,977","143,364","140,159","57,643","79,442","23,463","13,864","12,551","31,220","19,883","30,939","18,526","16,854","34,339","27,886","40,920","16,211","26,687","23,265","25,267","14,988","21,048"
2020년05월_남_연령구간인구수,"932,496","113,977","143,364","140,159","57,643","79,442","23,463","13,864","12,551","31,220","19,883","30,939","18,526","16,854","34,339","27,886","40,920","16,211","26,687","23,265","25,267","14,988","21,048"
2020년05월_남_0~9세,"69,467","10,136","11,009","12,290","5,206","7,090","1,171",585,585,"1,328",971,"1,823","1,065",943,"2,143","1,925","3,628",754,"1,937","1,480","1,683",854,861
2020년05월_남_10~19세,"88,705","13,015","14,173","16,153","4,802","8,402","1,595","1,072","1,029","2,124","1,356","3,061","1,525","1,317","2,822","2,463","4,519","1,125","2,226","1,771","1,904","1,172","1,079"
2020년05월_남_20~29세,"111,968","14,861","19,076","20,131","6,443","11,908","2,919","1,317","1,068","2,503","1,728","3,666","1,772","1,604","3,139","2,856","4,449","1,504","2,843","2,774","2,232","1,392","1,783"
2020년05월_남_30~39세,"100,471","14,203","17,078","16,963","7,631","10,298","1,966",956,938,"2,083","1,428","2,475","1,543","1,327","2,762","2,822","4,776","1,183","2,574","2,044","2,339","1,256","1,826"
2020년05월_남_40~49세,"140,930","19,659","22,390","21,596","9,148","12,352","3,098","1,777","1,669","3,784","2,444","4,457","2,357","2,151","4,691","4,531","6,773","2,141","3,849","3,328","3,691","2,066","2,978"
2020년05월_남_50~59세,"169,087","18,494","25,429","24,844","9,464","15,872","4,528","2,755","2,589","5,778","3,810","6,171","3,487","3,110","6,523","5,390","6,836","3,270","4,764","4,314","4,529","2,784","4,346"
2020년05월_남_60~69세,"131,832","13,423","19,614","16,327","7,882","8,437","4,084","2,515","2,194","6,139","3,730","4,665","3,188","3,006","5,961","3,920","5,178","2,950","4,137","3,649","4,139","2,595","4,099"
2020년05월_남_70~79세,"83,091","7,683","10,837","8,325","4,952","3,501","2,775","1,797","1,591","4,903","2,807","3,071","2,297","2,230","4,326","2,639","3,424","2,165","3,043","2,607","3,268","1,998","2,852"
2020년05월_남_80~89세,"33,734","2,298","3,468","3,219","1,896","1,442","1,198",988,806,"2,314","1,463","1,401","1,174","1,068","1,820","1,225","1,242","1,002","1,213","1,180","1,382",805,"1,130"
2020년05월_남_90~99세,"3,095",190,275,303,208,135,126,100,79,257,141,147,114,94,151,108,91,114,97,113,97,66,89
2020년05월_남_100세 이상,116,15,15,8,11,5,3,2,3,7,5,2,4,4,1,7,4,3,4,5,3,0,5
2020년05월_여_총인구수,"923,449","114,610","137,886","140,636","56,826","73,134","22,614","14,522","13,300","33,116","21,133","31,615","19,620","18,123","35,249","26,338","40,645","16,222","26,825","21,957","24,978","15,506","18,594"
2020년05월_여_연령구간인구수,"923,449","114,610","137,886","140,636","56,826","73,134","22,614","14,522","13,300","33,116","21,133","31,615","19,620","18,123","35,249","26,338","40,645","16,222","26,825","21,957","24,978","15,506","18,594"
2020년05월_여_0~9세,"66,692","9,534","10,627","11,611","4,967","6,875","1,174",567,598,"1,323",891,"1,760","1,000",930,"2,104","1,908","3,492",694,"1,864","1,461","1,590",914,808
2020년05월_여_10~19세,"81,834","12,344","12,966","14,708","4,526","7,821","1,449",976,899,"1,891","1,313","2,805","1,378","1,265","2,593","2,129","4,287",986,"2,049","1,572","1,799","1,087",991
2020년05월_여_20~29세,"89,128","12,728","14,742","16,991","5,748","8,566","1,966","1,106",962,"1,801","1,354","3,101","1,385","1,273","2,482","2,161","3,812","1,089","2,242","1,802","1,559","1,036","1,222"
2020년05월_여_30~39세,"90,350","13,389","14,675","16,227","7,051","9,005","1,748",809,811,"1,742","1,235","2,391","1,383","1,282","2,567","2,285","4,530",999,"2,388","1,802","1,913","1,036","1,082"
2020년05월_여_40~49세,"121,985","18,520","20,072","22,164","7,088","11,980","2,221","1,398","1,372","2,682","1,871","4,062","1,895","1,695","3,559","3,098","5,953","1,465","2,877","2,425","2,588","1,519","1,481"
2020년05월_여_50~59세,"147,140","18,362","23,417","24,339","7,864","13,063","3,662","2,228","2,116","4,731","3,027","5,113","2,964","2,705","5,350","4,039","5,610","2,380","3,990","3,281","3,743","2,302","2,854"
2020년05월_여_60~69세,"130,867","14,694","19,889","16,185","7,661","7,569","3,837","2,339","2,306","6,303","3,764","4,323","3,234","3,052","6,091","3,862","5,231","2,803","4,150","3,385","4,206","2,552","3,431"
2020년05월_여_70~79세,"108,215","9,678","13,136","10,354","6,527","4,474","3,511","2,504","2,293","6,515","3,860","4,385","3,199","3,023","5,699","3,695","4,342","3,055","4,087","3,346","4,191","2,764","3,577"
2020년05월_여_80~89세,"74,080","4,554","6,994","6,761","4,583","3,169","2,555","2,189","1,657","5,133","3,237","3,152","2,676","2,479","4,112","2,733","2,878","2,363","2,706","2,481","2,923","1,988","2,757"
2020년05월_여_90~99세,"12,439",746,"1,279","1,242",763,596,462,397,269,954,546,489,485,393,650,402,478,364,442,365,446,291,380
2020년05월_여_100세 이상,719,61,89,54,48,16,29,9,17,41,35,34,21,26,42,26,32,24,30,37,20,17,11
