,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년07월_계_총인구수,"62,258","6,971","5,979","7,702","10,549","3,579","1,605","2,838","7,786","5,725","6,562","2,962"
2021년07월_계_연령구간인구수,"62,258","6,971","5,979","7,702","10,549","3,579","1,605","2,838","7,786","5,725","6,562","2,962"
2021년07월_계_0~9세,"3,599",423,233,325,824,117,80,75,422,457,538,105
2021년07월_계_10~19세,"4,956",595,449,613,886,196,108,151,653,546,570,189
2021년07월_계_20~29세,"6,565",746,681,778,"1,171",373,165,256,812,706,599,278
2021년07월_계_30~39세,"6,877",772,503,708,"1,390",335,154,215,833,953,774,240
2021년07월_계_40~49세,"9,830","1,162",831,"1,191","1,761",464,244,355,"1,264",986,"1,149",423
2021년07월_계_50~59세,"10,043","1,183","1,063","1,256","1,590",651,238,462,"1,269",910,990,431
2021년07월_계_60~69세,"10,354","1,110","1,075","1,382","1,564",732,302,627,"1,289",698,"1,006",569
2021년07월_계_70~79세,"6,623",625,770,935,984,440,191,425,838,337,596,482
2021년07월_계_80~89세,"2,951",308,323,456,328,246,108,238,345,110,277,212
2021년07월_계_90~99세,422,46,48,55,46,24,14,30,53,19,56,31
2021년07월_계_100세 이상,38,1,3,3,5,1,1,4,8,3,7,2
2021년07월_남_총인구수,"31,461","3,584","3,050","3,797","5,184","1,858",785,"1,463","3,989","2,986","3,284","1,481"
2021년07월_남_연령구간인구수,"31,461","3,584","3,050","3,797","5,184","1,858",785,"1,463","3,989","2,986","3,284","1,481"
2021년07월_남_0~9세,"1,880",233,124,175,410,61,38,41,237,237,279,45
2021년07월_남_10~19세,"2,570",308,233,285,470,99,53,76,337,274,324,111
2021년07월_남_20~29세,"3,572",414,376,419,610,212,91,161,475,364,305,145
2021년07월_남_30~39세,"3,700",412,266,392,698,197,90,129,456,541,387,132
2021년07월_남_40~49세,"5,292",618,440,653,919,265,127,207,669,518,633,243
2021년07월_남_50~59세,"5,362",659,588,672,772,364,120,269,674,494,510,240
2021년07월_남_60~69세,"5,036",560,537,656,723,383,152,298,623,348,474,282
2021년07월_남_70~79세,"2,908",270,345,384,450,188,81,185,371,162,270,202
2021년07월_남_80~89세,"1,036",98,130,148,122,81,29,87,129,41,96,75
2021년07월_남_90~99세,96,11,11,13,8,8,4,8,16,6,5,6
2021년07월_남_100세 이상,9,1,0,0,2,0,0,2,2,1,1,0
2021년07월_여_총인구수,"30,797","3,387","2,929","3,905","5,365","1,721",820,"1,375","3,797","2,739","3,278","1,481"
2021년07월_여_연령구간인구수,"30,797","3,387","2,929","3,905","5,365","1,721",820,"1,375","3,797","2,739","3,278","1,481"
2021년07월_여_0~9세,"1,719",190,109,150,414,56,42,34,185,220,259,60
2021년07월_여_10~19세,"2,386",287,216,328,416,97,55,75,316,272,246,78
2021년07월_여_20~29세,"2,993",332,305,359,561,161,74,95,337,342,294,133
2021년07월_여_30~39세,"3,177",360,237,316,692,138,64,86,377,412,387,108
2021년07월_여_40~49세,"4,538",544,391,538,842,199,117,148,595,468,516,180
2021년07월_여_50~59세,"4,681",524,475,584,818,287,118,193,595,416,480,191
2021년07월_여_60~69세,"5,318",550,538,726,841,349,150,329,666,350,532,287
2021년07월_여_70~79세,"3,715",355,425,551,534,252,110,240,467,175,326,280
2021년07월_여_80~89세,"1,915",210,193,308,206,165,79,151,216,69,181,137
2021년07월_여_90~99세,326,35,37,42,38,16,10,22,37,13,51,25
2021년07월_여_100세 이상,29,0,3,3,3,1,1,2,6,2,6,2
