카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년11월_계_총인구수,"39,009","4,241",242,"5,821",244,224,"1,484",320,"3,145","2,264","3,552","2,524",217,"2,335",448,223,516,321,"1,774","1,560","1,568","2,705",275,976,"2,030"
2020년11월_계_연령구간인구수,"39,009","4,241",242,"5,821",244,224,"1,484",320,"3,145","2,264","3,552","2,524",217,"2,335",448,223,516,321,"1,774","1,560","1,568","2,705",275,976,"2,030"
2020년11월_계_0~9세,"1,563",145,5,213,10,13,47,6,174,81,142,109,9,75,12,11,34,12,76,71,73,120,10,19,96
2020년11월_계_10~19세,"2,040",227,5,285,5,6,48,12,219,99,214,217,5,123,22,14,34,20,108,102,66,97,7,32,73
2020년11월_계_20~29세,"2,795",282,15,516,9,6,104,22,222,141,215,170,7,207,67,16,51,31,119,131,84,196,15,45,124
2020년11월_계_30~39세,"2,701",266,16,424,17,12,97,19,210,142,225,165,11,198,51,13,57,25,119,123,110,175,34,62,130
2020년11월_계_40~49세,"4,351",459,14,647,22,22,188,38,404,214,414,276,32,308,74,27,91,43,198,222,153,224,23,80,178
2020년11월_계_50~59세,"7,045",772,55,"1,116",39,34,293,66,566,427,629,378,60,447,88,49,107,61,317,281,243,457,47,147,366
2020년11월_계_60~69세,"7,641",845,51,"1,244",63,48,236,72,586,453,693,461,43,394,70,42,69,65,330,283,335,544,68,221,425
2020년11월_계_70~79세,"6,428",743,41,819,56,54,292,59,507,432,629,416,30,325,39,25,43,42,289,205,295,481,44,220,342
2020년11월_계_80~89세,"3,942",439,39,483,21,28,163,25,239,251,345,302,17,213,24,23,30,17,196,125,187,350,24,134,267
2020년11월_계_90~99세,485,62,1,70,2,1,16,1,18,23,46,29,2,40,1,3,0,5,22,15,20,60,3,16,29
2020년11월_계_100세 이상,18,1,0,4,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2020년11월_남_총인구수,"20,798","2,217",127,"3,139",125,131,806,185,"1,675","1,199","1,862","1,295",127,"1,301",288,125,297,190,946,858,823,"1,404",151,483,"1,044"
2020년11월_남_연령구간인구수,"20,798","2,217",127,"3,139",125,131,806,185,"1,675","1,199","1,862","1,295",127,"1,301",288,125,297,190,946,858,823,"1,404",151,483,"1,044"
2020년11월_남_0~9세,799,82,2,112,5,11,24,2,83,45,76,56,6,32,6,5,17,5,31,30,39,61,6,9,54
2020년11월_남_10~19세,"1,052",107,1,133,2,4,25,9,118,53,102,104,3,74,13,9,22,11,62,56,28,54,4,16,42
2020년11월_남_20~29세,"1,685",182,11,292,6,4,61,11,136,80,111,106,3,130,49,9,25,20,78,74,53,117,12,38,77
2020년11월_남_30~39세,"1,717",159,9,276,11,10,69,16,128,100,138,110,5,129,40,9,41,14,66,74,70,104,22,38,79
2020년11월_남_40~49세,"2,914",300,10,416,17,17,138,28,274,136,266,166,25,221,56,23,65,34,131,155,109,150,14,50,113
