카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년01월_계_총인구수,"43,681","6,606","4,590","6,089","13,967","3,974","3,535","2,712","2,208"
2020년01월_계_연령구간인구수,"43,681","6,606","4,590","6,089","13,967","3,974","3,535","2,712","2,208"
2020년01월_계_0~9세,"2,830",517,221,430,"1,228",178,128,82,46
2020년01월_계_10~19세,"3,991",622,340,517,"1,696",281,219,212,104
2020년01월_계_20~29세,"3,832",630,353,398,"1,524",280,323,175,149
2020년01월_계_30~39세,"4,184",657,332,606,"1,690",316,282,161,140
2020년01월_계_40~49세,"6,619",970,633,959,"2,636",532,380,299,210
2020년01월_계_50~59세,"7,604","1,140",849,"1,000","2,184",777,799,454,401
2020년01월_계_60~69세,"7,472","1,081",980,"1,043","1,671",898,685,613,501
2020년01월_계_70~79세,"4,860",667,632,772,933,497,453,493,413
2020년01월_계_80~89세,"1,986",273,206,316,357,190,233,200,211
2020년01월_계_90~99세,245,37,36,41,41,20,26,19,25
2020년01월_계_100세 이상,58,12,8,7,7,5,7,4,8
2020년01월_남_총인구수,"22,056","3,270","2,351","3,068","7,049","2,000","1,754","1,408","1,156"
2020년01월_남_연령구간인구수,"22,056","3,270","2,351","3,068","7,049","2,000","1,754","1,408","1,156"
2020년01월_남_0~9세,"1,443",270,111,225,607,97,62,47,24
2020년01월_남_10~19세,"2,098",338,192,258,882,128,105,135,60
2020년01월_남_20~29세,"2,159",360,205,235,838,144,187,106,84
2020년01월_남_30~39세,"2,189",330,186,299,860,176,163,85,90
2020년01월_남_40~49세,"3,536",498,355,543,"1,351",291,200,180,118
2020년01월_남_50~59세,"4,026",565,451,563,"1,147",403,420,249,228
2020년01월_남_60~69세,"3,648",500,492,472,815,449,347,312,261
2020년01월_남_70~79세,"2,162",293,274,348,418,229,190,216,194
2020년01월_남_80~89세,719,100,76,114,120,79,76,71,83
2020년01월_남_90~99세,51,10,6,8,6,2,2,5,12
2020년01월_남_100세 이상,25,6,3,3,5,2,2,2,2
2020년01월_여_총인구수,"21,625","3,336","2,239","3,021","6,918","1,974","1,781","1,304","1,052"
2020년01월_여_연령구간인구수,"21,625","3,336","2,239","3,021","6,918","1,974","1,781","1,304","1,052"
2020년01월_여_0~9세,"1,387",247,110,205,621,81,66,35,22
2020년01월_여_10~19세,"1,893",284,148,259,814,153,114,77,44
2020년01월_여_20~29세,"1,673",270,148,163,686,136,136,69,65
2020년01월_여_30~39세,"1,995",327,146,307,830,140,119,76,50
2020년01월_여_40~49세,"3,083",472,278,416,"1,285",241,180,119,92
2020년01월_여_50~59세,"3,578",575,398,437,"1,037",374,379,205,173
2020년01월_여_60~69세,"3,824",581,488,571,856,449,338,301,240
2020년01월_여_70~79세,"2,698",374,358,424,515,268,263,277,219
2020년01월_여_80~89세,"1,267",173,130,202,237,111,157,129,128
2020년01월_여_90~99세,194,27,30,33,35,18,24,14,13
2020년01월_여_100세 이상,33,6,5,4,2,3,5,2,6
