,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년06월_계_총인구수,"102,440","10,671","2,338","1,439","1,951","2,190","2,995","2,736","2,007","1,865","3,046","7,671","6,193","3,986","3,542","6,636","8,201","7,907","19,070","7,996"
2021년06월_계_연령구간인구수,"102,440","10,671","2,338","1,439","1,951","2,190","2,995","2,736","2,007","1,865","3,046","7,671","6,193","3,986","3,542","6,636","8,201","7,907","19,070","7,996"
2021년06월_계_0~9세,"5,891",461,51,22,54,53,80,69,37,25,54,455,342,151,175,468,431,415,"2,031",517
2021년06월_계_10~19세,"8,714",744,98,54,87,100,122,127,70,58,110,905,571,288,244,867,610,676,"2,189",794
2021년06월_계_20~29세,"9,611",954,175,83,132,163,184,168,124,101,131,736,609,313,284,696,968,929,"2,000",861
2021년06월_계_30~39세,"8,295",736,109,45,106,112,149,127,82,82,133,562,466,278,252,506,678,619,"2,479",774
2021년06월_계_40~49세,"13,561","1,178",180,94,162,175,251,254,134,142,204,"1,221",848,463,412,"1,124","1,038","1,013","3,449","1,219"
2021년06월_계_50~59세,"17,481","1,800",458,250,324,355,479,486,356,323,533,"1,348","1,130",670,613,"1,209","1,505","1,563","2,690","1,389"
2021년06월_계_60~69세,"18,991","2,372",583,347,474,530,753,741,573,477,864,"1,187","1,070",861,754,877,"1,511","1,459","2,276","1,282"
2021년06월_계_70~79세,"11,724","1,427",346,282,303,366,524,452,347,328,563,768,721,581,513,557,945,778,"1,230",693
2021년06월_계_80~89세,"7,046",850,296,221,246,273,384,268,241,286,390,419,391,333,255,295,456,391,640,411
2021년06월_계_90~99세,"1,074",137,42,39,61,60,68,38,41,42,63,69,40,44,39,35,57,63,83,53
2021년06월_계_100세 이상,52,12,0,2,2,3,1,6,2,1,1,1,5,4,1,2,2,1,3,3
2021년06월_남_총인구수,"50,850","5,303","1,204",728,999,"1,104","1,517","1,393","1,006",930,"1,513","3,827","2,959","1,947","1,705","3,292","4,041","3,938","9,602","3,842"
2021년06월_남_연령구간인구수,"50,850","5,303","1,204",728,999,"1,104","1,517","1,393","1,006",930,"1,513","3,827","2,959","1,947","1,705","3,292","4,041","3,938","9,602","3,842"
2021년06월_남_0~9세,"3,061",234,23,16,29,28,39,32,19,13,30,237,177,88,105,235,210,216,"1,061",269
2021년06월_남_10~19세,"4,555",397,50,24,46,50,68,65,41,30,58,480,290,139,130,455,326,361,"1,125",420
2021년06월_남_20~29세,"5,623",589,112,59,84,101,115,103,78,72,75,449,342,188,158,423,543,559,"1,132",441
2021년06월_남_30~39세,"4,444",399,60,24,67,71,100,73,50,52,79,296,252,148,126,255,383,330,"1,269",410
2021년06월_남_40~49세,"7,005",637,102,63,101,101,157,153,76,88,134,593,415,244,207,536,538,488,"1,778",594
2021년06월_남_50~59세,"8,993",907,264,139,176,191,253,255,187,173,287,710,576,369,319,619,713,776,"1,408",671
2021년06월_남_60~69세,"9,125","1,175",307,181,258,281,390,378,298,261,426,559,476,384,328,397,687,676,"1,063",600
2021년06월_남_70~79세,"5,317",638,170,134,139,170,250,229,157,145,274,342,287,251,228,258,441,378,520,306
2021년06월_남_80~89세,"2,489",298,110,77,86,100,132,90,93,87,137,156,132,118,96,102,186,138,228,123
2021년06월_남_90~99세,229,26,6,11,13,11,13,13,6,8,13,5,11,18,8,12,14,16,17,8
2021년06월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년06월_여_총인구수,"51,590","5,368","1,134",711,952,"1,086","1,478","1,343","1,001",935,"1,533","3,844","3,234","2,039","1,837","3,344","4,160","3,969","9,468","4,154"
2021년06월_여_연령구간인구수,"51,590","5,368","1,134",711,952,"1,086","1,478","1,343","1,001",935,"1,533","3,844","3,234","2,039","1,837","3,344","4,160","3,969","9,468","4,154"
2021년06월_여_0~9세,"2,830",227,28,6,25,25,41,37,18,12,24,218,165,63,70,233,221,199,970,248
2021년06월_여_10~19세,"4,159",347,48,30,41,50,54,62,29,28,52,425,281,149,114,412,284,315,"1,064",374
2021년06월_여_20~29세,"3,988",365,63,24,48,62,69,65,46,29,56,287,267,125,126,273,425,370,868,420
2021년06월_여_30~39세,"3,851",337,49,21,39,41,49,54,32,30,54,266,214,130,126,251,295,289,"1,210",364
2021년06월_여_40~49세,"6,556",541,78,31,61,74,94,101,58,54,70,628,433,219,205,588,500,525,"1,671",625
2021년06월_여_50~59세,"8,488",893,194,111,148,164,226,231,169,150,246,638,554,301,294,590,792,787,"1,282",718
2021년06월_여_60~69세,"9,866","1,197",276,166,216,249,363,363,275,216,438,628,594,477,426,480,824,783,"1,213",682
2021년06월_여_70~79세,"6,407",789,176,148,164,196,274,223,190,183,289,426,434,330,285,299,504,400,710,387
2021년06월_여_80~89세,"4,557",552,186,144,160,173,252,178,148,199,253,263,259,215,159,193,270,253,412,288
2021년06월_여_90~99세,845,111,36,28,48,49,55,25,35,34,50,64,29,26,31,23,43,47,66,45
2021년06월_여_100세 이상,43,9,0,2,2,3,1,4,1,0,1,1,4,4,1,2,2,1,2,3
