카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년03월_계_총인구수,"269,497","32,918","9,993","24,940","19,479","15,049","39,042","10,785","27,934","17,490","14,852","27,617","14,426","14,972"
2021년03월_계_연령구간인구수,"269,497","32,918","9,993","24,940","19,479","15,049","39,042","10,785","27,934","17,490","14,852","27,617","14,426","14,972"
2021년03월_계_0~9세,"19,413","2,585",334,"2,662","1,020",868,"2,595",817,"2,574","1,510",790,"1,854",979,825
2021년03월_계_10~19세,"24,815","2,796",637,"3,230","1,131","1,414","2,881","1,009","4,079","1,786",970,"2,799","1,050","1,033"
2021년03월_계_20~29세,"32,341","3,922","1,102","2,484","3,061","1,747","5,533","1,275","3,112","1,779","1,730","3,184","1,609","1,803"
2021년03월_계_30~39세,"32,628","4,325",875,"3,062","3,155","1,423","5,372","1,378","2,724","1,947","1,695","3,059","1,769","1,844"
2021년03월_계_40~49세,"43,096","5,057","1,227","5,088","3,048","2,121","5,665","1,775","5,649","3,208","2,039","4,351","1,949","1,919"
2021년03월_계_50~59세,"43,968","5,359","1,751","3,619","3,005","2,454","6,605","1,678","4,555","2,552","2,536","4,792","2,435","2,627"
2021년03월_계_60~69세,"41,334","5,000","2,043","2,639","2,670","2,575","6,025","1,494","3,264","2,570","2,845","4,515","2,684","3,010"
2021년03월_계_70~79세,"22,329","2,700","1,320","1,488","1,618","1,597","3,114",917,"1,442","1,547","1,609","2,181","1,390","1,406"
2021년03월_계_80~89세,"8,438","1,037",594,589,684,729,"1,123",394,467,528,564,777,506,446
2021년03월_계_90~99세,"1,065",133,87,78,80,114,123,46,67,63,68,98,52,56
2021년03월_계_100세 이상,70,4,23,1,7,7,6,2,1,0,6,7,3,3
2021년03월_남_총인구수,"131,207","16,055","4,845","12,225","9,241","7,278","19,131","5,156","13,502","8,675","7,325","13,467","7,000","7,307"
2021년03월_남_연령구간인구수,"131,207","16,055","4,845","12,225","9,241","7,278","19,131","5,156","13,502","8,675","7,325","13,467","7,000","7,307"
2021년03월_남_0~9세,"10,033","1,310",170,"1,396",501,422,"1,328",425,"1,313",864,429,943,502,430
2021년03월_남_10~19세,"12,933","1,509",343,"1,768",566,752,"1,508",466,"1,990","1,002",520,"1,462",494,553
2021년03월_남_20~29세,"16,905","2,092",597,"1,277","1,382",962,"2,802",673,"1,692",923,911,"1,743",860,991
2021년03월_남_30~39세,"16,399","2,180",493,"1,419","1,590",745,"2,777",676,"1,263",932,897,"1,551",894,982
2021년03월_남_40~49세,"21,082","2,518",644,"2,454","1,475","1,018","2,805",861,"2,596","1,629","1,057","2,073","1,002",950
2021년03월_남_50~59세,"20,892","2,462",851,"1,758","1,468","1,153","3,109",826,"2,256","1,265","1,218","2,251","1,120","1,155"
2021년03월_남_60~69세,"19,221","2,319",958,"1,223","1,267","1,198","2,846",648,"1,562","1,160","1,308","2,093","1,262","1,377"
2021년03월_남_70~79세,"10,280","1,236",558,684,709,719,"1,445",408,673,692,749,"1,042",666,699
2021년03월_남_80~89세,"3,207",391,211,231,261,281,472,164,149,202,220,283,186,156
2021년03월_남_90~99세,245,37,20,15,21,25,38,8,8,6,14,26,13,14
2021년03월_남_100세 이상,10,1,0,0,1,3,1,1,0,0,2,0,1,0
2021년03월_여_총인구수,"138,290","16,863","5,148","12,715","10,238","7,771","19,911","5,629","14,432","8,815","7,527","14,150","7,426","7,665"
2021년03월_여_연령구간인구수,"138,290","16,863","5,148","12,715","10,238","7,771","19,911","5,629","14,432","8,815","7,527","14,150","7,426","7,665"
2021년03월_여_0~9세,"9,380","1,275",164,"1,266",519,446,"1,267",392,"1,261",646,361,911,477,395
2021년03월_여_10~19세,"11,882","1,287",294,"1,462",565,662,"1,373",543,"2,089",784,450,"1,337",556,480
2021년03월_여_20~29세,"15,436","1,830",505,"1,207","1,679",785,"2,731",602,"1,420",856,819,"1,441",749,812
2021년03월_여_30~39세,"16,229","2,145",382,"1,643","1,565",678,"2,595",702,"1,461","1,015",798,"1,508",875,862
2021년03월_여_40~49세,"22,014","2,539",583,"2,634","1,573","1,103","2,860",914,"3,053","1,579",982,"2,278",947,969
2021년03월_여_50~59세,"23,076","2,897",900,"1,861","1,537","1,301","3,496",852,"2,299","1,287","1,318","2,541","1,315","1,472"
2021년03월_여_60~69세,"22,113","2,681","1,085","1,416","1,403","1,377","3,179",846,"1,702","1,410","1,537","2,422","1,422","1,633"
2021년03월_여_70~79세,"12,049","1,464",762,804,909,878,"1,669",509,769,855,860,"1,139",724,707
2021년03월_여_80~89세,"5,231",646,383,358,423,448,651,230,318,326,344,494,320,290
2021년03월_여_90~99세,820,96,67,63,59,89,85,38,59,57,54,72,39,42
2021년03월_여_100세 이상,60,3,23,1,6,4,5,1,1,0,4,7,2,3
