카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년03월_계_총인구수,"212,909","16,408","3,426","1,594","4,153","4,245","3,541","4,611","6,559","15,417","5,008","3,380","26,189","7,871","10,389","13,014","4,819","10,103","16,623","18,056","28,569","8,934"
2021년03월_계_연령구간인구수,"212,909","16,408","3,426","1,594","4,153","4,245","3,541","4,611","6,559","15,417","5,008","3,380","26,189","7,871","10,389","13,014","4,819","10,103","16,623","18,056","28,569","8,934"
2021년03월_계_0~9세,"13,309",640,131,27,208,102,116,197,371,"1,344",161,98,"1,809",367,426,582,287,915,"1,412",942,"2,443",731
2021년03월_계_10~19세,"18,753",940,196,38,267,181,149,231,473,"1,565",296,152,"2,998",619,737,"1,154",403,"1,035","1,546","1,544","3,473",756
2021년03월_계_20~29세,"24,929","1,432",290,93,345,415,265,418,499,"1,711",589,333,"3,623",939,"1,260","1,667",561,"1,130","2,471","1,984","3,453","1,451"
2021년03월_계_30~39세,"21,424","1,183",199,79,327,289,214,403,571,"1,985",440,284,"2,600",766,880,"1,266",542,"1,331","2,150","1,632","3,234","1,049"
2021년03월_계_40~49세,"32,155","2,009",375,105,498,432,322,569,952,"2,656",649,407,"4,559","1,043","1,406","1,849",727,"1,650","2,714","2,553","5,192","1,488"
2021년03월_계_50~59세,"36,466","2,969",675,318,697,754,666,849,"1,132","2,479",792,581,"4,480","1,436","1,995","2,456",932,"1,655","2,518","3,120","4,582","1,380"
2021년03월_계_60~69세,"34,391","3,518",749,486,932,950,869,"1,028","1,341","1,976",998,686,"3,259","1,441","1,985","2,305",750,"1,433","2,157","3,007","3,401","1,120"
2021년03월_계_70~79세,"19,631","2,295",436,278,489,666,571,537,766,"1,083",674,564,"1,790",806,"1,131","1,135",371,587,"1,047","2,076","1,719",610
2021년03월_계_80~89세,"10,087","1,190",318,145,308,388,320,325,393,517,319,246,939,383,503,501,213,307,524,"1,041",920,287
2021년03월_계_90~99세,"1,677",213,51,25,77,65,48,53,57,94,81,28,127,66,63,98,33,57,82,151,146,62
2021년03월_계_100세 이상,87,19,6,0,5,3,1,1,4,7,9,1,5,5,3,1,0,3,2,6,6,0
2021년03월_남_총인구수,"105,564","8,015","1,741",853,"2,117","2,255","1,818","2,375","3,274","7,521","2,379","1,738","12,811","3,912","5,125","6,418","2,354","4,894","8,237","9,031","14,121","4,575"
2021년03월_남_연령구간인구수,"105,564","8,015","1,741",853,"2,117","2,255","1,818","2,375","3,274","7,521","2,379","1,738","12,811","3,912","5,125","6,418","2,354","4,894","8,237","9,031","14,121","4,575"
2021년03월_남_0~9세,"6,886",337,73,22,118,60,63,105,179,685,78,52,935,190,230,294,123,445,716,466,"1,320",395
2021년03월_남_10~19세,"9,823",509,101,15,143,96,87,129,242,792,142,87,"1,557",324,389,619,210,549,790,839,"1,828",375
2021년03월_남_20~29세,"13,651",829,180,52,202,273,164,255,276,884,300,189,"1,931",489,651,896,334,596,"1,328","1,149","1,855",818
2021년03월_남_30~39세,"11,268",642,112,57,159,188,133,218,305,"1,009",257,164,"1,323",433,492,697,293,655,"1,068",879,"1,635",549
2021년03월_남_40~49세,"16,368","1,083",218,67,282,286,185,314,511,"1,288",340,242,"2,124",528,757,949,338,801,"1,401","1,362","2,534",758
2021년03월_남_50~59세,"18,369","1,518",345,175,379,422,374,445,569,"1,234",411,317,"2,264",722,986,"1,196",443,772,"1,214","1,608","2,260",715
