카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년11월_계_총인구수,"9,520,880","145,073","122,673","223,442","286,599","340,339","337,316","387,667","431,313","299,792","317,943","511,275","473,468","305,443","369,238","448,061","574,789","397,058","230,839","377,048","386,051","486,427","413,363","533,557","658,841","463,265"
2021년11월_계_연령구간인구수,"9,520,880","145,073","122,673","223,442","286,599","340,339","337,316","387,667","431,313","299,792","317,943","511,275","473,468","305,443","369,238","448,061","574,789","397,058","230,839","377,048","386,051","486,427","413,363","533,557","658,841","463,265"
2021년11월_계_0~9세,"586,559","7,039","6,331","12,737","19,307","17,886","19,577","21,419","27,524","14,241","17,188","30,670","27,772","18,992","23,772","29,673","36,876","26,062","11,749","24,875","23,133","20,038","31,915","34,748","48,537","34,498"
2021년11월_계_10~19세,"758,445","10,465","6,508","14,737","18,960","24,899","22,831","25,540","36,126","20,886","24,395","50,547","37,284","22,593","27,810","49,595","43,598","29,264","13,989","23,688","26,999","27,225","44,569","59,332","57,694","38,911"
2021년11월_계_20~29세,"1,426,394","22,896","18,301","32,880","43,701","61,717","56,335","54,312","65,737","41,222","41,691","70,267","65,402","49,111","61,474","57,597","85,856","53,866","37,157","58,755","65,156","108,181","52,284","71,079","90,706","60,711"
2021년11월_계_30~39세,"1,440,774","19,473","19,935","37,791","46,926","54,722","48,953","56,942","58,591","37,237","39,291","63,104","67,046","44,269","63,605","55,897","97,858","61,026","36,463","69,331","60,911","85,627","59,772","77,808","106,869","71,327"
2021년11월_계_40~49세,"1,483,164","21,065","17,460","33,840","43,412","50,498","48,970","55,755","67,666","44,083","46,305","81,827","74,142","45,389","59,917","76,612","89,281","61,303","31,756","55,554","57,270","65,817","75,310","97,801","107,206","74,925"
2021년11월_계_50~59세,"1,507,704","24,982","20,067","36,206","46,281","53,833","52,235","67,614","69,261","51,687","56,044","87,015","77,137","48,671","54,978","76,239","84,467","62,345","39,326","56,242","58,069","67,015","62,606","81,885","101,643","71,856"
2021년11월_계_60~69세,"1,285,127","20,362","18,047","29,160","37,744","44,120","47,462","60,625","56,754","47,182","51,330","70,613","66,949","39,705","41,076","60,257","79,383","57,484","34,577","48,250","50,500","60,027","48,117","61,506","87,451","66,446"
2021년11월_계_70~79세,"695,892","11,659","10,236","16,040","20,106","21,959","27,352","31,161","32,536","29,342","27,496","37,252","38,603","23,314","23,463","29,116","39,339","31,907","17,968","26,871","29,575","36,685","26,781","34,506","41,198","31,427"
2021년11월_계_80~89세,"293,290","6,146","4,936","8,562","8,963","9,406","12,078","12,611","15,014","12,412","12,406","17,323","16,956","11,747","11,452","11,286","15,517","12,214","6,925","11,888","12,556","14,067","10,174","12,540","14,894","11,217"
2021년11월_계_90~99세,"41,521",944,804,"1,413","1,146","1,238","1,449","1,608","2,029","1,452","1,684","2,565","2,090","1,554","1,610","1,715","2,522","1,537",885,"1,529","1,754","1,651","1,738","2,230","2,543","1,831"
2021년11월_계_100세 이상,"2,010",42,48,76,53,61,74,80,75,48,113,92,87,98,81,74,92,50,44,65,128,94,97,122,100,116
2021년11월_남_총인구수,"4,624,290","70,393","59,743","107,486","139,709","164,212","166,591","191,305","207,979","146,000","154,794","246,182","226,555","145,990","173,725","219,606","276,624","195,741","116,574","186,047","186,710","244,367","197,606","255,319","317,596","227,436"
2021년11월_남_연령구간인구수,"4,624,290","70,393","59,743","107,486","139,709","164,212","166,591","191,305","207,979","146,000","154,794","246,182","226,555","145,990","173,725","219,606","276,624","195,741","116,574","186,047","186,710","244,367","197,606","255,319","317,596","227,436"
2021년11월_남_0~9세,"301,243","3,571","3,278","6,560","9,864","9,204","10,026","11,029","14,067","7,359","8,956","15,811","14,270","9,683","12,175","15,241","18,730","13,319","6,056","12,723","11,839","10,272","16,397","17,907","24,982","17,924"
2021년11월_남_10~19세,"388,791","5,195","3,220","7,460","9,462","12,614","11,576","12,968","18,365","10,709","12,538","26,230","19,072","11,270","14,013","25,891","22,320","15,010","7,073","12,344","13,834","13,922","22,682","30,958","29,520","20,545"
2021년11월_남_20~29세,"686,810","11,038","8,492","15,498","21,509","28,888","27,507","26,755","31,488","20,248","21,135","35,866","31,231","23,338","27,539","29,269","39,361","26,367","18,337","27,203","31,441","52,545","25,093","33,878","43,098","29,686"
2021년11월_남_30~39세,"719,415","9,695","9,942","18,714","23,087","27,139","25,164","29,256","29,282","19,437","20,073","31,427","32,924","21,883","30,019","27,555","49,338","31,095","20,178","35,325","30,769","47,501","27,460","35,819","51,019","35,314"
2021년11월_남_40~49세,"734,754","10,192","8,928","16,680","21,764","24,872","25,241","28,877","33,362","22,677","23,023","38,938","36,674","22,414","29,063","36,599","44,893","31,439","16,753","28,655","28,740","35,203","35,262","45,142","51,872","37,491"
2021년11월_남_50~59세,"742,848","12,572","10,167","17,877","22,929","26,381","26,492","33,456","34,136","25,478","26,802","42,092","37,163","23,710","26,986","37,948","40,641","30,888","19,750","28,714","28,012","33,941","31,025","41,074","49,313","35,301"
2021년11월_남_60~69세,"607,002","10,158","9,024","14,053","18,441","20,977","23,042","29,420","26,693","22,061","24,297","32,856","30,900","18,745","19,172","28,822","36,631","27,146","16,987","23,436","23,340","27,954","22,198","28,268","41,100","31,281"
2021년11월_남_70~79세,"316,719","5,191","4,638","7,014","8,944","10,046","12,367","14,192","14,172","12,654","12,611","16,229","16,873","9,989","9,868","13,701","18,449","15,119","8,426","12,365","13,121","16,714","12,514","16,282","20,105","15,135"
2021년11월_남_80~89세,"115,686","2,486","1,818","3,183","3,399","3,745","4,769","4,980","5,896","4,974","4,868","6,101","6,858","4,524","4,426","4,157","5,664","4,965","2,778","4,852","5,118","5,893","4,483","5,433","5,959","4,357"
2021년11월_남_90~99세,"10,523",282,220,425,292,330,387,352,501,391,456,621,570,410,441,407,572,381,223,413,464,402,467,534,610,372
2021년11월_남_100세 이상,499,13,16,22,18,16,20,20,17,12,35,11,20,24,23,16,25,12,13,17,32,20,25,24,18,30
2021년11월_여_총인구수,"4,896,590","74,680","62,930","115,956","146,890","176,127","170,725","196,362","223,334","153,792","163,149","265,093","246,913","159,453","195,513","228,455","298,165","201,317","114,265","191,001","199,341","242,060","215,757","278,238","341,245","235,829"
2021년11월_여_연령구간인구수,"4,896,590","74,680","62,930","115,956","146,890","176,127","170,725","196,362","223,334","153,792","163,149","265,093","246,913","159,453","195,513","228,455","298,165","201,317","114,265","191,001","199,341","242,060","215,757","278,238","341,245","235,829"
