카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년07월_계_총인구수,"319,893","24,968","29,295","14,007","26,837","24,785","21,224","27,071","21,560","18,841","16,520","18,825","28,723","19,797","27,440"
2021년07월_계_연령구간인구수,"319,893","24,968","29,295","14,007","26,837","24,785","21,224","27,071","21,560","18,841","16,520","18,825","28,723","19,797","27,440"
2021년07월_계_0~9세,"17,715","1,501","1,696",721,"1,701","1,503",824,"1,534","1,130",975,750,"1,153","1,478",877,"1,872"
2021년07월_계_10~19세,"24,717","2,078","2,192","1,057","2,546","1,900","1,148","1,627","1,597","1,334","1,026","1,941","2,150","1,439","2,682"
2021년07월_계_20~29세,"42,444","3,285","4,131","1,750","3,658","3,638","2,582","3,245","2,936","2,497","2,480","2,500","3,860","2,602","3,280"
2021년07월_계_30~39세,"39,652","3,342","4,006","1,663","3,329","3,484","2,274","3,487","2,542","2,501","2,243","2,267","3,263","2,149","3,102"
2021년07월_계_40~49세,"46,952","3,960","4,469","2,081","4,306","3,497","2,867","3,662","3,165","2,692","2,357","2,852","4,142","2,772","4,130"
2021년07월_계_50~59세,"56,084","4,199","5,095","2,546","4,856","4,284","3,731","4,418","3,687","3,250","2,839","3,375","5,312","3,741","4,751"
2021년07월_계_60~69세,"50,944","3,547","4,284","2,228","3,648","3,768","3,961","4,918","3,435","3,083","2,512","2,886","4,740","3,389","4,545"
2021년07월_계_70~79세,"27,481","1,971","2,312","1,369","1,706","1,769","2,679","2,805","2,040","1,619","1,599","1,159","2,636","1,917","1,900"
2021년07월_계_80~89세,"12,112",959,999,538,924,815,"1,041","1,157",900,760,630,588,988,807,"1,006"
2021년07월_계_90~99세,"1,670",118,107,47,153,125,115,193,113,110,78,101,149,96,165
2021년07월_계_100세 이상,122,8,4,7,10,2,2,25,15,20,6,3,5,8,7
2021년07월_남_총인구수,"155,869","11,851","14,264","7,019","12,896","11,870","10,739","13,218","10,413","9,052","8,018","8,899","14,287","9,990","13,353"
2021년07월_남_연령구간인구수,"155,869","11,851","14,264","7,019","12,896","11,870","10,739","13,218","10,413","9,052","8,018","8,899","14,287","9,990","13,353"
2021년07월_남_0~9세,"9,184",758,883,381,889,782,403,790,592,508,381,612,729,456,"1,020"
2021년07월_남_10~19세,"12,712","1,058","1,126",559,"1,284",964,619,837,763,702,539,975,"1,096",739,"1,451"
2021년07월_남_20~29세,"21,587","1,622","2,060",914,"1,852","1,786","1,385","1,632","1,417","1,269","1,206","1,256","1,994","1,425","1,769"
2021년07월_남_30~39세,"20,276","1,655","2,020",881,"1,617","1,759","1,260","1,768","1,303","1,286","1,178","1,111","1,687","1,189","1,562"
2021년07월_남_40~49세,"23,326","1,923","2,270","1,078","2,042","1,671","1,575","1,861","1,603","1,375","1,216","1,284","2,057","1,436","1,935"
2021년07월_남_50~59세,"26,768","1,950","2,423","1,287","2,290","1,967","1,842","2,153","1,791","1,464","1,320","1,539","2,674","1,850","2,218"
2021년07월_남_60~69세,"24,171","1,637","1,984","1,065","1,752","1,770","1,927","2,326","1,606","1,425","1,183","1,362","2,315","1,670","2,149"
2021년07월_남_70~79세,"12,646",846,"1,043",620,781,819,"1,261","1,350",939,702,700,541,"1,292",879,873
2021년07월_남_80~89세,"4,704",367,426,224,335,313,425,451,366,283,272,189,406,314,333
2021년07월_남_90~99세,460,32,29,8,49,39,41,46,28,30,22,30,36,29,41
2021년07월_남_100세 이상,35,3,0,2,5,0,1,4,5,8,1,0,1,3,2
2021년07월_여_총인구수,"164,024","13,117","15,031","6,988","13,941","12,915","10,485","13,853","11,147","9,789","8,502","9,926","14,436","9,807","14,087"
2021년07월_여_연령구간인구수,"164,024","13,117","15,031","6,988","13,941","12,915","10,485","13,853","11,147","9,789","8,502","9,926","14,436","9,807","14,087"
2021년07월_여_0~9세,"8,531",743,813,340,812,721,421,744,538,467,369,541,749,421,852
2021년07월_여_10~19세,"12,005","1,020","1,066",498,"1,262",936,529,790,834,632,487,966,"1,054",700,"1,231"
2021년07월_여_20~29세,"20,857","1,663","2,071",836,"1,806","1,852","1,197","1,613","1,519","1,228","1,274","1,244","1,866","1,177","1,511"
2021년07월_여_30~39세,"19,376","1,687","1,986",782,"1,712","1,725","1,014","1,719","1,239","1,215","1,065","1,156","1,576",960,"1,540"
2021년07월_여_40~49세,"23,626","2,037","2,199","1,003","2,264","1,826","1,292","1,801","1,562","1,317","1,141","1,568","2,085","1,336","2,195"
2021년07월_여_50~59세,"29,316","2,249","2,672","1,259","2,566","2,317","1,889","2,265","1,896","1,786","1,519","1,836","2,638","1,891","2,533"
2021년07월_여_60~69세,"26,773","1,910","2,300","1,163","1,896","1,998","2,034","2,592","1,829","1,658","1,329","1,524","2,425","1,719","2,396"
2021년07월_여_70~79세,"14,835","1,125","1,269",749,925,950,"1,418","1,455","1,101",917,899,618,"1,344","1,038","1,027"
2021년07월_여_80~89세,"7,408",592,573,314,589,502,616,706,534,477,358,399,582,493,673
2021년07월_여_90~99세,"1,210",86,78,39,104,86,74,147,85,80,56,71,113,67,124
2021년07월_여_100세 이상,87,5,4,5,5,2,1,21,10,12,5,3,4,5,5
