카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년06월_계_총인구수,"96,273","6,483","1,398","3,837","2,964",989,"2,610","3,950","1,651","1,911","2,562","1,748",756,"1,955","2,770","1,219",333,"2,690","1,134",378,"2,123","2,022",817,"12,056","9,003","8,135","8,211","3,567","9,001"
2021년06월_계_연령구간인구수,"96,273","6,483","1,398","3,837","2,964",989,"2,610","3,950","1,651","1,911","2,562","1,748",756,"1,955","2,770","1,219",333,"2,690","1,134",378,"2,123","2,022",817,"12,056","9,003","8,135","8,211","3,567","9,001"
2021년06월_계_0~9세,"5,037",275,41,109,83,29,83,96,55,49,94,58,25,52,144,25,4,88,20,8,35,57,30,871,709,586,558,158,695
2021년06월_계_10~19세,"7,475",528,59,158,146,31,94,225,66,74,150,67,38,104,147,61,11,146,45,20,92,86,32,"1,317",824,830,749,334,"1,041"
2021년06월_계_20~29세,"7,870",385,65,191,166,53,137,183,76,94,152,97,31,94,135,65,13,116,37,10,94,89,47,"1,260",976,756,857,300,"1,391"
2021년06월_계_30~39세,"7,183",425,70,205,114,35,146,198,76,92,130,89,43,103,174,61,9,135,33,8,94,69,34,"1,213","1,000",822,727,249,829
2021년06월_계_40~49세,"11,183",707,104,327,228,73,191,293,134,128,248,149,58,159,253,114,24,277,79,21,167,186,65,"1,744","1,347","1,180","1,125",477,"1,325"
2021년06월_계_50~59세,"16,330","1,055",230,613,481,197,417,622,279,360,489,321,142,378,511,256,69,468,160,72,293,295,162,"2,050","1,524","1,391","1,501",604,"1,390"
2021년06월_계_60~69세,"18,900","1,368",318,901,669,239,645,990,389,522,660,454,201,470,638,285,102,615,312,78,539,439,190,"1,894","1,477","1,253","1,326",665,"1,261"
2021년06월_계_70~79세,"12,378",939,290,652,552,144,463,739,295,322,378,275,112,337,410,186,52,447,248,69,410,408,137,"1,098",711,760,838,472,634
2021년06월_계_80~89세,"8,549",693,195,585,438,169,374,521,237,245,227,205,95,210,319,144,44,345,171,81,335,326,96,528,378,495,459,267,367
2021년06월_계_90~99세,"1,329",102,26,92,83,19,58,81,44,25,31,33,11,48,39,21,5,51,27,11,63,65,24,79,56,59,68,41,67
2021년06월_계_100세 이상,39,6,0,4,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,1,3,3,0,1
2021년06월_남_총인구수,"47,235","3,121",684,"1,872","1,449",489,"1,276","1,946",822,974,"1,294",886,365,982,"1,346",613,173,"1,271",525,200,"1,006",980,396,"5,912","4,509","3,874","3,992","1,735","4,543"
2021년06월_남_연령구간인구수,"47,235","3,121",684,"1,872","1,449",489,"1,276","1,946",822,974,"1,294",886,365,982,"1,346",613,173,"1,271",525,200,"1,006",980,396,"5,912","4,509","3,874","3,992","1,735","4,543"
2021년06월_남_0~9세,"2,610",153,27,55,43,15,46,48,27,20,52,27,15,27,77,16,1,37,8,1,13,37,15,444,355,290,299,94,368
2021년06월_남_10~19세,"3,938",245,27,100,73,13,62,133,41,44,78,34,20,55,68,28,6,75,26,14,44,38,16,753,444,411,363,180,547
2021년06월_남_20~29세,"4,560",220,39,119,99,34,93,115,45,55,98,70,17,50,76,30,9,67,17,7,63,55,18,708,547,427,482,178,822
2021년06월_남_30~39세,"3,852",244,41,118,76,21,84,113,37,57,66,56,20,58,92,41,5,75,18,6,62,40,12,640,513,440,374,131,412
2021년06월_남_40~49세,"5,944",373,75,214,139,45,123,192,92,70,148,89,37,100,139,63,15,157,48,12,107,108,40,840,677,600,530,258,653
2021년06월_남_50~59세,"8,666",569,140,354,267,119,226,337,167,197,257,184,69,211,266,146,42,257,92,49,157,175,95,"1,005",798,680,808,311,688
2021년06월_남_60~69세,"9,318",687,157,475,358,120,322,484,202,293,336,239,111,248,326,142,58,299,157,42,274,222,102,866,723,565,607,284,619
2021년06월_남_70~79세,"5,383",390,119,268,241,67,189,333,126,149,163,113,48,153,175,84,23,196,99,34,180,177,65,483,317,314,371,203,303
2021년06월_남_80~89세,"2,711",218,56,156,137,50,120,175,77,85,90,64,28,73,115,58,14,100,57,32,96,107,29,161,127,138,141,93,114
2021년06월_남_90~99세,250,21,3,13,16,5,11,16,8,4,6,10,0,7,12,5,0,8,3,3,10,21,4,12,8,9,16,3,16
2021년06월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년06월_여_총인구수,"49,038","3,362",714,"1,965","1,515",500,"1,334","2,004",829,937,"1,268",862,391,973,"1,424",606,160,"1,419",609,178,"1,117","1,042",421,"6,144","4,494","4,261","4,219","1,832","4,458"
2021년06월_여_연령구간인구수,"49,038","3,362",714,"1,965","1,515",500,"1,334","2,004",829,937,"1,268",862,391,973,"1,424",606,160,"1,419",609,178,"1,117","1,042",421,"6,144","4,494","4,261","4,219","1,832","4,458"
2021년06월_여_0~9세,"2,427",122,14,54,40,14,37,48,28,29,42,31,10,25,67,9,3,51,12,7,22,20,15,427,354,296,259,64,327
2021년06월_여_10~19세,"3,537",283,32,58,73,18,32,92,25,30,72,33,18,49,79,33,5,71,19,6,48,48,16,564,380,419,386,154,494
2021년06월_여_20~29세,"3,310",165,26,72,67,19,44,68,31,39,54,27,14,44,59,35,4,49,20,3,31,34,29,552,429,329,375,122,569
2021년06월_여_30~39세,"3,331",181,29,87,38,14,62,85,39,35,64,33,23,45,82,20,4,60,15,2,32,29,22,573,487,382,353,118,417
2021년06월_여_40~49세,"5,239",334,29,113,89,28,68,101,42,58,100,60,21,59,114,51,9,120,31,9,60,78,25,904,670,580,595,219,672
2021년06월_여_50~59세,"7,664",486,90,259,214,78,191,285,112,163,232,137,73,167,245,110,27,211,68,23,136,120,67,"1,045",726,711,693,293,702
2021년06월_여_60~69세,"9,582",681,161,426,311,119,323,506,187,229,324,215,90,222,312,143,44,316,155,36,265,217,88,"1,028",754,688,719,381,642
2021년06월_여_70~79세,"6,995",549,171,384,311,77,274,406,169,173,215,162,64,184,235,102,29,251,149,35,230,231,72,615,394,446,467,269,331
2021년06월_여_80~89세,"5,838",475,139,429,301,119,254,346,160,160,137,141,67,137,204,86,30,245,114,49,239,219,67,367,251,357,318,174,253
2021년06월_여_90~99세,"1,079",81,23,79,67,14,47,65,36,21,25,23,11,41,27,16,5,43,24,8,53,44,20,67,48,50,52,38,51
2021년06월_여_100세 이상,36,5,0,4,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,1,3,2,0,0
