카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년06월_계_총인구수,"27,009","7,366","1,277","1,612","1,427","1,663","3,647","1,319","1,524","3,292","1,521","1,164","1,197"
2021년06월_계_연령구간인구수,"27,009","7,366","1,277","1,612","1,427","1,663","3,647","1,319","1,524","3,292","1,521","1,164","1,197"
2021년06월_계_0~9세,"1,318",656,31,56,51,50,107,37,42,157,39,35,57
2021년06월_계_10~19세,"1,639",731,55,58,67,72,217,51,59,163,72,45,49
2021년06월_계_20~29세,"2,008",717,73,102,89,99,263,85,73,249,128,68,62
2021년06월_계_30~39세,"1,836",764,54,87,86,86,226,63,60,216,64,64,66
2021년06월_계_40~49세,"2,711","1,049",112,138,113,134,338,110,114,293,143,76,91
2021년06월_계_50~59세,"4,590","1,067",203,329,236,281,600,238,244,631,312,235,214
2021년06월_계_60~69세,"5,162","1,030",250,404,304,348,774,287,321,667,298,245,234
2021년06월_계_70~79세,"4,234",770,262,245,265,317,601,240,306,526,259,228,215
2021년06월_계_80~89세,"3,050",507,203,164,192,242,450,181,254,350,177,151,179
2021년06월_계_90~99세,445,74,33,29,22,33,71,26,51,37,27,12,30
2021년06월_계_100세 이상,16,1,1,0,2,1,0,1,0,3,2,5,0
2021년06월_남_총인구수,"13,828","3,788",639,838,726,865,"1,834",690,766,"1,690",801,583,608
2021년06월_남_연령구간인구수,"13,828","3,788",639,838,726,865,"1,834",690,766,"1,690",801,583,608
2021년06월_남_0~9세,701,358,13,26,20,26,66,20,20,88,20,11,33
2021년06월_남_10~19세,870,384,27,37,43,41,126,21,29,77,41,19,25
2021년06월_남_20~29세,"1,185",414,47,56,57,65,151,55,44,140,80,36,40
2021년06월_남_30~39세,"1,009",401,31,44,51,54,131,33,34,120,41,37,32
2021년06월_남_40~49세,"1,646",589,77,84,71,87,190,71,75,183,107,48,64
2021년06월_남_50~59세,"2,604",591,116,185,132,154,338,149,145,365,175,141,113
2021년06월_남_60~69세,"2,820",533,143,225,164,200,406,174,172,351,168,142,142
2021년06월_남_70~79세,"1,855",343,112,116,118,138,254,95,144,245,110,90,90
2021년06월_남_80~89세,"1,026",162,64,55,63,93,151,65,93,108,54,58,60
2021년06월_남_90~99세,108,13,8,10,7,6,21,6,10,13,5,0,9
2021년06월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년06월_여_총인구수,"13,181","3,578",638,774,701,798,"1,813",629,758,"1,602",720,581,589
2021년06월_여_연령구간인구수,"13,181","3,578",638,774,701,798,"1,813",629,758,"1,602",720,581,589
2021년06월_여_0~9세,617,298,18,30,31,24,41,17,22,69,19,24,24
2021년06월_여_10~19세,769,347,28,21,24,31,91,30,30,86,31,26,24
2021년06월_여_20~29세,823,303,26,46,32,34,112,30,29,109,48,32,22
2021년06월_여_30~39세,827,363,23,43,35,32,95,30,26,96,23,27,34
2021년06월_여_40~49세,"1,065",460,35,54,42,47,148,39,39,110,36,28,27
2021년06월_여_50~59세,"1,986",476,87,144,104,127,262,89,99,266,137,94,101
2021년06월_여_60~69세,"2,342",497,107,179,140,148,368,113,149,316,130,103,92
2021년06월_여_70~79세,"2,379",427,150,129,147,179,347,145,162,281,149,138,125
2021년06월_여_80~89세,"2,024",345,139,109,129,149,299,116,161,242,123,93,119
2021년06월_여_90~99세,337,61,25,19,15,27,50,20,41,24,22,12,21
2021년06월_여_100세 이상,12,1,0,0,2,0,0,0,0,3,2,4,0
