카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년01월_계_총인구수,"48,523","21,616","3,386","4,404","2,314","1,971","2,421","3,322",981,"2,863","1,875","3,370"
2020년01월_계_연령구간인구수,"48,523","21,616","3,386","4,404","2,314","1,971","2,421","3,322",981,"2,863","1,875","3,370"
2020년01월_계_0~9세,"2,555","1,657",115,190,46,56,77,123,32,101,47,111
2020년01월_계_10~19세,"3,667","2,323",165,266,126,99,111,196,54,99,83,145
2020년01월_계_20~29세,"4,726","2,853",235,342,166,127,119,340,51,166,106,221
2020년01월_계_30~39세,"3,593","2,132",197,286,113,95,116,197,42,137,78,200
2020년01월_계_40~49세,"5,658","3,150",351,455,213,160,212,301,77,217,200,322
2020년01월_계_50~59세,"8,722","3,597",686,840,461,372,425,661,186,551,329,614
2020년01월_계_60~69세,"8,725","2,869",734,918,504,454,570,649,209,653,398,767
2020년01월_계_70~79세,"6,469","1,947",504,688,390,315,459,495,195,515,365,596
2020년01월_계_80~89세,"3,824",943,342,370,251,267,278,327,117,362,221,346
2020년01월_계_90~99세,553,132,53,43,43,26,53,32,17,59,48,47
2020년01월_계_100세 이상,31,13,4,6,1,0,1,1,1,3,0,1
2020년01월_남_총인구수,"24,060","10,683","1,715","2,206","1,129",959,"1,173","1,677",478,"1,439",931,"1,670"
2020년01월_남_연령구간인구수,"24,060","10,683","1,715","2,206","1,129",959,"1,173","1,677",478,"1,439",931,"1,670"
2020년01월_남_0~9세,"1,329",852,63,108,22,31,36,52,17,62,29,57
2020년01월_남_10~19세,"1,887","1,169",87,133,65,56,69,110,32,49,42,75
2020년01월_남_20~29세,"2,616","1,525",134,203,95,68,65,214,21,103,63,125
2020년01월_남_30~39세,"1,891","1,080",116,146,62,59,62,114,27,77,46,102
2020년01월_남_40~49세,"3,115","1,621",194,267,130,99,130,167,47,144,119,197
2020년01월_남_50~59세,"4,558","1,845",370,441,235,197,228,357,100,297,174,314
2020년01월_남_60~69세,"4,397","1,410",391,481,253,228,281,326,111,321,202,393
2020년01월_남_70~79세,"2,821",828,236,290,167,121,202,215,82,241,165,274
2020년01월_남_80~89세,"1,309",323,110,129,90,95,90,116,36,130,75,115
2020년01월_남_90~99세,128,25,13,7,9,5,10,6,5,14,16,18
2020년01월_남_100세 이상,9,5,1,1,1,0,0,0,0,1,0,0
2020년01월_여_총인구수,"24,463","10,933","1,671","2,198","1,185","1,012","1,248","1,645",503,"1,424",944,"1,700"
2020년01월_여_연령구간인구수,"24,463","10,933","1,671","2,198","1,185","1,012","1,248","1,645",503,"1,424",944,"1,700"
2020년01월_여_0~9세,"1,226",805,52,82,24,25,41,71,15,39,18,54
2020년01월_여_10~19세,"1,780","1,154",78,133,61,43,42,86,22,50,41,70
2020년01월_여_20~29세,"2,110","1,328",101,139,71,59,54,126,30,63,43,96
2020년01월_여_30~39세,"1,702","1,052",81,140,51,36,54,83,15,60,32,98
2020년01월_여_40~49세,"2,543","1,529",157,188,83,61,82,134,30,73,81,125
2020년01월_여_50~59세,"4,164","1,752",316,399,226,175,197,304,86,254,155,300
2020년01월_여_60~69세,"4,328","1,459",343,437,251,226,289,323,98,332,196,374
2020년01월_여_70~79세,"3,648","1,119",268,398,223,194,257,280,113,274,200,322
2020년01월_여_80~89세,"2,515",620,232,241,161,172,188,211,81,232,146,231
2020년01월_여_90~99세,425,107,40,36,34,21,43,26,12,45,32,29
2020년01월_여_100세 이상,22,8,3,5,0,0,1,1,1,2,0,1
