,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년08월_계_총인구수,"64,497","18,743","19,640","2,408","6,206","2,902","3,499","5,451","1,969","2,764",915
2020년08월_계_연령구간인구수,"64,497","18,743","19,640","2,408","6,206","2,902","3,499","5,451","1,969","2,764",915
2020년08월_계_0~9세,"4,269","1,344","2,013",59,309,65,64,310,23,66,16
2020년08월_계_10~19세,"6,011","2,001","2,650",115,298,91,136,469,70,153,28
2020년08월_계_20~29세,"5,507","2,046","1,586",162,469,180,242,436,116,219,51
2020년08월_계_30~39세,"5,841","1,944","2,140",154,554,146,149,437,94,173,50
2020년08월_계_40~49세,"9,471","2,918","3,848",219,591,283,305,820,165,258,64
2020년08월_계_50~59세,"11,352","3,389","3,121",419,"1,073",568,612,"1,053",367,568,182
2020년08월_계_60~69세,"10,788","2,673","2,418",550,"1,254",712,809,916,499,691,266
2020년08월_계_70~79세,"6,707","1,468","1,221",414,906,490,684,637,372,363,152
2020년08월_계_80~89세,"4,008",838,552,282,664,327,435,331,243,244,92
2020년08월_계_90~99세,532,117,87,34,86,40,63,42,20,29,14
2020년08월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년08월_남_총인구수,"32,707","9,437","9,958","1,197","3,203","1,472","1,738","2,805","1,017","1,410",470
2020년08월_남_연령구간인구수,"32,707","9,437","9,958","1,197","3,203","1,472","1,738","2,805","1,017","1,410",470
2020년08월_남_0~9세,"2,143",692,992,27,150,31,37,163,9,32,10
2020년08월_남_10~19세,"3,200","1,095","1,395",63,164,50,70,220,39,87,17
2020년08월_남_20~29세,"3,211","1,188",881,94,293,110,147,252,75,140,31
2020년08월_남_30~39세,"2,974",978,"1,000",86,321,89,87,230,57,94,32
2020년08월_남_40~49세,"5,141","1,500","1,978",128,382,187,194,463,111,155,43
2020년08월_남_50~59세,"6,225","1,778","1,707",227,623,330,357,601,220,286,96
2020년08월_남_60~69세,"5,578","1,323","1,236",299,666,373,408,492,260,378,143
2020년08월_남_70~79세,"2,917",604,582,181,380,196,289,282,161,172,70
2020년08월_남_80~89세,"1,204",249,164,88,200,97,136,98,82,63,27
2020년08월_남_90~99세,111,30,22,4,22,9,13,4,3,3,1
2020년08월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년08월_여_총인구수,"31,790","9,306","9,682","1,211","3,003","1,430","1,761","2,646",952,"1,354",445
2020년08월_여_연령구간인구수,"31,790","9,306","9,682","1,211","3,003","1,430","1,761","2,646",952,"1,354",445
2020년08월_여_0~9세,"2,126",652,"1,021",32,159,34,27,147,14,34,6
2020년08월_여_10~19세,"2,811",906,"1,255",52,134,41,66,249,31,66,11
2020년08월_여_20~29세,"2,296",858,705,68,176,70,95,184,41,79,20
2020년08월_여_30~39세,"2,867",966,"1,140",68,233,57,62,207,37,79,18
2020년08월_여_40~49세,"4,330","1,418","1,870",91,209,96,111,357,54,103,21
2020년08월_여_50~59세,"5,127","1,611","1,414",192,450,238,255,452,147,282,86
2020년08월_여_60~69세,"5,210","1,350","1,182",251,588,339,401,424,239,313,123
2020년08월_여_70~79세,"3,790",864,639,233,526,294,395,355,211,191,82
2020년08월_여_80~89세,"2,804",589,388,194,464,230,299,233,161,181,65
2020년08월_여_90~99세,421,87,65,30,64,31,50,38,17,26,13
2020년08월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
