카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년01월_계_총인구수,"41,549","2,518","2,888","6,505","10,728","4,677","1,062","1,026","4,783","7,362"
2021년01월_계_연령구간인구수,"41,549","2,518","2,888","6,505","10,728","4,677","1,062","1,026","4,783","7,362"
2021년01월_계_0~9세,"1,302",37,76,203,392,105,19,16,179,275
2021년01월_계_10~19세,"2,029",72,104,385,558,203,34,28,212,433
2021년01월_계_20~29세,"5,685",636,317,947,"1,499",540,116,65,794,771
2021년01월_계_30~39세,"4,484",441,237,674,"1,135",475,108,87,671,656
2021년01월_계_40~49세,"5,387",292,349,914,"1,449",548,117,110,655,953
2021년01월_계_50~59세,"7,051",353,536,"1,085","1,820",809,197,206,719,"1,326"
2021년01월_계_60~69세,"7,914",379,582,"1,146","1,993","1,015",252,298,774,"1,475"
2021년01월_계_70~79세,"5,115",198,448,780,"1,258",632,133,156,503,"1,007"
2021년01월_계_80~89세,"2,117",85,188,288,537,276,65,46,231,401
2021년01월_계_90~99세,378,22,46,74,74,49,16,12,35,50
2021년01월_계_100세 이상,87,3,5,9,13,25,5,2,10,15
2021년01월_남_총인구수,"20,269","1,231","1,464","3,053","5,205","2,212",535,572,"2,436","3,561"
2021년01월_남_연령구간인구수,"20,269","1,231","1,464","3,053","5,205","2,212",535,572,"2,436","3,561"
2021년01월_남_0~9세,686,21,35,109,197,65,11,9,99,140
2021년01월_남_10~19세,"1,021",38,47,180,286,108,17,13,110,222
2021년01월_남_20~29세,"2,806",261,172,461,745,256,64,36,400,411
2021년01월_남_30~39세,"2,416",227,132,352,588,258,57,49,388,365
2021년01월_남_40~49세,"2,951",156,206,479,795,297,60,71,386,501
2021년01월_남_50~59세,"3,535",190,279,507,904,395,103,134,374,649
2021년01월_남_60~69세,"3,717",194,286,529,924,443,133,166,367,675
2021년01월_남_70~79세,"2,231",105,214,318,528,278,58,77,224,429
2021년01월_남_80~89세,779,33,79,100,212,93,24,10,76,152
2021년01월_남_90~99세,107,6,13,13,23,13,6,7,10,16
2021년01월_남_100세 이상,20,0,1,5,3,6,2,0,2,1
2021년01월_여_총인구수,"21,280","1,287","1,424","3,452","5,523","2,465",527,454,"2,347","3,801"
2021년01월_여_연령구간인구수,"21,280","1,287","1,424","3,452","5,523","2,465",527,454,"2,347","3,801"
2021년01월_여_0~9세,616,16,41,94,195,40,8,7,80,135
2021년01월_여_10~19세,"1,008",34,57,205,272,95,17,15,102,211
2021년01월_여_20~29세,"2,879",375,145,486,754,284,52,29,394,360
2021년01월_여_30~39세,"2,068",214,105,322,547,217,51,38,283,291
2021년01월_여_40~49세,"2,436",136,143,435,654,251,57,39,269,452
2021년01월_여_50~59세,"3,516",163,257,578,916,414,94,72,345,677
2021년01월_여_60~69세,"4,197",185,296,617,"1,069",572,119,132,407,800
2021년01월_여_70~79세,"2,884",93,234,462,730,354,75,79,279,578
2021년01월_여_80~89세,"1,338",52,109,188,325,183,41,36,155,249
2021년01월_여_90~99세,271,16,33,61,51,36,10,5,25,34
2021년01월_여_100세 이상,67,3,4,4,10,19,3,2,8,14
