,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년06월_계_총인구수,"1,456,107","223,245","232,841","474,934","349,927","175,160"
2021년06월_계_연령구간인구수,"1,456,107","223,245","232,841","474,934","349,927","175,160"
2021년06월_계_0~9세,"110,671","14,731","14,503","36,743","33,869","10,825"
2021년06월_계_10~19세,"143,914","19,811","21,449","48,761","37,724","16,169"
2021년06월_계_20~29세,"210,976","30,225","30,529","73,505","52,404","24,313"
2021년06월_계_30~39세,"191,188","25,622","25,481","65,140","55,147","19,798"
2021년06월_계_40~49세,"233,637","33,962","35,988","77,054","60,045","26,588"
2021년06월_계_50~59세,"239,229","36,226","38,943","76,766","54,043","33,251"
2021년06월_계_60~69세,"186,847","33,790","34,547","57,331","35,385","25,794"
2021년06월_계_70~79세,"91,567","19,035","20,561","26,193","13,611","12,167"
2021년06월_계_80~89세,"41,935","8,677","9,490","11,680","6,575","5,513"
2021년06월_계_90~99세,"5,941","1,128","1,301","1,703","1,096",713
2021년06월_계_100세 이상,202,38,49,58,28,29
2021년06월_남_총인구수,"726,666","112,571","114,783","233,513","176,644","89,155"
2021년06월_남_연령구간인구수,"726,666","112,571","114,783","233,513","176,644","89,155"
2021년06월_남_0~9세,"56,962","7,641","7,431","18,982","17,441","5,467"
2021년06월_남_10~19세,"74,318","10,238","11,057","25,119","19,459","8,445"
2021년06월_남_20~29세,"110,659","16,022","15,570","37,471","28,113","13,483"
2021년06월_남_30~39세,"100,001","13,875","13,129","33,303","28,836","10,858"
2021년06월_남_40~49세,"116,445","17,793","18,238","37,283","29,511","13,620"
2021년06월_남_50~59세,"119,425","18,679","19,702","37,219","26,938","16,887"
2021년06월_남_60~69세,"90,680","16,367","16,488","27,512","17,561","12,752"
2021년06월_남_70~79세,"41,670","8,554","9,223","11,995","6,354","5,544"
2021년06월_남_80~89세,"15,109","3,117","3,627","4,224","2,189","1,952"
2021년06월_남_90~99세,"1,363",275,310,394,239,145
2021년06월_남_100세 이상,34,10,8,11,3,2
2021년06월_여_총인구수,"729,441","110,674","118,058","241,421","173,283","86,005"
2021년06월_여_연령구간인구수,"729,441","110,674","118,058","241,421","173,283","86,005"
2021년06월_여_0~9세,"53,709","7,090","7,072","17,761","16,428","5,358"
2021년06월_여_10~19세,"69,596","9,573","10,392","23,642","18,265","7,724"
2021년06월_여_20~29세,"100,317","14,203","14,959","36,034","24,291","10,830"
2021년06월_여_30~39세,"91,187","11,747","12,352","31,837","26,311","8,940"
2021년06월_여_40~49세,"117,192","16,169","17,750","39,771","30,534","12,968"
2021년06월_여_50~59세,"119,804","17,547","19,241","39,547","27,105","16,364"
2021년06월_여_60~69세,"96,167","17,423","18,059","29,819","17,824","13,042"
2021년06월_여_70~79세,"49,897","10,481","11,338","14,198","7,257","6,623"
2021년06월_여_80~89세,"26,826","5,560","5,863","7,456","4,386","3,561"
2021년06월_여_90~99세,"4,578",853,991,"1,309",857,568
2021년06월_여_100세 이상,168,28,41,47,25,27
