카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년02월_계_총인구수,"105,457","5,481","1,316","7,305","5,307","3,108","2,901","3,963","4,357","8,782","3,468","5,175","1,777","2,902","14,871","20,835","7,769","6,140"
2020년02월_계_연령구간인구수,"105,457","5,481","1,316","7,305","5,307","3,108","2,901","3,963","4,357","8,782","3,468","5,175","1,777","2,902","14,871","20,835","7,769","6,140"
2020년02월_계_0~9세,"5,904",152,24,295,151,66,82,99,85,507,82,119,38,73,"1,202","2,138",379,412
2020년02월_계_10~19세,"8,121",258,53,455,263,96,138,218,160,577,151,293,63,165,"1,329","2,653",644,605
2020년02월_계_20~29세,"9,427",360,119,548,375,184,202,230,259,728,195,345,77,276,"1,846","2,227",762,694
2020년02월_계_30~39세,"9,273",343,72,533,363,163,170,205,270,745,178,271,84,216,"1,922","2,361",701,676
2020년02월_계_40~49세,"13,284",567,117,806,511,217,281,377,338,"1,061",318,430,125,329,"2,286","3,556","1,018",947
2020년02월_계_50~59세,"19,291","1,038",230,"1,378","1,051",572,590,772,925,"1,587",626,950,291,576,"2,686","3,396","1,448","1,175"
2020년02월_계_60~69세,"20,162","1,343",318,"1,561","1,275",898,682,"1,007","1,208","1,725",908,"1,229",484,611,"2,101","2,490","1,392",930
2020년02월_계_70~79세,"12,337",911,227,"1,038",780,531,473,660,672,"1,150",601,868,348,437,960,"1,311",897,473
2020년02월_계_80~89세,"6,744",444,132,617,469,333,250,352,391,619,367,578,238,195,458,623,473,205
2020년02월_계_90~99세,874,63,24,68,68,48,31,42,47,76,38,89,29,20,79,78,54,20
2020년02월_계_100세 이상,40,2,0,6,1,0,2,1,2,7,4,3,0,4,2,2,1,3
2020년02월_남_총인구수,"51,625","2,700",637,"3,625","2,689","1,486","1,474","2,028","2,147","4,342","1,731","2,529",860,"1,429","7,365","10,035","3,598","2,950"
2020년02월_남_연령구간인구수,"51,625","2,700",637,"3,625","2,689","1,486","1,474","2,028","2,147","4,342","1,731","2,529",860,"1,429","7,365","10,035","3,598","2,950"
2020년02월_남_0~9세,"3,001",76,11,156,77,28,45,50,47,239,43,63,17,32,605,"1,112",203,197
2020년02월_남_10~19세,"4,265",132,26,245,145,51,75,120,93,313,80,163,35,93,702,"1,381",308,303
2020년02월_남_20~29세,"5,403",205,63,318,230,116,129,151,161,427,117,207,51,171,"1,031","1,256",398,372
2020년02월_남_30~39세,"4,908",205,43,306,215,96,97,120,152,402,117,159,45,118,"1,009","1,115",355,354
2020년02월_남_40~49세,"7,026",328,73,483,301,132,167,244,197,596,201,237,79,182,"1,159","1,684",501,462
2020년02월_남_50~59세,"9,743",548,128,708,570,279,315,401,468,799,323,523,135,300,"1,319","1,647",715,565
2020년02월_남_60~69세,"9,785",664,151,754,654,440,339,526,601,891,448,607,260,274,993,"1,115",632,436
2020년02월_남_70~79세,"5,287",400,98,451,332,244,231,313,309,473,278,368,158,191,390,524,331,196
2020년02월_남_80~89세,"2,035",131,38,191,152,93,73,98,111,185,116,187,74,61,137,184,141,63
2020년02월_남_90~99세,168,11,6,12,13,7,2,5,8,17,7,15,6,6,20,17,14,2
2020년02월_남_100세 이상,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2020년02월_여_총인구수,"53,832","2,781",679,"3,680","2,618","1,622","1,427","1,935","2,210","4,440","1,737","2,646",917,"1,473","7,506","10,800","4,171","3,190"
2020년02월_여_연령구간인구수,"53,832","2,781",679,"3,680","2,618","1,622","1,427","1,935","2,210","4,440","1,737","2,646",917,"1,473","7,506","10,800","4,171","3,190"
2020년02월_여_0~9세,"2,903",76,13,139,74,38,37,49,38,268,39,56,21,41,597,"1,026",176,215
2020년02월_여_10~19세,"3,856",126,27,210,118,45,63,98,67,264,71,130,28,72,627,"1,272",336,302
2020년02월_여_20~29세,"4,024",155,56,230,145,68,73,79,98,301,78,138,26,105,815,971,364,322
2020년02월_여_30~39세,"4,365",138,29,227,148,67,73,85,118,343,61,112,39,98,913,"1,246",346,322
2020년02월_여_40~49세,"6,258",239,44,323,210,85,114,133,141,465,117,193,46,147,"1,127","1,872",517,485
2020년02월_여_50~59세,"9,548",490,102,670,481,293,275,371,457,788,303,427,156,276,"1,367","1,749",733,610
2020년02월_여_60~69세,"10,377",679,167,807,621,458,343,481,607,834,460,622,224,337,"1,108","1,375",760,494
2020년02월_여_70~79세,"7,050",511,129,587,448,287,242,347,363,677,323,500,190,246,570,787,566,277
2020년02월_여_80~89세,"4,709",313,94,426,317,240,177,254,280,434,251,391,164,134,321,439,332,142
2020년02월_여_90~99세,706,52,18,56,55,41,29,37,39,59,31,74,23,14,59,61,40,18
2020년02월_여_100세 이상,36,2,0,5,1,0,1,1,2,7,3,3,0,3,2,2,1,3
