카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년02월_계_총인구수,"51,501","13,355","1,927","1,600","1,793","1,558","1,474","1,458","4,285","3,915","2,559","1,820","1,752","1,810","4,589","3,802",812,"2,155",837
2021년02월_계_연령구간인구수,"51,501","13,355","1,927","1,600","1,793","1,558","1,474","1,458","4,285","3,915","2,559","1,820","1,752","1,810","4,589","3,802",812,"2,155",837
2021년02월_계_0~9세,"1,876",784,24,37,31,24,38,37,130,139,88,41,38,35,243,96,23,52,16
2021년02월_계_10~19세,"2,265","1,028",61,38,50,38,50,41,144,130,43,48,57,56,253,122,12,71,23
2021년02월_계_20~29세,"3,094","1,109",80,66,86,57,58,54,229,259,124,89,96,107,364,186,22,77,31
2021년02월_계_30~39세,"3,170","1,157",88,71,68,50,76,72,218,272,132,94,94,80,344,195,30,86,43
2021년02월_계_40~49세,"4,677","1,757",138,96,137,106,70,99,354,347,183,130,126,126,498,273,45,142,50
2021년02월_계_50~59세,"8,607","2,203",318,261,335,290,261,238,670,700,420,308,306,316,758,612,145,334,132
2021년02월_계_60~69세,"11,898","2,577",540,426,494,418,441,417,"1,029",930,654,466,371,425,855,904,181,569,201
2021년02월_계_70~79세,"8,862","1,689",361,325,348,294,265,267,857,651,493,332,345,359,711,782,182,428,173
2021년02월_계_80~89세,"6,188",909,289,249,219,239,181,201,553,420,373,278,286,278,491,572,150,351,149
2021년02월_계_90~99세,815,130,26,31,24,42,31,28,94,63,47,33,32,26,70,57,22,41,18
2021년02월_계_100세 이상,49,12,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2021년02월_남_총인구수,"25,172","6,551",947,782,881,745,756,727,"2,107","1,887","1,242",905,869,868,"2,180","1,869",392,"1,068",396
2021년02월_남_연령구간인구수,"25,172","6,551",947,782,881,745,756,727,"2,107","1,887","1,242",905,869,868,"2,180","1,869",392,"1,068",396
2021년02월_남_0~9세,989,428,16,21,21,11,15,23,76,64,37,17,21,23,119,51,11,25,10
2021년02월_남_10~19세,"1,179",546,36,18,21,22,30,17,76,68,24,28,28,29,116,62,7,37,14
2021년02월_남_20~29세,"1,780",617,50,39,43,29,42,30,135,145,75,49,69,61,203,117,15,43,18
2021년02월_남_30~39세,"1,770",600,58,49,46,30,47,39,124,141,78,56,56,48,190,122,13,48,25
2021년02월_남_40~49세,"2,729",929,93,65,88,74,35,61,212,209,119,90,79,76,269,175,25,99,31
2021년02월_남_50~59세,"4,665","1,143",181,140,182,155,140,132,361,391,227,172,169,187,400,331,85,190,79
2021년02월_남_60~69세,"5,985","1,225",273,217,255,210,250,236,530,436,330,244,184,222,419,456,103,292,103
2021년02월_남_70~79세,"3,862",737,143,146,146,134,122,111,382,288,231,150,153,138,301,341,70,199,70
2021년02월_남_80~89세,"2,025",295,94,82,73,73,68,72,181,130,114,92,104,78,154,192,55,124,44
2021년02월_남_90~99세,179,29,3,5,5,7,6,5,29,15,7,7,6,6,9,20,8,10,2
2021년02월_남_100세 이상,9,2,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,0
2021년02월_여_총인구수,"26,329","6,804",980,818,912,813,718,731,"2,178","2,028","1,317",915,883,942,"2,409","1,933",420,"1,087",441
2021년02월_여_연령구간인구수,"26,329","6,804",980,818,912,813,718,731,"2,178","2,028","1,317",915,883,942,"2,409","1,933",420,"1,087",441
2021년02월_여_0~9세,887,356,8,16,10,13,23,14,54,75,51,24,17,12,124,45,12,27,6
2021년02월_여_10~19세,"1,086",482,25,20,29,16,20,24,68,62,19,20,29,27,137,60,5,34,9
2021년02월_여_20~29세,"1,314",492,30,27,43,28,16,24,94,114,49,40,27,46,161,69,7,34,13
2021년02월_여_30~39세,"1,400",557,30,22,22,20,29,33,94,131,54,38,38,32,154,73,17,38,18
2021년02월_여_40~49세,"1,948",828,45,31,49,32,35,38,142,138,64,40,47,50,229,98,20,43,19
2021년02월_여_50~59세,"3,942","1,060",137,121,153,135,121,106,309,309,193,136,137,129,358,281,60,144,53
2021년02월_여_60~69세,"5,913","1,352",267,209,239,208,191,181,499,494,324,222,187,203,436,448,78,277,98
2021년02월_여_70~79세,"5,000",952,218,179,202,160,143,156,475,363,262,182,192,221,410,441,112,229,103
2021년02월_여_80~89세,"4,163",614,195,167,146,166,113,129,372,290,259,186,182,200,337,380,95,227,105
2021년02월_여_90~99세,636,101,23,26,19,35,25,23,65,48,40,26,26,20,61,37,14,31,16
2021년02월_여_100세 이상,40,10,2,0,0,0,2,3,6,4,2,1,1,2,2,1,0,3,1
