카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년03월_계_총인구수,"55,452","15,114","2,388","2,697","1,711","18,337","2,540","2,506","1,559","2,783","3,240","1,194","1,383"
2020년03월_계_연령구간인구수,"55,452","15,114","2,388","2,697","1,711","18,337","2,540","2,506","1,559","2,783","3,240","1,194","1,383"
2020년03월_계_0~9세,"4,676",844,83,66,52,"3,212",151,59,22,57,62,26,42
2020년03월_계_10~19세,"4,385","1,296",113,87,61,"2,201",108,93,48,88,142,66,82
2020년03월_계_20~29세,"4,125","1,369",104,154,63,"1,621",211,122,58,98,208,48,69
2020년03월_계_30~39세,"5,648","1,229",95,120,83,"3,357",222,123,50,130,132,43,64
2020년03월_계_40~49세,"7,044","1,967",194,175,130,"3,349",241,203,112,210,258,92,113
2020년03월_계_50~59세,"8,124","2,566",374,433,264,"2,068",328,396,234,445,525,261,230
2020년03월_계_60~69세,"9,027","2,809",490,675,402,"1,263",448,571,385,669,706,313,296
2020년03월_계_70~79세,"6,921","1,831",493,506,340,755,426,526,353,586,655,182,268
2020년03월_계_80~89세,"4,834","1,028",395,424,292,447,351,366,270,440,493,140,188
2020년03월_계_90~99세,633,169,43,52,24,62,52,43,26,55,57,22,28
2020년03월_계_100세 이상,35,6,4,5,0,2,2,4,1,5,2,1,3
2020년03월_남_총인구수,"27,261","7,485","1,195","1,333",838,"8,972","1,253","1,220",748,"1,380","1,559",587,691
2020년03월_남_연령구간인구수,"27,261","7,485","1,195","1,333",838,"8,972","1,253","1,220",748,"1,380","1,559",587,691
2020년03월_남_0~9세,"2,366",418,46,35,25,"1,623",80,27,8,33,36,13,22
2020년03월_남_10~19세,"2,351",743,65,43,40,"1,129",61,48,27,44,74,37,40
2020년03월_남_20~29세,"2,320",805,61,98,33,836,131,72,37,58,125,23,41
2020년03월_남_30~39세,"2,829",627,53,71,41,"1,573",125,73,29,87,88,20,42
2020년03월_남_40~49세,"3,883","1,080",125,117,89,"1,680",161,136,79,141,155,55,65
2020년03월_남_50~59세,"4,242","1,257",224,239,162,"1,037",190,206,134,253,282,128,130
2020년03월_남_60~69세,"4,428","1,322",256,348,205,606,202,277,192,347,343,178,152
2020년03월_남_70~79세,"3,073",833,219,214,146,336,185,235,150,270,274,90,121
2020년03월_남_80~89세,"1,644",368,135,157,90,141,108,138,88,140,172,36,71
2020년03월_남_90~99세,121,31,10,10,7,11,10,8,4,6,10,7,7
2020년03월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년03월_여_총인구수,"28,191","7,629","1,193","1,364",873,"9,365","1,287","1,286",811,"1,403","1,681",607,692
2020년03월_여_연령구간인구수,"28,191","7,629","1,193","1,364",873,"9,365","1,287","1,286",811,"1,403","1,681",607,692
2020년03월_여_0~9세,"2,310",426,37,31,27,"1,589",71,32,14,24,26,13,20
2020년03월_여_10~19세,"2,034",553,48,44,21,"1,072",47,45,21,44,68,29,42
2020년03월_여_20~29세,"1,805",564,43,56,30,785,80,50,21,40,83,25,28
2020년03월_여_30~39세,"2,819",602,42,49,42,"1,784",97,50,21,43,44,23,22
2020년03월_여_40~49세,"3,161",887,69,58,41,"1,669",80,67,33,69,103,37,48
2020년03월_여_50~59세,"3,882","1,309",150,194,102,"1,031",138,190,100,192,243,133,100
2020년03월_여_60~69세,"4,599","1,487",234,327,197,657,246,294,193,322,363,135,144
2020년03월_여_70~79세,"3,848",998,274,292,194,419,241,291,203,316,381,92,147
2020년03월_여_80~89세,"3,190",660,260,267,202,306,243,228,182,300,321,104,117
2020년03월_여_90~99세,512,138,33,42,17,51,42,35,22,49,47,15,21
2020년03월_여_100세 이상,31,5,3,4,0,2,2,4,1,4,2,1,3
