카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년07월_계_총인구수,"51,696","22,956","3,340","2,842","2,517","2,555","2,881","2,158","3,245","3,082","6,120"
2020년07월_계_연령구간인구수,"51,696","22,956","3,340","2,842","2,517","2,555","2,881","2,158","3,245","3,082","6,120"
2020년07월_계_0~9세,"2,691","1,739",88,78,69,133,90,63,79,83,269
2020년07월_계_10~19세,"4,362","2,480",166,106,83,139,421,182,218,145,422
2020년07월_계_20~29세,"4,018","2,190",231,178,113,136,164,96,194,212,504
2020년07월_계_30~39세,"3,917","2,250",211,167,121,161,133,88,142,190,454
2020년07월_계_40~49세,"6,325","3,577",301,244,195,251,237,179,329,300,712
2020년07월_계_50~59세,"9,217","3,781",625,504,438,434,450,447,637,626,"1,275"
2020년07월_계_60~69세,"9,565","3,308",722,712,599,572,564,451,685,715,"1,237"
2020년07월_계_70~79세,"6,834","2,374",540,456,463,416,438,373,578,479,717
2020년07월_계_80~89세,"4,206","1,112",382,351,389,286,351,246,345,284,460
2020년07월_계_90~99세,530,129,71,46,45,27,32,31,35,46,68
2020년07월_계_100세 이상,31,16,3,0,2,0,1,2,3,2,2
2020년07월_남_총인구수,"26,057","11,295","1,716","1,482","1,257","1,281","1,459","1,110","1,636","1,627","3,194"
2020년07월_남_연령구간인구수,"26,057","11,295","1,716","1,482","1,257","1,281","1,459","1,110","1,636","1,627","3,194"
2020년07월_남_0~9세,"1,381",866,57,42,33,64,51,34,47,45,142
2020년07월_남_10~19세,"2,284","1,273",97,66,39,75,211,96,119,82,226
2020년07월_남_20~29세,"2,298","1,226",139,111,64,81,104,66,101,125,281
2020년07월_남_30~39세,"2,069","1,153",119,99,71,84,63,41,74,97,268
2020년07월_남_40~49세,"3,510","1,858",172,156,139,153,147,113,197,184,391
2020년07월_남_50~59세,"5,066","1,944",364,286,262,257,261,259,365,359,709
2020년07월_남_60~69세,"4,835","1,554",370,384,304,287,297,249,345,380,665
2020년07월_남_70~79세,"3,070","1,001",246,217,214,185,200,158,264,240,345
2020년07월_남_80~89세,"1,411",389,135,108,122,89,118,88,114,101,147
2020년07월_남_90~99세,124,27,16,13,9,6,7,6,8,13,19
2020년07월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년07월_여_총인구수,"25,639","11,661","1,624","1,360","1,260","1,274","1,422","1,048","1,609","1,455","2,926"
2020년07월_여_연령구간인구수,"25,639","11,661","1,624","1,360","1,260","1,274","1,422","1,048","1,609","1,455","2,926"
2020년07월_여_0~9세,"1,310",873,31,36,36,69,39,29,32,38,127
2020년07월_여_10~19세,"2,078","1,207",69,40,44,64,210,86,99,63,196
2020년07월_여_20~29세,"1,720",964,92,67,49,55,60,30,93,87,223
2020년07월_여_30~39세,"1,848","1,097",92,68,50,77,70,47,68,93,186
2020년07월_여_40~49세,"2,815","1,719",129,88,56,98,90,66,132,116,321
2020년07월_여_50~59세,"4,151","1,837",261,218,176,177,189,188,272,267,566
2020년07월_여_60~69세,"4,730","1,754",352,328,295,285,267,202,340,335,572
2020년07월_여_70~79세,"3,764","1,373",294,239,249,231,238,215,314,239,372
2020년07월_여_80~89세,"2,795",723,247,243,267,197,233,158,231,183,313
2020년07월_여_90~99세,406,102,55,33,36,21,25,25,27,33,49
2020년07월_여_100세 이상,22,12,2,0,2,0,1,2,1,1,1
