카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년03월_계_총인구수,"343,392","22,746","19,793","15,561","21,734","16,451","28,962","11,423","35,180","22,591","25,308","28,530","17,529","21,862","26,666","29,056"
2021년03월_계_연령구간인구수,"343,392","22,746","19,793","15,561","21,734","16,451","28,962","11,423","35,180","22,591","25,308","28,530","17,529","21,862","26,666","29,056"
2021년03월_계_0~9세,"18,882",373,855,726,"1,160",746,"1,391",549,"3,225",969,"1,595","2,269",694,805,"1,706","1,819"
2021년03월_계_10~19세,"25,541",760,"1,015",731,"1,362",936,"1,907",540,"5,484","1,493","1,833","2,629",851,"1,145","2,342","2,513"
2021년03월_계_20~29세,"62,496","9,810","4,532","2,828","3,876","2,655","4,381","2,357","4,070","4,364","3,793","3,892","2,704","4,838","3,731","4,665"
2021년03월_계_30~39세,"55,432","4,382","3,612","2,976","3,895","2,686","4,354","2,621","3,760","3,751","3,873","4,298","2,564","4,260","3,771","4,629"
2021년03월_계_40~49세,"51,748","2,188","2,600","2,144","2,968","2,296","4,086","1,605","7,634","3,356","3,972","4,568","2,394","3,167","4,275","4,495"
2021년03월_계_50~59세,"54,118","2,061","2,866","2,462","3,547","2,902","5,264","1,406","5,508","3,593","4,240","4,679","3,061","3,139","4,544","4,846"
2021년03월_계_60~69세,"42,914","1,711","2,383","2,098","2,889","2,401","4,430","1,273","3,072","2,872","3,660","3,580","2,991","2,464","3,548","3,542"
2021년03월_계_70~79세,"22,054",993,"1,335","1,146","1,461","1,274","2,258",736,"1,457","1,511","1,663","1,620","1,591","1,397","1,910","1,702"
2021년03월_계_80~89세,"8,954",408,529,398,503,489,779,293,824,608,589,871,608,571,749,735
2021년03월_계_90~99세,"1,182",55,62,51,71,60,100,41,142,73,86,119,69,61,86,106
2021년03월_계_100세 이상,71,5,4,1,2,6,12,2,4,1,4,5,2,15,4,4
2021년03월_남_총인구수,"165,747","10,808","9,766","7,570","10,267","8,151","14,184","5,239","17,016","10,900","12,317","13,687","8,753","10,447","12,852","13,790"
2021년03월_남_연령구간인구수,"165,747","10,808","9,766","7,570","10,267","8,151","14,184","5,239","17,016","10,900","12,317","13,687","8,753","10,447","12,852","13,790"
2021년03월_남_0~9세,"9,623",178,444,372,600,406,723,284,"1,692",474,817,"1,120",338,413,863,899
2021년03월_남_10~19세,"12,965",342,527,373,688,482,"1,022",280,"2,784",776,974,"1,295",414,567,"1,180","1,261"
2021년03월_남_20~29세,"29,259","4,230","2,137","1,273","1,710","1,295","2,192","1,003","2,022","2,071","1,861","1,921","1,328","2,218","1,844","2,154"
2021년03월_남_30~39세,"27,463","2,304","1,865","1,520","1,890","1,409","2,188","1,159","1,626","1,888","1,916","2,027","1,402","2,128","1,881","2,260"
2021년03월_남_40~49세,"25,513","1,213","1,353","1,110","1,466","1,175","2,077",809,"3,512","1,684","1,951","2,167","1,251","1,592","2,079","2,074"
2021년03월_남_50~59세,"26,472","1,107","1,444","1,216","1,668","1,432","2,503",650,"2,808","1,746","2,011","2,232","1,619","1,528","2,181","2,327"
2021년03월_남_60~69세,"20,413",800,"1,153",995,"1,340","1,161","2,082",581,"1,524","1,346","1,763","1,788","1,431","1,140","1,623","1,686"
2021년03월_남_70~79세,"10,161",450,624,529,686,587,"1,061",333,667,646,782,744,721,622,896,813
2021년03월_남_80~89세,"3,530",168,209,171,206,187,308,122,336,248,218,346,231,220,281,279
2021년03월_남_90~99세,329,15,10,10,11,16,24,18,43,21,23,46,17,17,23,35
2021년03월_남_100세 이상,19,1,0,1,2,1,4,0,2,0,1,1,1,2,1,2
2021년03월_여_총인구수,"177,645","11,938","10,027","7,991","11,467","8,300","14,778","6,184","18,164","11,691","12,991","14,843","8,776","11,415","13,814","15,266"
2021년03월_여_연령구간인구수,"177,645","11,938","10,027","7,991","11,467","8,300","14,778","6,184","18,164","11,691","12,991","14,843","8,776","11,415","13,814","15,266"
2021년03월_여_0~9세,"9,259",195,411,354,560,340,668,265,"1,533",495,778,"1,149",356,392,843,920
2021년03월_여_10~19세,"12,576",418,488,358,674,454,885,260,"2,700",717,859,"1,334",437,578,"1,162","1,252"
2021년03월_여_20~29세,"33,237","5,580","2,395","1,555","2,166","1,360","2,189","1,354","2,048","2,293","1,932","1,971","1,376","2,620","1,887","2,511"
2021년03월_여_30~39세,"27,969","2,078","1,747","1,456","2,005","1,277","2,166","1,462","2,134","1,863","1,957","2,271","1,162","2,132","1,890","2,369"
2021년03월_여_40~49세,"26,235",975,"1,247","1,034","1,502","1,121","2,009",796,"4,122","1,672","2,021","2,401","1,143","1,575","2,196","2,421"
2021년03월_여_50~59세,"27,646",954,"1,422","1,246","1,879","1,470","2,761",756,"2,700","1,847","2,229","2,447","1,442","1,611","2,363","2,519"
2021년03월_여_60~69세,"22,501",911,"1,230","1,103","1,549","1,240","2,348",692,"1,548","1,526","1,897","1,792","1,560","1,324","1,925","1,856"
2021년03월_여_70~79세,"11,893",543,711,617,775,687,"1,197",403,790,865,881,876,870,775,"1,014",889
2021년03월_여_80~89세,"5,424",240,320,227,297,302,471,171,488,360,371,525,377,351,468,456
2021년03월_여_90~99세,853,40,52,41,60,44,76,23,99,52,63,73,52,44,63,71
2021년03월_여_100세 이상,52,4,4,0,0,5,8,2,2,1,3,4,1,13,3,2
