,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년06월_계_총인구수,"221,614","20,268","28,298","28,604","70,033","19,187","22,159","8,362","7,687","4,178","3,119","7,941","1,778"
2021년06월_계_연령구간인구수,"221,614","20,268","28,298","28,604","70,033","19,187","22,159","8,362","7,687","4,178","3,119","7,941","1,778"
2021년06월_계_0~9세,"17,126","1,460","2,364","2,513","6,361","1,723","1,473",473,290,130,46,255,38
2021년06월_계_10~19세,"22,114","1,624","2,740","3,243","9,793","1,542","1,524",500,371,188,116,408,65
2021년06월_계_20~29세,"26,204","2,486","3,408","3,274","9,208","2,199","2,814",755,808,289,164,697,102
2021년06월_계_30~39세,"25,186","2,750","3,186","3,422","7,435","2,824","2,949",858,627,282,202,540,111
2021년06월_계_40~49세,"36,526","3,670","4,495","5,279","13,381","2,902","3,202","1,168",755,411,239,885,139
2021년06월_계_50~59세,"41,864","3,982","5,208","5,225","13,010","3,486","4,299","1,571","1,630",873,539,"1,682",359
2021년06월_계_60~69세,"31,007","2,631","4,081","3,389","6,957","2,738","3,504","1,667","1,728","1,093",857,"1,881",481
2021년06월_계_70~79세,"13,937","1,118","1,796","1,464","2,626","1,170","1,596",901,915,544,536,987,284
2021년06월_계_80~89세,"6,624",481,876,692,"1,119",514,671,415,488,312,362,520,174
2021년06월_계_90~99세,"1,004",61,136,102,142,88,126,54,74,55,58,84,24
2021년06월_계_100세 이상,22,5,8,1,1,1,1,0,1,1,0,2,1
2021년06월_남_총인구수,"114,522","11,635","14,163","14,899","35,259","9,920","11,429","4,509","3,992","2,172","1,559","4,046",939
2021년06월_남_연령구간인구수,"114,522","11,635","14,163","14,899","35,259","9,920","11,429","4,509","3,992","2,172","1,559","4,046",939
2021년06월_남_0~9세,"8,821",772,"1,171","1,298","3,268",878,787,253,148,65,23,140,18
2021년06월_남_10~19세,"11,476",863,"1,392","1,654","5,118",766,790,268,211,99,58,223,34
2021년06월_남_20~29세,"14,988","1,558","1,921","1,833","5,139","1,213","1,641",460,487,166,95,413,62
2021년06월_남_30~39세,"13,434","1,737","1,655","1,810","3,602","1,545","1,609",461,348,165,117,315,70
2021년06월_남_40~49세,"18,688","2,248","2,219","2,760","6,209","1,492","1,671",729,425,240,142,465,88
2021년06월_남_50~59세,"22,110","2,377","2,621","2,837","6,680","1,845","2,163",915,855,474,293,845,205
2021년06월_남_60~69세,"16,072","1,407","2,037","1,794","3,623","1,438","1,757",842,911,589,452,967,255
2021년06월_남_70~79세,"6,597",516,844,682,"1,235",556,758,417,431,271,249,497,141
2021년06월_남_80~89세,"2,149",150,275,213,360,171,228,155,156,95,119,164,63
2021년06월_남_90~99세,185,5,28,18,25,16,25,9,20,8,11,17,3
2021년06월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"107,092","8,633","14,135","13,705","34,774","9,267","10,730","3,853","3,695","2,006","1,560","3,895",839
2021년06월_여_연령구간인구수,"107,092","8,633","14,135","13,705","34,774","9,267","10,730","3,853","3,695","2,006","1,560","3,895",839
2021년06월_여_0~9세,"8,305",688,"1,193","1,215","3,093",845,686,220,142,65,23,115,20
2021년06월_여_10~19세,"10,638",761,"1,348","1,589","4,675",776,734,232,160,89,58,185,31
2021년06월_여_20~29세,"11,216",928,"1,487","1,441","4,069",986,"1,173",295,321,123,69,284,40
2021년06월_여_30~39세,"11,752","1,013","1,531","1,612","3,833","1,279","1,340",397,279,117,85,225,41
2021년06월_여_40~49세,"17,838","1,422","2,276","2,519","7,172","1,410","1,531",439,330,171,97,420,51
2021년06월_여_50~59세,"19,754","1,605","2,587","2,388","6,330","1,641","2,136",656,775,399,246,837,154
2021년06월_여_60~69세,"14,935","1,224","2,044","1,595","3,334","1,300","1,747",825,817,504,405,914,226
2021년06월_여_70~79세,"7,340",602,952,782,"1,391",614,838,484,484,273,287,490,143
2021년06월_여_80~89세,"4,475",331,601,479,759,343,443,260,332,217,243,356,111
2021년06월_여_90~99세,819,56,108,84,117,72,101,45,54,47,47,67,21
2021년06월_여_100세 이상,20,3,8,1,1,1,1,0,1,1,0,2,1
