,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년09월_계_총인구수,"31,637","9,990","3,180","2,138","2,031","4,474","2,254","1,529","2,253","1,745","2,043"
2020년09월_계_연령구간인구수,"31,637","9,990","3,180","2,138","2,031","4,474","2,254","1,529","2,253","1,745","2,043"
2020년09월_계_0~9세,"1,426",615,98,58,77,191,67,32,57,30,201
2020년09월_계_10~19세,"1,873",874,146,95,80,245,96,72,106,38,121
2020년09월_계_20~29세,"2,036",900,146,130,103,260,102,66,112,85,132
2020년09월_계_30~39세,"1,992",788,168,126,101,252,103,56,97,65,236
2020년09월_계_40~49세,"3,265","1,298",251,175,151,413,204,131,204,135,303
2020년09월_계_50~59세,"5,837","1,765",608,380,366,872,440,336,442,293,335
2020년09월_계_60~69세,"6,739","1,677",786,514,461,979,574,396,551,436,365
2020년09월_계_70~79세,"4,753","1,168",548,366,355,699,379,247,395,383,213
2020년09월_계_80~89세,"3,192",758,374,256,295,466,255,167,253,249,119
2020년09월_계_90~99세,494,141,53,37,39,90,30,25,34,28,17
2020년09월_계_100세 이상,30,6,2,1,3,7,4,1,2,3,1
2020년09월_남_총인구수,"15,922","4,915","1,592","1,044","1,026","2,228","1,128",776,"1,182",897,"1,134"
2020년09월_남_연령구간인구수,"15,922","4,915","1,592","1,044","1,026","2,228","1,128",776,"1,182",897,"1,134"
2020년09월_남_0~9세,739,325,49,30,41,100,36,17,29,14,98
2020년09월_남_10~19세,"1,005",431,90,47,39,139,52,47,66,24,70
2020년09월_남_20~29세,"1,192",501,89,83,65,148,61,38,77,57,73
2020년09월_남_30~39세,"1,079",385,97,71,60,126,50,31,60,41,158
2020년09월_남_40~49세,"1,910",698,143,108,94,247,127,69,130,89,205
2020년09월_남_50~59세,"3,150",936,314,196,209,458,233,183,250,168,203
2020년09월_남_60~69세,"3,485",837,412,261,249,499,312,215,287,217,196
2020년09월_남_70~79세,"2,119",508,251,156,149,312,172,110,186,185,90
2020년09월_남_80~89세,"1,121",272,131,85,108,172,76,57,92,93,35
2020년09월_남_90~99세,117,21,16,6,12,24,9,9,5,9,6
2020년09월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년09월_여_총인구수,"15,715","5,075","1,588","1,094","1,005","2,246","1,126",753,"1,071",848,909
2020년09월_여_연령구간인구수,"15,715","5,075","1,588","1,094","1,005","2,246","1,126",753,"1,071",848,909
2020년09월_여_0~9세,687,290,49,28,36,91,31,15,28,16,103
2020년09월_여_10~19세,868,443,56,48,41,106,44,25,40,14,51
2020년09월_여_20~29세,844,399,57,47,38,112,41,28,35,28,59
2020년09월_여_30~39세,913,403,71,55,41,126,53,25,37,24,78
2020년09월_여_40~49세,"1,355",600,108,67,57,166,77,62,74,46,98
2020년09월_여_50~59세,"2,687",829,294,184,157,414,207,153,192,125,132
2020년09월_여_60~69세,"3,254",840,374,253,212,480,262,181,264,219,169
2020년09월_여_70~79세,"2,634",660,297,210,206,387,207,137,209,198,123
2020년09월_여_80~89세,"2,071",486,243,171,187,294,179,110,161,156,84
2020년09월_여_90~99세,377,120,37,31,27,66,21,16,29,19,11
2020년09월_여_100세 이상,25,5,2,0,3,4,4,1,2,3,1
