카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년05월_계_총인구수,"281,745","2,683","4,537","18,268","33,172","12,033","2,928","1,780","3,162","1,523",866,"3,233","5,517","2,844","3,655","6,876","25,273","6,250","44,175","7,719","8,746","2,831","2,304","3,005","18,467","40,268","19,630"
2021년05월_계_연령구간인구수,"281,745","2,683","4,537","18,268","33,172","12,033","2,928","1,780","3,162","1,523",866,"3,233","5,517","2,844","3,655","6,876","25,273","6,250","44,175","7,719","8,746","2,831","2,304","3,005","18,467","40,268","19,630"
2021년05월_계_0~9세,"23,050",44,125,"1,468","5,912",752,56,33,56,17,14,80,133,59,137,426,"1,913",337,"3,277",354,340,119,51,82,"2,082","3,419","1,764"
2021년05월_계_10~19세,"29,805",116,194,"2,512","5,015","1,023",97,66,118,40,44,145,288,150,263,584,"2,656",532,"5,240",587,656,184,105,195,"1,730","4,722","2,543"
2021년05월_계_20~29세,"37,251",196,398,"3,140","3,230","1,264",150,120,186,76,48,232,415,284,352,"1,163","3,845",756,"6,580",923,"1,087",340,251,367,"2,161","6,378","3,309"
2021년05월_계_30~39세,"32,980",112,272,"2,182","6,651","1,120",119,96,141,67,29,139,268,147,273,846,"2,842",619,"4,939",748,772,244,214,274,"2,543","4,940","2,383"
2021년05월_계_40~49세,"42,877",207,439,"3,285","6,949","1,655",210,128,222,120,55,236,507,266,423,868,"3,706",862,"6,943",967,"1,027",305,272,386,"2,865","6,642","3,332"
2021년05월_계_50~59세,"49,214",520,860,"3,593","3,498","2,215",465,297,521,269,141,524,960,558,559,997,"4,472","1,145","8,586","1,319","1,667",453,443,524,"3,083","7,653","3,892"
2021년05월_계_60~69세,"35,382",578,935,"1,289","1,342","2,004",654,424,719,326,190,772,"1,129",591,771,928,"3,494","1,070","5,575","1,398","1,613",527,492,563,"2,201","4,141","1,656"
2021년05월_계_70~79세,"19,070",453,721,477,388,"1,206",643,337,637,318,170,624,937,447,573,673,"1,536",605,"2,037",960,"1,070",431,312,401,"1,109","1,512",493
2021년05월_계_80~89세,"10,428",393,508,282,158,687,456,240,487,251,140,410,772,289,262,350,694,269,852,405,453,194,135,188,586,739,228
2021년05월_계_90~99세,"1,626",63,85,37,28,105,77,38,74,32,34,69,103,49,40,39,109,52,136,57,60,34,28,25,103,119,30
2021년05월_계_100세 이상,62,1,0,3,1,2,1,1,1,7,1,2,5,4,2,2,6,3,10,1,1,0,1,0,4,3,0
2021년05월_남_총인구수,"140,637","1,333","2,345","9,010","16,873","6,018","1,472",845,"1,599",789,417,"1,571","2,761","1,460","1,796","3,413","12,401","3,170","22,055","3,850","4,426","1,386","1,199","1,539","9,307","19,934","9,668"
2021년05월_남_연령구간인구수,"140,637","1,333","2,345","9,010","16,873","6,018","1,472",845,"1,599",789,417,"1,571","2,761","1,460","1,796","3,413","12,401","3,170","22,055","3,850","4,426","1,386","1,199","1,539","9,307","19,934","9,668"
2021년05월_남_0~9세,"11,794",31,56,734,"3,032",398,25,17,31,12,8,39,70,37,67,206,976,181,"1,629",192,183,61,28,42,"1,098","1,741",900
2021년05월_남_10~19세,"15,545",53,105,"1,329","2,662",549,52,27,67,24,23,81,144,87,140,320,"1,332",282,"2,726",311,351,91,60,106,903,"2,452","1,268"
2021년05월_남_20~29세,"20,316",122,237,"1,694","1,689",662,89,55,118,45,30,122,240,174,195,618,"2,118",418,"3,673",516,614,179,120,217,"1,195","3,371","1,805"
2021년05월_남_30~39세,"16,906",60,169,"1,099","3,239",589,78,56,98,47,17,73,156,91,159,462,"1,426",338,"2,574",399,407,139,131,156,"1,278","2,493","1,172"
2021년05월_남_40~49세,"21,143",125,277,"1,458","3,442",855,146,82,153,83,35,140,323,147,226,436,"1,808",438,"3,299",542,573,157,163,200,"1,466","3,108","1,461"
2021년05월_남_50~59세,"24,839",316,514,"1,773","1,898","1,190",288,163,310,167,88,283,544,307,285,503,"2,075",599,"4,092",626,858,223,252,275,"1,546","3,738","1,926"
2021년05월_남_60~69세,"17,726",316,488,652,707,"1,015",332,236,362,194,99,401,602,316,365,424,"1,685",504,"2,787",658,747,245,234,279,"1,097","2,130",851
2021년05월_남_70~79세,"8,604",190,321,188,161,546,299,136,286,133,79,284,416,192,277,304,717,291,953,415,497,187,143,188,525,667,209
2021년05월_남_80~89세,"3,439",103,165,78,39,195,144,67,159,75,34,135,246,99,74,132,243,108,293,179,186,97,60,66,183,208,71
2021년05월_남_90~99세,319,17,13,5,4,19,19,6,15,6,3,13,19,10,8,8,21,11,28,12,10,7,8,10,16,26,5
2021년05월_남_100세 이상,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"141,108","1,350","2,192","9,258","16,299","6,015","1,456",935,"1,563",734,449,"1,662","2,756","1,384","1,859","3,463","12,872","3,080","22,120","3,869","4,320","1,445","1,105","1,466","9,160","20,334","9,962"
2021년05월_여_연령구간인구수,"141,108","1,350","2,192","9,258","16,299","6,015","1,456",935,"1,563",734,449,"1,662","2,756","1,384","1,859","3,463","12,872","3,080","22,120","3,869","4,320","1,445","1,105","1,466","9,160","20,334","9,962"
2021년05월_여_0~9세,"11,256",13,69,734,"2,880",354,31,16,25,5,6,41,63,22,70,220,937,156,"1,648",162,157,58,23,40,984,"1,678",864
2021년05월_여_10~19세,"14,260",63,89,"1,183","2,353",474,45,39,51,16,21,64,144,63,123,264,"1,324",250,"2,514",276,305,93,45,89,827,"2,270","1,275"
2021년05월_여_20~29세,"16,935",74,161,"1,446","1,541",602,61,65,68,31,18,110,175,110,157,545,"1,727",338,"2,907",407,473,161,131,150,966,"3,007","1,504"
2021년05월_여_30~39세,"16,074",52,103,"1,083","3,412",531,41,40,43,20,12,66,112,56,114,384,"1,416",281,"2,365",349,365,105,83,118,"1,265","2,447","1,211"
2021년05월_여_40~49세,"21,734",82,162,"1,827","3,507",800,64,46,69,37,20,96,184,119,197,432,"1,898",424,"3,644",425,454,148,109,186,"1,399","3,534","1,871"
