,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년03월_계_총인구수,"43,105","13,619","6,145","3,702","3,085","2,011","1,207","2,447","3,043","4,497","3,349"
2021년03월_계_연령구간인구수,"43,105","13,619","6,145","3,702","3,085","2,011","1,207","2,447","3,043","4,497","3,349"
2021년03월_계_0~9세,"1,882",918,190,114,77,57,26,73,107,185,135
2021년03월_계_10~19세,"2,226","1,271",189,106,97,39,40,96,80,201,107
2021년03월_계_20~29세,"3,371","1,425",462,228,154,112,69,178,182,315,246
2021년03월_계_30~39세,"3,216","1,329",468,249,176,117,58,124,170,300,225
2021년03월_계_40~49세,"4,679","2,027",601,341,224,166,98,237,259,434,292
2021년03월_계_50~59세,"8,328","2,434","1,336",766,597,402,234,437,562,891,669
2021년03월_계_60~69세,"9,526","2,151","1,498",995,791,539,293,576,836,"1,034",813
2021년03월_계_70~79세,"5,847","1,286",882,515,512,306,207,426,523,671,519
2021년03월_계_80~89세,"3,518",682,442,336,393,238,163,266,272,418,308
2021년03월_계_90~99세,501,96,73,51,64,33,18,34,51,47,34
2021년03월_계_100세 이상,11,0,4,1,0,2,1,0,1,1,1
2021년03월_남_총인구수,"22,329","6,921","3,369","2,024","1,527",998,626,"1,233","1,569","2,292","1,770"
2021년03월_남_연령구간인구수,"22,329","6,921","3,369","2,024","1,527",998,626,"1,233","1,569","2,292","1,770"
2021년03월_남_0~9세,953,430,107,56,46,28,18,38,54,101,75
2021년03월_남_10~19세,"1,239",715,107,68,43,18,24,52,43,112,57
2021년03월_남_20~29세,"2,028",824,308,142,100,68,39,99,112,186,150
2021년03월_남_30~39세,"1,760",689,277,160,95,78,38,67,83,159,114
2021년03월_남_40~49세,"2,789","1,079",421,223,129,109,65,149,177,257,180
2021년03월_남_50~59세,"4,582","1,294",750,448,312,203,134,248,308,503,382
2021년03월_남_60~69세,"5,004","1,084",809,564,425,271,153,288,442,524,444
2021년03월_남_70~79세,"2,732",566,432,252,241,139,100,194,255,303,250
2021년03월_남_80~89세,"1,131",222,144,100,120,78,50,89,82,137,109
2021년03월_남_90~99세,110,18,14,11,16,6,4,9,13,10,9
2021년03월_남_100세 이상,1,0,0,0,0,0,1,0,0,0,0
2021년03월_여_총인구수,"20,776","6,698","2,776","1,678","1,558","1,013",581,"1,214","1,474","2,205","1,579"
2021년03월_여_연령구간인구수,"20,776","6,698","2,776","1,678","1,558","1,013",581,"1,214","1,474","2,205","1,579"
2021년03월_여_0~9세,929,488,83,58,31,29,8,35,53,84,60
2021년03월_여_10~19세,987,556,82,38,54,21,16,44,37,89,50
2021년03월_여_20~29세,"1,343",601,154,86,54,44,30,79,70,129,96
2021년03월_여_30~39세,"1,456",640,191,89,81,39,20,57,87,141,111
2021년03월_여_40~49세,"1,890",948,180,118,95,57,33,88,82,177,112
2021년03월_여_50~59세,"3,746","1,140",586,318,285,199,100,189,254,388,287
2021년03월_여_60~69세,"4,522","1,067",689,431,366,268,140,288,394,510,369
2021년03월_여_70~79세,"3,115",720,450,263,271,167,107,232,268,368,269
2021년03월_여_80~89세,"2,387",460,298,236,273,160,113,177,190,281,199
2021년03월_여_90~99세,391,78,59,40,48,27,14,25,38,37,25
2021년03월_여_100세 이상,10,0,4,1,0,2,0,0,1,1,1
