카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년03월_계_총인구수,"36,969","11,255","6,367","2,404","1,172","1,490",544,956,"1,774","6,477","2,832","1,698"
2020년03월_계_연령구간인구수,"36,969","11,255","6,367","2,404","1,172","1,490",544,956,"1,774","6,477","2,832","1,698"
2020년03월_계_0~9세,"1,787",856,246,57,19,38,9,36,48,362,89,27
2020년03월_계_10~19세,"2,159",942,308,69,43,38,19,36,76,448,129,51
2020년03월_계_20~29세,"2,611","1,012",473,142,53,77,16,53,100,506,119,60
2020년03월_계_30~39세,"2,631","1,150",420,114,50,58,14,44,80,487,147,67
2020년03월_계_40~49세,"4,065","1,586",747,196,77,109,37,90,178,727,207,111
2020년03월_계_50~59세,"6,347","1,890","1,176",416,194,291,82,145,316,"1,118",461,258
2020년03월_계_60~69세,"7,184","1,749","1,353",557,269,348,139,183,414,"1,172",604,396
2020년03월_계_70~79세,"6,011","1,255","1,061",478,253,312,143,207,365,950,578,409
2020년03월_계_80~89세,"3,676",708,516,322,186,191,77,142,180,624,449,281
2020년03월_계_90~99세,472,98,66,52,26,26,8,18,17,83,47,31
2020년03월_계_100세 이상,26,9,1,1,2,2,0,2,0,0,2,7
2020년03월_남_총인구수,"17,569","5,397","3,022","1,161",518,738,256,454,847,"3,017","1,328",831
2020년03월_남_연령구간인구수,"17,569","5,397","3,022","1,161",518,738,256,454,847,"3,017","1,328",831
2020년03월_남_0~9세,893,415,127,33,11,21,4,20,30,173,44,15
2020년03월_남_10~19세,"1,122",476,175,40,21,20,9,20,41,233,64,23
2020년03월_남_20~29세,"1,514",576,279,87,28,48,10,31,54,285,78,38
2020년03월_남_30~39세,"1,365",554,229,66,29,35,8,24,48,251,83,38
2020년03월_남_40~49세,"2,275",830,413,125,38,74,29,54,107,387,142,76
2020년03월_남_50~59세,"3,334","1,005",595,231,103,164,45,85,164,558,242,142
2020년03월_남_60~69세,"3,406",806,631,286,139,172,63,84,196,535,290,204
2020년03월_남_70~79세,"2,397",493,404,181,90,132,58,87,148,392,230,182
2020년03월_남_80~89세,"1,164",218,161,101,54,62,29,42,52,194,145,106
2020년03월_남_90~99세,92,21,7,11,5,10,1,6,7,9,10,5
2020년03월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년03월_여_총인구수,"19,400","5,858","3,345","1,243",654,752,288,502,927,"3,460","1,504",867
2020년03월_여_연령구간인구수,"19,400","5,858","3,345","1,243",654,752,288,502,927,"3,460","1,504",867
2020년03월_여_0~9세,894,441,119,24,8,17,5,16,18,189,45,12
2020년03월_여_10~19세,"1,037",466,133,29,22,18,10,16,35,215,65,28
2020년03월_여_20~29세,"1,097",436,194,55,25,29,6,22,46,221,41,22
2020년03월_여_30~39세,"1,266",596,191,48,21,23,6,20,32,236,64,29
2020년03월_여_40~49세,"1,790",756,334,71,39,35,8,36,71,340,65,35
2020년03월_여_50~59세,"3,013",885,581,185,91,127,37,60,152,560,219,116
2020년03월_여_60~69세,"3,778",943,722,271,130,176,76,99,218,637,314,192
2020년03월_여_70~79세,"3,614",762,657,297,163,180,85,120,217,558,348,227
2020년03월_여_80~89세,"2,512",490,355,221,132,129,48,100,128,430,304,175
2020년03월_여_90~99세,380,77,59,41,21,16,7,12,10,74,37,26
2020년03월_여_100세 이상,19,6,0,1,2,2,0,1,0,0,2,5
