,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년06월_계_총인구수,"63,157","18,317","19,222","2,385","6,091","2,858","3,420","5,305","1,941","2,726",892
2021년06월_계_연령구간인구수,"63,157","18,317","19,222","2,385","6,091","2,858","3,420","5,305","1,941","2,726",892
2021년06월_계_0~9세,"3,799","1,199","1,777",56,286,65,57,268,19,57,15
2021년06월_계_10~19세,"5,857","1,969","2,646",103,289,79,136,433,62,116,24
2021년06월_계_20~29세,"5,266","1,959","1,570",148,444,165,214,419,111,193,43
2021년06월_계_30~39세,"5,237","1,750","1,867",145,506,137,146,385,86,171,44
2021년06월_계_40~49세,"9,084","2,780","3,736",210,574,259,293,755,155,260,62
2021년06월_계_50~59세,"11,055","3,342","3,135",394,978,552,571,"1,055",337,535,156
2021년06월_계_60~69세,"11,434","2,848","2,571",599,"1,352",744,811,974,531,725,279
2021년06월_계_70~79세,"6,645","1,474","1,225",402,878,482,663,611,372,382,156
2021년06월_계_80~89세,"4,190",873,596,296,687,334,459,354,242,253,96
2021년06월_계_90~99세,582,121,95,32,95,41,70,51,26,34,17
2021년06월_계_100세 이상,8,2,4,0,2,0,0,0,0,0,0
2021년06월_남_총인구수,"32,088","9,222","9,763","1,204","3,150","1,462","1,704","2,752",994,"1,379",458
2021년06월_남_연령구간인구수,"32,088","9,222","9,763","1,204","3,150","1,462","1,704","2,752",994,"1,379",458
2021년06월_남_0~9세,"1,915",616,882,25,141,31,32,145,8,26,9
2021년06월_남_10~19세,"3,094","1,069","1,374",57,152,45,75,214,30,64,14
2021년06월_남_20~29세,"3,080","1,155",876,85,282,101,126,239,68,125,23
2021년06월_남_30~39세,"2,677",871,883,80,290,89,82,213,52,92,25
2021년06월_남_40~49세,"4,908","1,450","1,889",126,363,178,185,420,101,153,43
2021년06월_남_50~59세,"6,113","1,749","1,751",226,575,324,333,601,201,267,86
2021년06월_남_60~69세,"5,940","1,403","1,314",316,735,390,422,536,280,391,153
2021년06월_남_70~79세,"2,990",630,591,186,387,202,287,276,166,191,74
2021년06월_남_80~89세,"1,259",252,178,98,204,93,151,103,83,67,30
2021년06월_남_90~99세,109,27,24,5,19,9,11,5,5,3,1
2021년06월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년06월_여_총인구수,"31,069","9,095","9,459","1,181","2,941","1,396","1,716","2,553",947,"1,347",434
2021년06월_여_연령구간인구수,"31,069","9,095","9,459","1,181","2,941","1,396","1,716","2,553",947,"1,347",434
2021년06월_여_0~9세,"1,884",583,895,31,145,34,25,123,11,31,6
2021년06월_여_10~19세,"2,763",900,"1,272",46,137,34,61,219,32,52,10
2021년06월_여_20~29세,"2,186",804,694,63,162,64,88,180,43,68,20
2021년06월_여_30~39세,"2,560",879,984,65,216,48,64,172,34,79,19
2021년06월_여_40~49세,"4,176","1,330","1,847",84,211,81,108,335,54,107,19
2021년06월_여_50~59세,"4,942","1,593","1,384",168,403,228,238,454,136,268,70
2021년06월_여_60~69세,"5,494","1,445","1,257",283,617,354,389,438,251,334,126
2021년06월_여_70~79세,"3,655",844,634,216,491,280,376,335,206,191,82
2021년06월_여_80~89세,"2,931",621,418,198,483,241,308,251,159,186,66
2021년06월_여_90~99세,473,94,71,27,76,32,59,46,21,31,16
2021년06월_여_100세 이상,5,2,3,0,0,0,0,0,0,0,0
