카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년03월_계_총인구수,"49,673","18,182","3,753","4,400",784,"3,230","3,415","4,255","2,367","2,073",223,"2,503",986,"2,684",818
2021년03월_계_연령구간인구수,"49,673","18,182","3,753","4,400",784,"3,230","3,415","4,255","2,367","2,073",223,"2,503",986,"2,684",818
2021년03월_계_0~9세,"3,099","1,439",208,323,52,93,131,181,115,67,7,146,42,252,43
2021년03월_계_10~19세,"3,597","1,720",192,385,46,132,209,268,100,95,8,138,54,221,29
2021년03월_계_20~29세,"3,760","1,844",233,285,39,185,211,267,130,136,10,139,59,160,62
2021년03월_계_30~39세,"3,910","1,753",290,379,74,170,203,248,121,129,7,169,62,249,56
2021년03월_계_40~49세,"6,163","2,671",424,587,120,324,373,429,206,177,27,292,100,343,90
2021년03월_계_50~59세,"8,039","3,103",582,654,125,538,577,628,395,351,34,339,163,410,140
2021년03월_계_60~69세,"8,652","2,851",757,634,159,716,646,707,496,422,35,456,173,448,152
2021년03월_계_70~79세,"7,384","1,815",620,651,129,638,594,899,483,367,47,475,171,348,147
2021년03월_계_80~89세,"4,468",865,399,448,37,383,421,553,282,281,40,307,144,224,84
2021년03월_계_90~99세,584,116,48,53,2,51,49,72,38,47,7,41,17,29,14
2021년03월_계_100세 이상,17,5,0,1,1,0,1,3,1,1,1,1,1,0,1
2021년03월_남_총인구수,"24,995","9,177","1,898","2,202",433,"1,618","1,746","2,083","1,198","1,016",117,"1,226",493,"1,359",429
2021년03월_남_연령구간인구수,"24,995","9,177","1,898","2,202",433,"1,618","1,746","2,083","1,198","1,016",117,"1,226",493,"1,359",429
2021년03월_남_0~9세,"1,588",769,100,154,24,55,56,86,71,31,5,68,19,130,20
2021년03월_남_10~19세,"1,868",883,95,207,26,65,107,138,49,53,3,70,34,118,20
2021년03월_남_20~29세,"2,202","1,079",137,165,24,97,140,158,78,77,10,82,33,87,35
2021년03월_남_30~39세,"2,142",892,170,223,51,111,109,137,65,83,4,95,34,133,35
2021년03월_남_40~49세,"3,580","1,385",284,345,85,201,235,254,137,105,19,191,64,209,66
2021년03월_남_50~59세,"4,505","1,650",333,365,71,314,342,369,231,208,23,195,96,224,84
2021년03월_남_60~69세,"4,311","1,391",388,321,75,354,336,347,246,216,21,219,93,232,72
2021년03월_남_70~79세,"3,266",829,268,276,65,301,257,381,223,147,22,189,74,163,71
2021년03월_남_80~89세,"1,419",277,115,139,12,114,152,197,90,84,10,106,41,58,24
2021년03월_남_90~99세,112,22,8,7,0,6,12,16,8,11,0,10,5,5,2
2021년03월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년03월_여_총인구수,"24,678","9,005","1,855","2,198",351,"1,612","1,669","2,172","1,169","1,057",106,"1,277",493,"1,325",389
2021년03월_여_연령구간인구수,"24,678","9,005","1,855","2,198",351,"1,612","1,669","2,172","1,169","1,057",106,"1,277",493,"1,325",389
2021년03월_여_0~9세,"1,511",670,108,169,28,38,75,95,44,36,2,78,23,122,23
2021년03월_여_10~19세,"1,729",837,97,178,20,67,102,130,51,42,5,68,20,103,9
2021년03월_여_20~29세,"1,558",765,96,120,15,88,71,109,52,59,0,57,26,73,27
2021년03월_여_30~39세,"1,768",861,120,156,23,59,94,111,56,46,3,74,28,116,21
2021년03월_여_40~49세,"2,583","1,286",140,242,35,123,138,175,69,72,8,101,36,134,24
2021년03월_여_50~59세,"3,534","1,453",249,289,54,224,235,259,164,143,11,144,67,186,56
2021년03월_여_60~69세,"4,341","1,460",369,313,84,362,310,360,250,206,14,237,80,216,80
2021년03월_여_70~79세,"4,118",986,352,375,64,337,337,518,260,220,25,286,97,185,76
2021년03월_여_80~89세,"3,049",588,284,309,25,269,269,356,192,197,30,201,103,166,60
2021년03월_여_90~99세,472,94,40,46,2,45,37,56,30,36,7,31,12,24,12
2021년03월_여_100세 이상,15,5,0,1,1,0,1,3,1,0,1,0,1,0,1
