카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년10월_계_총인구수,"40,676","2,865","2,684","6,298","10,594","4,538",973,926,"4,706","7,092"
2021년10월_계_연령구간인구수,"40,676","2,865","2,684","6,298","10,594","4,538",973,926,"4,706","7,092"
2021년10월_계_0~9세,"1,161",28,68,184,338,101,19,13,162,248
2021년10월_계_10~19세,"1,894",64,93,350,537,190,37,30,191,402
2021년10월_계_20~29세,"5,858",810,298,937,"1,522",560,95,58,844,734
2021년10월_계_30~39세,"4,495",586,230,653,"1,128",461,95,71,655,616
2021년10월_계_40~49세,"5,165",344,311,853,"1,386",551,99,95,638,888
2021년10월_계_50~59세,"6,773",367,472,"1,030","1,792",770,175,199,694,"1,274"
2021년10월_계_60~69세,"7,894",376,559,"1,173","2,039","1,014",244,263,778,"1,448"
2021년10월_계_70~79세,"4,953",190,428,750,"1,215",604,128,142,501,995
2021년10월_계_80~89세,"2,145",84,190,301,563,247,65,46,215,434
2021년10월_계_90~99세,322,16,34,65,70,37,13,7,28,52
2021년10월_계_100세 이상,16,0,1,2,4,3,3,2,0,1
2021년10월_남_총인구수,"19,838","1,374","1,364","2,947","5,133","2,147",494,534,"2,409","3,436"
2021년10월_남_연령구간인구수,"19,838","1,374","1,364","2,947","5,133","2,147",494,534,"2,409","3,436"
2021년10월_남_0~9세,610,14,31,100,169,59,12,9,87,129
2021년10월_남_10~19세,947,38,45,157,273,102,17,15,94,206
2021년10월_남_20~29세,"2,846",313,162,445,762,267,52,36,419,390
2021년10월_남_30~39세,"2,441",284,132,346,593,257,53,45,388,343
2021년10월_남_40~49세,"2,834",195,180,448,757,298,50,58,377,471
2021년10월_남_50~59세,"3,438",199,243,494,895,376,92,135,362,642
2021년10월_남_60~69세,"3,739",198,282,551,943,439,129,151,384,662
2021년10월_남_70~79세,"2,129",94,203,289,514,264,59,70,221,415
2021년10월_남_80~89세,773,38,78,105,205,80,24,11,69,163
2021년10월_남_90~99세,79,1,8,12,21,5,5,4,8,15
2021년10월_남_100세 이상,2,0,0,0,1,0,1,0,0,0
2021년10월_여_총인구수,"20,838","1,491","1,320","3,351","5,461","2,391",479,392,"2,297","3,656"
2021년10월_여_연령구간인구수,"20,838","1,491","1,320","3,351","5,461","2,391",479,392,"2,297","3,656"
2021년10월_여_0~9세,551,14,37,84,169,42,7,4,75,119
2021년10월_여_10~19세,947,26,48,193,264,88,20,15,97,196
2021년10월_여_20~29세,"3,012",497,136,492,760,293,43,22,425,344
2021년10월_여_30~39세,"2,054",302,98,307,535,204,42,26,267,273
2021년10월_여_40~49세,"2,331",149,131,405,629,253,49,37,261,417
2021년10월_여_50~59세,"3,335",168,229,536,897,394,83,64,332,632
2021년10월_여_60~69세,"4,155",178,277,622,"1,096",575,115,112,394,786
2021년10월_여_70~79세,"2,824",96,225,461,701,340,69,72,280,580
2021년10월_여_80~89세,"1,372",46,112,196,358,167,41,35,146,271
2021년10월_여_90~99세,243,15,26,53,49,32,8,3,20,37
2021년10월_여_100세 이상,14,0,1,2,3,3,2,2,0,1
