,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년07월_계_총인구수,"347,317","8,432","4,195","7,747","2,268","1,961","2,640","1,625","1,528","1,491","3,319","21,538","4,818","1,645","4,101","1,092","2,237","28,084","10,949","11,550","14,532","20,303","25,460","12,055","27,195","28,351","12,049","12,385","21,778","26,170","25,819"
2020년07월_계_연령구간인구수,"347,317","8,432","4,195","7,747","2,268","1,961","2,640","1,625","1,528","1,491","3,319","21,538","4,818","1,645","4,101","1,092","2,237","28,084","10,949","11,550","14,532","20,303","25,460","12,055","27,195","28,351","12,049","12,385","21,778","26,170","25,819"
2020년07월_계_0~9세,"28,888",681,392,876,43,50,102,25,35,39,67,"2,295",269,18,151,27,61,"1,666",499,386,668,"1,135","1,503",822,"3,519","2,260",681,740,"2,659","2,406","4,813"
2020년07월_계_10~19세,"35,581",687,473,472,119,62,191,51,56,74,160,"2,886",421,63,210,48,110,"2,607",755,710,"1,135","1,681","2,665","1,127","4,070","3,676","1,158","1,313","3,035","2,698","2,868"
2020년07월_계_20~29세,"44,771",834,412,989,166,137,223,77,73,103,220,"2,311",449,88,361,111,141,"4,282","1,445","1,131","1,856","2,961","3,911","1,546","3,372","4,178","1,702","1,647","2,372","4,886","2,787"
2020년07월_계_30~39세,"42,066",975,436,"1,490",138,131,194,73,86,72,188,"2,569",412,59,242,57,106,"2,785","1,305",908,"1,416","2,281","2,727","1,453","3,859","3,125","1,219","1,140","2,803","3,973","5,844"
2020년07월_계_40~49세,"54,580","1,113",690,"1,048",187,161,302,115,157,163,296,"3,942",662,127,441,103,230,"4,077","1,613","1,469","2,004","2,949","3,876","1,833","5,334","4,941","1,663","1,860","4,149","4,130","4,945"
2020년07월_계_50~59세,"57,796","1,457",689,"1,208",391,363,490,290,227,258,596,"3,390",897,303,798,198,425,"4,646","1,842","2,073","2,713","3,731","5,149","2,148","4,015","5,232","2,171","2,402","3,242","3,822","2,630"
2020년07월_계_60~69세,"44,186","1,339",559,914,463,467,495,399,346,296,680,"2,308",785,365,927,239,473,"3,942","1,847","2,353","2,440","3,088","3,405","1,832","1,783","2,745","1,917","1,842","2,096","2,512","1,329"
2020년07월_계_70~79세,"25,532",819,331,453,416,296,365,325,312,257,605,"1,179",553,332,587,163,372,"2,733","1,090","1,740","1,561","1,770","1,517",928,831,"1,380","1,004",999,978,"1,216",420
