,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년03월_계_총인구수,"16,884","7,363","2,173","1,729","1,809","1,707","2,103"
2020년03월_계_연령구간인구수,"16,884","7,363","2,173","1,729","1,809","1,707","2,103"
2020년03월_계_0~9세,785,459,86,63,49,56,72
2020년03월_계_10~19세,991,581,88,55,87,98,82
2020년03월_계_20~29세,"1,183",687,100,74,114,84,124
2020년03월_계_30~39세,"1,087",652,115,66,73,75,106
2020년03월_계_40~49세,"1,817",976,194,141,153,172,181
2020년03월_계_50~59세,"3,029","1,245",403,291,346,326,418
2020년03월_계_60~69세,"3,315","1,234",482,402,375,364,458
2020년03월_계_70~79세,"2,739",918,413,379,323,298,408
2020년03월_계_80~89세,"1,685",515,253,229,263,196,229
2020년03월_계_90~99세,228,88,37,26,24,33,20
2020년03월_계_100세 이상,25,8,2,3,2,5,5
2020년03월_남_총인구수,"8,346","3,606","1,050",877,898,855,"1,060"
2020년03월_남_연령구간인구수,"8,346","3,606","1,050",877,898,855,"1,060"
2020년03월_남_0~9세,414,252,43,34,22,32,31
2020년03월_남_10~19세,509,289,52,29,45,50,44
2020년03월_남_20~29세,682,381,61,42,67,52,79
2020년03월_남_30~39세,586,334,62,43,43,45,59
2020년03월_남_40~49세,"1,081",547,131,95,86,108,114
2020년03월_남_50~59세,"1,641",643,208,179,196,180,235
2020년03월_남_60~69세,"1,638",590,232,193,197,181,245
2020년03월_남_70~79세,"1,188",391,175,188,142,120,172
2020년03월_남_80~89세,546,161,76,66,91,76,76
2020년03월_남_90~99세,55,16,8,7,9,10,5
2020년03월_남_100세 이상,6,2,2,1,0,1,0
2020년03월_여_총인구수,"8,538","3,757","1,123",852,911,852,"1,043"
2020년03월_여_연령구간인구수,"8,538","3,757","1,123",852,911,852,"1,043"
2020년03월_여_0~9세,371,207,43,29,27,24,41
2020년03월_여_10~19세,482,292,36,26,42,48,38
2020년03월_여_20~29세,501,306,39,32,47,32,45
2020년03월_여_30~39세,501,318,53,23,30,30,47
2020년03월_여_40~49세,736,429,63,46,67,64,67
2020년03월_여_50~59세,"1,388",602,195,112,150,146,183
2020년03월_여_60~69세,"1,677",644,250,209,178,183,213
2020년03월_여_70~79세,"1,551",527,238,191,181,178,236
2020년03월_여_80~89세,"1,139",354,177,163,172,120,153
2020년03월_여_90~99세,173,72,29,19,15,23,15
2020년03월_여_100세 이상,19,6,0,2,2,4,5
