카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년08월_계_총인구수,"377,655","21,139","29,096","33,274","20,373","37,403","17,873","32,788","18,108","22,335","17,269","16,644","12,311","10,744","19,140","19,976","14,609","12,107","22,466"
2021년08월_계_연령구간인구수,"377,655","21,139","29,096","33,274","20,373","37,403","17,873","32,788","18,108","22,335","17,269","16,644","12,311","10,744","19,140","19,976","14,609","12,107","22,466"
2021년08월_계_0~9세,"25,248","1,358","1,209","2,770","1,088","2,764",936,"3,301","1,299","1,576",549,"1,129",856,803,"1,153","2,069",869,409,"1,110"
2021년08월_계_10~19세,"23,808","1,203",870,"2,892",946,"2,251",925,"2,946","1,003","1,504",831,"1,104",820,730,"1,238","1,723",859,568,"1,395"
2021년08월_계_20~29세,"59,179","2,854","7,393","3,726","3,461","7,302","2,693","3,688","2,900","3,799","3,397","2,172","1,551","1,299","3,213","2,666","2,088","1,866","3,111"
2021년08월_계_30~39세,"69,331","3,195","7,412","4,970","4,252","8,229","3,178","6,061","4,589","5,274","3,025","2,482","1,851","1,538","3,089","3,327","1,968","1,653","3,238"
2021년08월_계_40~49세,"55,745","3,023","3,565","5,375","2,782","5,227","2,638","5,980","2,940","3,277","2,373","2,393","1,881","1,611","2,679","3,344","2,019","1,611","3,027"
2021년08월_계_50~59세,"56,192","3,610","3,531","5,128","2,987","4,788","2,923","4,219","2,068","3,027","2,501","2,860","2,016","1,812","3,033","3,000","2,515","2,120","4,054"
2021년08월_계_60~69세,"47,970","3,280","3,015","4,162","2,701","3,835","2,410","3,579","1,731","2,250","2,334","2,481","1,880","1,686","2,667","2,225","2,196","1,882","3,656"
2021년08월_계_70~79세,"26,882","1,800","1,438","2,565","1,413","1,985","1,420","2,020","1,059","1,078","1,485","1,407",984,892,"1,397","1,098","1,467","1,380","1,994"
2021년08월_계_80~89세,"11,720",715,575,"1,483",654,883,661,868,454,477,694,541,420,327,599,465,551,560,793
2021년08월_계_90~99세,"1,513",94,88,198,85,133,85,116,60,71,76,70,49,44,71,57,73,56,87
2021년08월_계_100세 이상,67,7,0,5,4,6,4,10,5,2,4,5,3,2,1,2,4,2,1
2021년08월_남_총인구수,"186,526","10,817","15,410","15,667","10,033","17,477","9,007","16,057","8,870","11,007","8,796","8,215","6,118","5,225","9,339","9,987","7,257","5,974","11,270"
2021년08월_남_연령구간인구수,"186,526","10,817","15,410","15,667","10,033","17,477","9,007","16,057","8,870","11,007","8,796","8,215","6,118","5,225","9,339","9,987","7,257","5,974","11,270"
2021년08월_남_0~9세,"12,903",683,591,"1,377",577,"1,429",481,"1,693",693,793,262,578,426,401,588,"1,094",462,214,561
2021년08월_남_10~19세,"12,395",634,456,"1,459",473,"1,111",490,"1,538",508,794,429,579,439,362,702,929,475,274,743
2021년08월_남_20~29세,"27,448","1,521","3,095","1,704","1,591","2,920","1,302","1,771","1,228","1,691","1,679","1,067",804,645,"1,492","1,310","1,054",951,"1,623"
2021년08월_남_30~39세,"35,478","1,679","4,120","2,264","2,183","3,935","1,662","2,883","2,344","2,705","1,727","1,284",965,805,"1,555","1,677","1,035",924,"1,731"
2021년08월_남_40~49세,"28,731","1,571","2,077","2,508","1,442","2,591","1,415","3,006","1,558","1,657","1,312","1,233",975,838,"1,383","1,694","1,073",858,"1,540"
2021년08월_남_50~59세,"28,655","1,894","2,215","2,494","1,539","2,297","1,536","2,119","1,087","1,560","1,310","1,443","1,009",879,"1,475","1,494","1,239","1,041","2,024"
2021년08월_남_60~69세,"23,339","1,671","1,823","1,981","1,289","1,868","1,192","1,664",785,"1,116","1,135","1,177",900,758,"1,235","1,087","1,021",851,"1,786"
2021년08월_남_70~79세,"12,371",839,752,"1,160",642,935,651,988,475,486,629,641,430,418,651,509,656,595,914
2021년08월_남_80~89세,"4,775",292,252,643,275,352,253,356,174,185,292,197,159,114,244,177,228,254,328
2021년08월_남_90~99세,414,33,29,77,21,35,24,36,17,20,20,15,9,5,14,16,11,12,20
2021년08월_남_100세 이상,17,0,0,0,1,4,1,3,1,0,1,1,2,0,0,0,3,0,0
2021년08월_여_총인구수,"191,129","10,322","13,686","17,607","10,340","19,926","8,866","16,731","9,238","11,328","8,473","8,429","6,193","5,519","9,801","9,989","7,352","6,133","11,196"
2021년08월_여_연령구간인구수,"191,129","10,322","13,686","17,607","10,340","19,926","8,866","16,731","9,238","11,328","8,473","8,429","6,193","5,519","9,801","9,989","7,352","6,133","11,196"
2021년08월_여_0~9세,"12,345",675,618,"1,393",511,"1,335",455,"1,608",606,783,287,551,430,402,565,975,407,195,549
2021년08월_여_10~19세,"11,413",569,414,"1,433",473,"1,140",435,"1,408",495,710,402,525,381,368,536,794,384,294,652
2021년08월_여_20~29세,"31,731","1,333","4,298","2,022","1,870","4,382","1,391","1,917","1,672","2,108","1,718","1,105",747,654,"1,721","1,356","1,034",915,"1,488"
2021년08월_여_30~39세,"33,853","1,516","3,292","2,706","2,069","4,294","1,516","3,178","2,245","2,569","1,298","1,198",886,733,"1,534","1,650",933,729,"1,507"
2021년08월_여_40~49세,"27,014","1,452","1,488","2,867","1,340","2,636","1,223","2,974","1,382","1,620","1,061","1,160",906,773,"1,296","1,650",946,753,"1,487"
2021년08월_여_50~59세,"27,537","1,716","1,316","2,634","1,448","2,491","1,387","2,100",981,"1,467","1,191","1,417","1,007",933,"1,558","1,506","1,276","1,079","2,030"
2021년08월_여_60~69세,"24,631","1,609","1,192","2,181","1,412","1,967","1,218","1,915",946,"1,134","1,199","1,304",980,928,"1,432","1,138","1,175","1,031","1,870"
2021년08월_여_70~79세,"14,511",961,686,"1,405",771,"1,050",769,"1,032",584,592,856,766,554,474,746,589,811,785,"1,080"
2021년08월_여_80~89세,"6,945",423,323,840,379,531,408,512,280,292,402,344,261,213,355,288,323,306,465
2021년08월_여_90~99세,"1,099",61,59,121,64,98,61,80,43,51,56,55,40,39,57,41,62,44,67
2021년08월_여_100세 이상,50,7,0,5,3,2,3,7,4,2,3,4,1,2,1,2,1,2,1
