카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년02월_계_총인구수,"1,145,710","222,395","323,756","158,809","218,190","222,560"
2020년02월_계_연령구간인구수,"1,145,710","222,395","323,756","158,809","218,190","222,560"
2020년02월_계_0~9세,"103,399","17,765","24,829","15,887","26,135","18,783"
2020년02월_계_10~19세,"115,623","20,916","32,113","15,731","23,720","23,143"
2020년02월_계_20~29세,"147,745","28,174","46,642","18,281","28,170","26,478"
2020년02월_계_30~39세,"158,271","28,017","43,340","24,691","35,371","26,852"
2020년02월_계_40~49세,"190,698","35,400","53,166","25,752","38,250","38,130"
2020년02월_계_50~59세,"211,255","42,382","62,499","26,659","38,312","41,403"
2020년02월_계_60~69세,"136,520","30,399","39,345","21,352","17,851","27,573"
2020년02월_계_70~79세,"57,438","13,745","15,812","7,726","7,031","13,124"
2020년02월_계_80~89세,"21,610","4,923","5,331","2,345","2,899","6,112"
2020년02월_계_90~99세,"2,991",620,646,361,435,929
2020년02월_계_100세 이상,160,54,33,24,16,33
2020년02월_남_총인구수,"588,626","112,874","165,069","83,004","112,835","114,844"
2020년02월_남_연령구간인구수,"588,626","112,874","165,069","83,004","112,835","114,844"
2020년02월_남_0~9세,"53,190","9,185","12,791","8,168","13,421","9,625"
2020년02월_남_10~19세,"61,034","11,218","16,957","8,273","12,431","12,155"
2020년02월_남_20~29세,"82,723","15,691","26,031","10,275","15,752","14,974"
2020년02월_남_30~39세,"83,639","14,674","22,894","13,607","18,280","14,184"
2020년02월_남_40~49세,"96,746","17,946","25,860","13,905","19,500","19,535"
2020년02월_남_50~59세,"107,786","21,154","31,509","13,120","20,020","21,983"
2020년02월_남_60~69세,"69,028","14,910","19,601","10,955","9,332","14,230"
2020년02월_남_70~79세,"26,988","6,286","7,519","3,918","3,196","6,069"
2020년02월_남_80~89세,"6,977","1,696","1,786",732,836,"1,927"
2020년02월_남_90~99세,484,104,111,47,64,158
2020년02월_남_100세 이상,31,10,10,4,3,4
2020년02월_여_총인구수,"557,084","109,521","158,687","75,805","105,355","107,716"
2020년02월_여_연령구간인구수,"557,084","109,521","158,687","75,805","105,355","107,716"
2020년02월_여_0~9세,"50,209","8,580","12,038","7,719","12,714","9,158"
2020년02월_여_10~19세,"54,589","9,698","15,156","7,458","11,289","10,988"
2020년02월_여_20~29세,"65,022","12,483","20,611","8,006","12,418","11,504"
2020년02월_여_30~39세,"74,632","13,343","20,446","11,084","17,091","12,668"
2020년02월_여_40~49세,"93,952","17,454","27,306","11,847","18,750","18,595"
2020년02월_여_50~59세,"103,469","21,228","30,990","13,539","18,292","19,420"
2020년02월_여_60~69세,"67,492","15,489","19,744","10,397","8,519","13,343"
2020년02월_여_70~79세,"30,450","7,459","8,293","3,808","3,835","7,055"
2020년02월_여_80~89세,"14,633","3,227","3,545","1,613","2,063","4,185"
2020년02월_여_90~99세,"2,507",516,535,314,371,771
2020년02월_여_100세 이상,129,44,23,20,13,29
